"","exp_mass","abundance"
"2",112.985576361672,7015695.5
"4",126.904996398461,27039274
"43",167.047864542089,2323647
"98",187.098216044037,1869263.5
"131",197.022213363126,6723176
"140",199.019260018699,2527107.3
"171",203.968257686995,844447.7
"172",203.970960685176,1271679.9
"173",203.979496679429,797600.4
"180",205.052442957113,1399077.8
"205",209.094820235754,1881433.9
"226",213.017111389703,903216
"246",215.032750841568,855414.9
"263",217.048477293365,913177.6
"274",219.027417773417,3166359.3
"279",219.067170742884,722841
"294",221.067577206448,1672180.6
"303",223.001486721086,1002251.1
"331",226.97842766655,10329336
"409",236.096169663561,1604164.5
"421",238.048794163825,1746909.1
"427",239.022838415699,807498.3
"428",239.032780408063,3904778.8
"445",240.897871975557,12439395
"446",241.002324895331,2504808.3
"447",241.029796874231,1416617.5
"550",251.093649144571,1043080.6
"581",254.915925208827,850425.8
"583",255.027733122951,985473.1
"584",255.049805105999,814210.6
"631",258.947279112498,1340811.6
"632",259.012894062102,5800592
"633",259.022433054775,1327568.9
"682",263.130144988175,767418.7
"693",265.070429343718,1209933.3
"697",265.106786312904,801104
"701",265.14657627918,1435475
"702",265.14787527808,22064468
"718",267.086044635415,920681.1
"720",267.088729633139,925673.3
"725",267.14373458652,888237.6
"792",273.078238556825,890827.8
"811",275.038404895516,4874351
"837",277.10670614256,917022
"860",279.127020430274,1538251
"863",279.163446399402,1865166.1
"874",280.994866847211,7915116.5
"880",281.101538756802,945270
"907",283.942503348987,816046.7
"949",287.054331711606,1121602
"954",287.090909680605,945797.3
"974",288.956293099629,1599275.4
"975",288.957831098325,23059756
"978",289.070168003116,1095221.5
"982",289.106607972232,898104.8
"989",289.961191247943,1591173.1
"1001",291.049362325681,813158.4
"1005",291.085793294804,1145833.6
"1025",293.065090617282,1269915
"1033",293.142773551443,1531041.9
"1036",293.179179520588,3149989.3
"1050",295.080674909005,1047631.6
"1055",295.117039878184,857682.8
"1057",295.121990873988,900819.3
"1087",297.152970152664,7382025
"1126",300.957923927835,1009564.6
"1129",301.070068832788,1017190.5
"1177",304.952684542138,1133309.4
"1190",305.952142695063,1382100.9
"1191",305.956884691044,979093.3
"1192",305.963033685833,736149.9
"1202",307.044051769633,832756.1
"1206",307.08061973864,1271671.3
"1211",307.120498704841,734330.7
"1215",307.158440672684,2601086
"1232",309.059798061219,1280034.4
"1244",309.172435965754,1057324.1
"1245",309.174110964334,8943660
"1261",311.054011371054,1200589
"1272",311.168621273918,10518743
"1273",311.170458272362,817110.9
"1294",313.069875722508,882999.7
"1324",314.937058967404,1641876.1
"1354",316.739045273584,4970921.5
"1381",318.737250395324,2230733.5
"1384",319.080377072793,1139049.5
"1386",319.084167069231,1194857.8
"1389",319.116770038585,862060.4
"1405",320.947653317603,849024.8
"1407",321.059632212345,833289.8
"1409",321.064806207482,2328074.3
"1413",321.084603188873,832267.8
"1421",321.173852104982,894546.9
"1434",323.005461383317,1392677.6
"1442",323.15309024455,923825.4
"1450",324.103709350993,733052.9
"1467",325.094837419358,948555.2
"1474",325.147757369615,875855.3
"1477",325.184262335301,7193938
"1508",327.163494474875,1088429.1
"1511",327.215704425799,768241.2
"1535",329.105096649819,803459.4
"1545",329.98438582331,950790.9
"1562",330.968415898348,1172434
"1596",333.100011894703,1141683.4
"1621",335.079333034193,974663.4
"1626",335.115695000014,1006410.1
"1652",337.09077514349,1121756.1
"1654",337.094997139522,1075420.4
"1662",337.205320035821,982180.6
"1682",339.074317279013,899437.1
"1688",339.11070424481,759663.7
"1693",339.163499195184,823603.5
"1695",339.199846161019,1341046.1
"1716",341.089989384334,796414.6
"1726",341.179104300568,941381
"1743",342.226380316156,1047631.9
"1745",342.965420621477,727556.4
"1747",343.06161253106,848843.3
"1749",343.079015514701,923660.5
"1753",343.115058480822,1133583
"1786",345.100226614816,1273115
"1790",345.136664580565,775965.6
"1827",348.119740776551,749804.7
"1835",348.231080671895,1886452.3
"1845",349.131560825467,798514.1
"1862",350.246670777293,1083774
"1867",351.074453999198,850358.1
"1872",351.110836964999,897464.6
"1899",353.09012510452,986685.5
"1910",353.200300000959,6193989
"1928",355.078784235232,845185.4
"1961",357.094319340682,804677.4
"1963",357.100374334991,827717.8
"2000",359.116061440298,1168328.1
"2025",361.095339579828,1037382.6
"2029",361.131770545584,946760.9
"2047",362.210345531751,782541.1
"2048",362.969650818024,881212.8
"2055",363.110966182545,1504197.6
"2059",363.147500145235,747719.9
"2070",364.114514157698,767748.3
"2079",364.225963043883,1611659.3
"2084",365.090277161226,871488.9
"2088",365.11140413965,1567810.1
"2093",365.163318086634,997061.4
"2109",366.241615985451,1814535.9
"2117",367.105905102819,761276.8
"2126",367.178799028378,779457.2
"2183",371.116190007422,860334.5
"2212",373.126506954439,801317.7
"2241",375.14210789606,732188.1
"2261",377.090410906407,772109.9
"2266",377.126802869243,818960
"2284",378.917372040671,923832.3
"2298",379.408448539172,828116.8
"2299",379.446190500629,919286.9
"2300",379.45241749427,843735.3
"2312",380.22090770947,762308
"2313",380.711197208775,968160.4
"2314",380.713945205969,14599137
"2377",385.12580870047,803713.4
"2403",387.105538678723,748885.6
"2405",387.111331672807,874581.9
"2408",387.141843641647,808535.7
"2430",389.121284620196,795596.7
"2449",390.910560792945,1959991.4
"2454",391.100501598973,754754.8
"2456",391.106288593063,832835.1
"2479",392.933020727561,1842865.4
"2537",397.125720445878,1121716.1
"2545",397.226497342962,3722426.5
"2564",399.105371424212,764081.6
"2568",399.141500387316,982707.9
"2593",401.121052365751,884660
"2597",401.157150328887,733878.3
"2616",403.055030390727,785843.7
"2620",403.100357344438,730934.7
"2624",403.136673307351,739641.1
"2665",406.948643414478,1695421.8
"2725",411.105141169765,842088.8
"2757",413.120702577077,933504.2
"2782",415.136396120782,772892.1
"2806",417.115783708729,729401.8
"2830",419.131394252535,730591.4
"2848",420.964158019155,1631610.5
"2849",421.065464895704,864963.3
"2853",421.11065984063,744327.1
"2859",421.155521785962,930891
"2877",422.979938562754,916202.6
"2998",432.99998535247,766705
"3024",434.979866939815,2040514.1
"3049",436.995530483556,909724.4
"3075",439.076055948258,1467267
"3108",441.252576295982,1784313.5
"3120",443.047600108592,5112648.5
"3167",447.134143128789,1708714.8
"3194",449.149859672466,2479133.5
"3234",453.09346986684,822527.4
"3260",455.141592371027,840572.7
"3295",458.177574671423,828022.6
"3323",461.130728072753,942696.1
"3344",463.110132125305,782752.1
"3348",463.14623408049,788068.7
"3439",471.134302164624,804423.8
"3478",475.146205184509,1045938.7
"3578",485.058277880309,1111868.9
"3580",485.09447183538,746753.1
"3585",485.150351766015,798151.3
"3593",485.282530601937,8410966
"3601",487.109831333645,904609.3
"3616",488.135615060304,791473.6
"3625",489.152030798592,1469823.5
"3626",489.161903786336,906624.5
"3649",491.167864296267,1302133.5
"3663",492.224404984747,724803.7
"3694",495.199343291852,921939
"3726",498.318570419847,1021479.1
"3749",501.12549893551,918580.5
"3770",503.141242433297,829682.1
"3774",503.177541388238,816821.4
"3864",512.334238021712,1323698.6
"3865",513.09101688274,1400693.5
"3999",526.349793860745,1502973.6
"4054",533.157202094348,971485.3
"4102",538.207710848525,746800
"4106",539.141246509208,1215240.3
"4119",540.365436752896,1157629
"4141",543.172476725715,1100045.9
"4217",552.963173679277,1416583.4
"4283",561.208383850106,921011.2
"4310",565.181830149514,1133326.6
"4334",569.140664469886,1010420.9
"4337",569.177064417664,1195001.4
"4338",569.188253401612,907514.8
"4359",573.171572686855,990190.8
"4371",575.166493824798,867884.7
"4373",575.187461794716,849391.4
"4375",575.223944742375,829940
"4386",577.145405985709,987434.4
"4391",577.203082902961,800113.9
"4394",578.152469540903,820076.3
"4405",579.218474011536,737270.3
"4411",581.140541254,754544.1
"4427",583.167692345704,851256.9
"4440",585.171800470466,1086079.9
"4452",587.167593607158,859206.6
"4463",589.146944767438,789195.9
"4466",589.181906717279,802000.4
"4468",589.208768678741,820564
"4506",595.203881077722,948461.3
