Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,,,,
698,-0.007505891,,,,,,,,,,,,,,,,,,,,,,
697,-0.006850356,,,,,,,,,,,,,,,,,,,,,,
696,-0.006677867,,,,,,,,,,,,,,,,,,,,,,
695,-0.005433554,,,,,,,,,,,,,,,,,,,,,,
694,-0.005178451,,,,,,,,,,,,,,,,,,,,,,
693,-0.003676664,,,,,,,,,,,,,,,,,,,,,,
692,-0.003143629,,,,,,,,,,,,,,,,,,,,,,
691,-0.002770263,,,,,,,,,,,,,,,,,,,,,,
690,-0.002324901,,,,,,,,,,,,,,,,,,,,,,
689,-0.001795256,,,,,,,,,,,,,,,,,,,,,,
688,-0.001843202,,,,,,,,,,,,,,,,,,,,,,
687,-0.000830042,,,,,,,,,,,,,,,,,,,,,,
686,-0.000430477,,,,,,,,,,,,,,,,,,,,,,
685,0.000203693,,,,,,,,,,,,,,,,,,,,,,
684,0.000643147,,,,,,,,,,,,,,,,,,,,,,
683,0.001247994,,,,,,,,,,,,,,,,,,,,,,
682,0.000949836,,,,,,,,,,,,,,,,,,,,,,
681,0.00160068,,,,,,,,,,,,,,,,,,,,,,
680,0.001754154,,,,,,,,,,,,,,,,,,,,,,
679,0.002023632,,,,,,,,,,,,,,,,,,,,,,
678,0.002774787,,,,,,,,,,,,,,,,,,,,,,
677,0.002419506,,,,,,,,,,,,,,,,,,,,,,
676,0.002773719,,,,,,,,,,,,,,,,,,,,,,
675,0.003317996,,,,,,,,,,,,,,,,,,,,,,
674,0.003516962,,,,,,,,,,,,,,,,,,,,,,
673,0.003765053,,,,,,,,,,,,,,,,,,,,,,
672,0.00423458,,,,,,,,,,,,,,,,,,,,,,
671,0.003104495,,,,,,,,,,,,,,,,,,,,,,
670,0.003339516,,,,,,,,,,,,,,,,,,,,,,
669,0.003255371,,,,,,,,,,,,,,,,,,,,,,
668,0.003003088,,,,,,,,,,,,,,,,,,,,,,
667,0.003335786,,,,,,,,,,,,,,,,,,,,,,
666,0.003320291,,,,,,,,,,,,,,,,,,,,,,
665,0.003055248,,,,,,,,,,,,,,,,,,,,,,
664,0.00262741,,,,,,,,,,,,,,,,,,,,,,
663,0.002857614,,,,,,,,,,,,,,,,,,,,,,
662,0.002465063,,,,,,,,,,,,,,,,,,,,,,
661,0.002819025,,,,,,,,,,,,,,,,,,,,,,
660,0.002667831,,,,,,,,,,,,,,,,,,,,,,
659,0.00277114,,,,,,,,,,,,,,,,,,,,,,
658,0.002615743,,,,,,,,,,,,,,,,,,,,,,
657,0.002685126,,,,,,,,,,,,,,,,,,,,,,
656,0.002474356,,,,,,,,,,,,,,,,,,,,,,
655,0.003002983,,,,,,,,,,,,,,,,,,,,,,
654,0.002746417,,,,,,,,,,,,,,,,,,,,,,
653,0.003041849,,,,,,,,,,,,,,,,,,,,,,
652,0.002781456,,,,,,,,,,,,,,,,,,,,,,
651,0.002559964,,,,,,,,,,,,,,,,,,,,,,
650,0.00267291,,,,,,,,,,,,,,,,,,,,,,
649,0.002965294,,,,,,,,,,,,,,,,,,,,,,
648,0.002699113,,,,,,,,,,,,,,,,,,,,,,
647,0.003084107,,,,,,,,,,,,,,,,,,,,,,
646,0.003064112,,,,,,,,,,,,,,,,,,,,,,
645,0.002625249,,,,,,,,,,,,,,,,,,,,,,
644,0.002758036,,,,,,,,,,,,,,,,,,,,,,
643,0.00259202,,,,,,,,,,,,,,,,,,,,,,
642,0.002813398,,,,,,,,,,,,,,,,,,,,,,
641,0.003482986,,,,,,,,,,,,,,,,,,,,,,
640,0.0033247,,,,,,,,,,,,,,,,,,,,,,
639,0.002917132,,,,,,,,,,,,,,,,,,,,,,
638,0.002865666,,,,,,,,,,,,,,,,,,,,,,
637,0.002943636,,,,,,,,,,,,,,,,,,,,,,
636,0.003130384,,,,,,,,,,,,,,,,,,,,,,
635,0.002858526,,,,,,,,,,,,,,,,,,,,,,
634,0.003075791,,,,,,,,,,,,,,,,,,,,,,
633,0.003510203,,,,,,,,,,,,,,,,,,,,,,
632,0.003238498,,,,,,,,,,,,,,,,,,,,,,
631,0.002999986,,,,,,,,,,,,,,,,,,,,,,
630,0.002921771,,,,,,,,,,,,,,,,,,,,,,
629,0.003194634,,,,,,,,,,,,,,,,,,,,,,
628,0.003194373,,,,,,,,,,,,,,,,,,,,,,
627,0.003014843,,,,,,,,,,,,,,,,,,,,,,
626,0.003664145,,,,,,,,,,,,,,,,,,,,,,
625,0.003443559,,,,,,,,,,,,,,,,,,,,,,
624,0.003520119,,,,,,,,,,,,,,,,,,,,,,
623,0.00337536,,,,,,,,,,,,,,,,,,,,,,
622,0.003473983,,,,,,,,,,,,,,,,,,,,,,
621,0.003310849,,,,,,,,,,,,,,,,,,,,,,
620,0.003183994,,,,,,,,,,,,,,,,,,,,,,
619,0.003745966,,,,,,,,,,,,,,,,,,,,,,
618,0.003314814,,,,,,,,,,,,,,,,,,,,,,
617,0.003438158,,,,,,,,,,,,,,,,,,,,,,
616,0.003923682,,,,,,,,,,,,,,,,,,,,,,
615,0.003042292,,,,,,,,,,,,,,,,,,,,,,
614,0.003436227,,,,,,,,,,,,,,,,,,,,,,
613,0.00379093,,,,,,,,,,,,,,,,,,,,,,
612,0.003585079,,,,,,,,,,,,,,,,,,,,,,
611,0.003633211,,,,,,,,,,,,,,,,,,,,,,
610,0.003034967,,,,,,,,,,,,,,,,,,,,,,
609,0.003271907,,,,,,,,,,,,,,,,,,,,,,
608,0.003618776,,,,,,,,,,,,,,,,,,,,,,
607,0.003814276,,,,,,,,,,,,,,,,,,,,,,
606,0.003294338,,,,,,,,,,,,,,,,,,,,,,
605,0.003954585,,,,,,,,,,,,,,,,,,,,,,
604,0.003734661,,,,,,,,,,,,,,,,,,,,,,
603,0.003591943,,,,,,,,,,,,,,,,,,,,,,
602,0.003281244,,,,,,,,,,,,,,,,,,,,,,
601,0.003630601,,,,,,,,,,,,,,,,,,,,,,
600,0.00377884,,,,,,,,,,,,,,,,,,,,,,
599,0.003297181,,,,,,,,,,,,,,,,,,,,,,
598,0.003231143,,,,,,,,,,,,,,,,,,,,,,
597,0.003224467,,,,,,,,,,,,,,,,,,,,,,
596,0.003462137,,,,,,,,,,,,,,,,,,,,,,
