Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,,,,
698,-0.007622096,,,,,,,,,,,,,,,,,,,,,,
697,-0.007039484,,,,,,,,,,,,,,,,,,,,,,
696,-0.006310489,,,,,,,,,,,,,,,,,,,,,,
695,-0.005648137,,,,,,,,,,,,,,,,,,,,,,
694,-0.004889362,,,,,,,,,,,,,,,,,,,,,,
693,-0.004341873,,,,,,,,,,,,,,,,,,,,,,
692,-0.003639393,,,,,,,,,,,,,,,,,,,,,,
691,-0.003196771,,,,,,,,,,,,,,,,,,,,,,
690,-0.002649716,,,,,,,,,,,,,,,,,,,,,,
689,-0.002388184,,,,,,,,,,,,,,,,,,,,,,
688,-0.001530216,,,,,,,,,,,,,,,,,,,,,,
687,-0.000934616,,,,,,,,,,,,,,,,,,,,,,
686,-0.000428305,,,,,,,,,,,,,,,,,,,,,,
685,-0.000291171,,,,,,,,,,,,,,,,,,,,,,
684,0.000411704,,,,,,,,,,,,,,,,,,,,,,
683,0.000693028,,,,,,,,,,,,,,,,,,,,,,
682,0.001124803,,,,,,,,,,,,,,,,,,,,,,
681,0.001386255,,,,,,,,,,,,,,,,,,,,,,
680,0.001764265,,,,,,,,,,,,,,,,,,,,,,
679,0.002182354,,,,,,,,,,,,,,,,,,,,,,
678,0.002176891,,,,,,,,,,,,,,,,,,,,,,
677,0.002658793,,,,,,,,,,,,,,,,,,,,,,
676,0.003198285,,,,,,,,,,,,,,,,,,,,,,
675,0.003410162,,,,,,,,,,,,,,,,,,,,,,
674,0.003586723,,,,,,,,,,,,,,,,,,,,,,
673,0.003656078,,,,,,,,,,,,,,,,,,,,,,
672,0.004151281,,,,,,,,,,,,,,,,,,,,,,
671,0.003787066,,,,,,,,,,,,,,,,,,,,,,
670,0.003506863,,,,,,,,,,,,,,,,,,,,,,
669,0.003112264,,,,,,,,,,,,,,,,,,,,,,
668,0.003039242,,,,,,,,,,,,,,,,,,,,,,
667,0.002824106,,,,,,,,,,,,,,,,,,,,,,
666,0.002938215,,,,,,,,,,,,,,,,,,,,,,
665,0.002861575,,,,,,,,,,,,,,,,,,,,,,
664,0.002757515,,,,,,,,,,,,,,,,,,,,,,
663,0.0027106,,,,,,,,,,,,,,,,,,,,,,
662,0.002676296,,,,,,,,,,,,,,,,,,,,,,
661,0.002586499,,,,,,,,,,,,,,,,,,,,,,
660,0.002528614,,,,,,,,,,,,,,,,,,,,,,
659,0.002693773,,,,,,,,,,,,,,,,,,,,,,
658,0.002603087,,,,,,,,,,,,,,,,,,,,,,
657,0.002663846,,,,,,,,,,,,,,,,,,,,,,
656,0.002572255,,,,,,,,,,,,,,,,,,,,,,
655,0.002374372,,,,,,,,,,,,,,,,,,,,,,
654,0.002459335,,,,,,,,,,,,,,,,,,,,,,
653,0.002546893,,,,,,,,,,,,,,,,,,,,,,
652,0.002556137,,,,,,,,,,,,,,,,,,,,,,
651,0.002602696,,,,,,,,,,,,,,,,,,,,,,
650,0.002393867,,,,,,,,,,,,,,,,,,,,,,
649,0.002653506,,,,,,,,,,,,,,,,,,,,,,
648,0.002377209,,,,,,,,,,,,,,,,,,,,,,
647,0.002654991,,,,,,,,,,,,,,,,,,,,,,
646,0.002809099,,,,,,,,,,,,,,,,,,,,,,
645,0.002534915,,,,,,,,,,,,,,,,,,,,,,
644,0.002646214,,,,,,,,,,,,,,,,,,,,,,
643,0.002516013,,,,,,,,,,,,,,,,,,,,,,
642,0.002662909,,,,,,,,,,,,,,,,,,,,,,
641,0.002804722,,,,,,,,,,,,,,,,,,,,,,
640,0.002743005,,,,,,,,,,,,,,,,,,,,,,
639,0.002756525,,,,,,,,,,,,,,,,,,,,,,
638,0.00269294,,,,,,,,,,,,,,,,,,,,,,
637,0.002556996,,,,,,,,,,,,,,,,,,,,,,
636,0.002701588,,,,,,,,,,,,,,,,,,,,,,
635,0.002571864,,,,,,,,,,,,,,,,,,,,,,
634,0.002749231,,,,,,,,,,,,,,,,,,,,,,
633,0.002898343,,,,,,,,,,,,,,,,,,,,,,
632,0.002573973,,,,,,,,,,,,,,,,,,,,,,
631,0.002823741,,,,,,,,,,,,,,,,,,,,,,
630,0.002799511,,,,,,,,,,,,,,,,,,,,,,
629,0.002810011,,,,,,,,,,,,,,,,,,,,,,
628,0.002817254,,,,,,,,,,,,,,,,,,,,,,
627,0.002794717,,,,,,,,,,,,,,,,,,,,,,
626,0.002749309,,,,,,,,,,,,,,,,,,,,,,
625,0.002822126,,,,,,,,,,,,,,,,,,,,,,
624,0.002813476,,,,,,,,,,,,,,,,,,,,,,
623,0.002896467,,,,,,,,,,,,,,,,,,,,,,
622,0.002939101,,,,,,,,,,,,,,,,,,,,,,
621,0.002791356,,,,,,,,,,,,,,,,,,,,,,
620,0.002762413,,,,,,,,,,,,,,,,,,,,,,
619,0.003021855,,,,,,,,,,,,,,,,,,,,,,
618,0.002967171,,,,,,,,,,,,,,,,,,,,,,
617,0.002906161,,,,,,,,,,,,,,,,,,,,,,
616,0.002979369,,,,,,,,,,,,,,,,,,,,,,
615,0.002817384,,,,,,,,,,,,,,,,,,,,,,
614,0.002871346,,,,,,,,,,,,,,,,,,,,,,
613,0.002842267,,,,,,,,,,,,,,,,,,,,,,
612,0.0028295,,,,,,,,,,,,,,,,,,,,,,
611,0.002853419,,,,,,,,,,,,,,,,,,,,,,
610,0.002907151,,,,,,,,,,,,,,,,,,,,,,
609,0.00285876,,,,,,,,,,,,,,,,,,,,,,
608,0.002970533,,,,,,,,,,,,,,,,,,,,,,
607,0.002922448,,,,,,,,,,,,,,,,,,,,,,
606,0.002741025,,,,,,,,,,,,,,,,,,,,,,
605,0.002842944,,,,,,,,,,,,,,,,,,,,,,
604,0.002840391,,,,,,,,,,,,,,,,,,,,,,
603,0.002854435,,,,,,,,,,,,,,,,,,,,,,
602,0.00281754,,,,,,,,,,,,,,,,,,,,,,
601,0.002604207,,,,,,,,,,,,,,,,,,,,,,
600,0.002758765,,,,,,,,,,,,,,,,,,,,,,
599,0.00243929,,,,,,,,,,,,,,,,,,,,,,
598,0.002378172,,,,,,,,,,,,,,,,,,,,,,
597,0.002368255,,,,,,,,,,,,,,,,,,,,,,
596,0.002389416,,,,,,,,,,,,,,,,,,,,,,
595,0.002230774,,,,,,,,,,,,,,,,,,,,,,
