Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,
687,-0.002333861,,,,,,,,,,,,,,,,,,,
686,-0.002179968,,,,,,,,,,,,,,,,,,,
685,-0.001571486,,,,,,,,,,,,,,,,,,,
684,-0.000954195,,,,,,,,,,,,,,,,,,,
683,-0.000596986,,,,,,,,,,,,,,,,,,,
682,-0.000869829,,,,,,,,,,,,,,,,,,,
681,-0.000442114,,,,,,,,,,,,,,,,,,,
680,-7.02E-05,,,,,,,,,,,,,,,,,,,
679,0.00056564,,,,,,,,,,,,,,,,,,,
678,0.000583007,,,,,,,,,,,,,,,,,,,
677,0.000661528,,,,,,,,,,,,,,,,,,,
676,0.001377634,,,,,,,,,,,,,,,,,,,
675,0.001315834,,,,,,,,,,,,,,,,,,,
674,0.002116694,,,,,,,,,,,,,,,,,,,
673,0.001908983,,,,,,,,,,,,,,,,,,,
672,0.002363857,,,,,,,,,,,,,,,,,,,
671,0.002202414,,,,,,,,,,,,,,,,,,,
670,0.001651763,,,,,,,,,,,,,,,,,,,
669,0.001365533,,,,,,,,,,,,,,,,,,,
668,0.001687051,,,,,,,,,,,,,,,,,,,
667,0.001195038,,,,,,,,,,,,,,,,,,,
666,0.001051569,,,,,,,,,,,,,,,,,,,
665,0.001389242,,,,,,,,,,,,,,,,,,,
664,0.001376465,,,,,,,,,,,,,,,,,,,
663,0.001057875,,,,,,,,,,,,,,,,,,,
662,0.001078142,,,,,,,,,,,,,,,,,,,
661,0.001663508,,,,,,,,,,,,,,,,,,,
660,0.000731091,,,,,,,,,,,,,,,,,,,
659,0.001138766,,,,,,,,,,,,,,,,,,,
658,0.00113726,,,,,,,,,,,,,,,,,,,
657,0.001094205,,,,,,,,,,,,,,,,,,,
656,0.001084889,,,,,,,,,,,,,,,,,,,
655,0.000801418,,,,,,,,,,,,,,,,,,,
654,0.001005772,,,,,,,,,,,,,,,,,,,
653,0.000801288,,,,,,,,,,,,,,,,,,,
652,0.000680091,,,,,,,,,,,,,,,,,,,
651,0.001175207,,,,,,,,,,,,,,,,,,,
650,0.000803674,,,,,,,,,,,,,,,,,,,
649,0.001268944,,,,,,,,,,,,,,,,,,,
648,0.001056863,,,,,,,,,,,,,,,,,,,
647,0.001518976,,,,,,,,,,,,,,,,,,,
646,0.000924751,,,,,,,,,,,,,,,,,,,
645,0.001180242,,,,,,,,,,,,,,,,,,,
644,0.000775796,,,,,,,,,,,,,,,,,,,
643,0.001452948,,,,,,,,,,,,,,,,,,,
642,0.000980346,,,,,,,,,,,,,,,,,,,
