Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,
682,0.001598861,,,,,,,,,,,,,,,,,,
681,0.001923933,,,,,,,,,,,,,,,,,,
680,0.002194738,,,,,,,,,,,,,,,,,,
679,0.002721358,,,,,,,,,,,,,,,,,,
678,0.002751133,,,,,,,,,,,,,,,,,,
677,0.002954296,,,,,,,,,,,,,,,,,,
676,0.003285861,,,,,,,,,,,,,,,,,,
675,0.003639189,,,,,,,,,,,,,,,,,,
674,0.003860658,,,,,,,,,,,,,,,,,,
673,0.004214663,,,,,,,,,,,,,,,,,,
672,0.004362683,,,,,,,,,,,,,,,,,,
671,0.004215499,,,,,,,,,,,,,,,,,,
670,0.004019035,,,,,,,,,,,,,,,,,,
669,0.00346091,,,,,,,,,,,,,,,,,,
668,0.003409849,,,,,,,,,,,,,,,,,,
667,0.003504514,,,,,,,,,,,,,,,,,,
666,0.00340784,,,,,,,,,,,,,,,,,,
665,0.003381673,,,,,,,,,,,,,,,,,,
664,0.003306519,,,,,,,,,,,,,,,,,,
663,0.003033064,,,,,,,,,,,,,,,,,,
662,0.003448855,,,,,,,,,,,,,,,,,,
661,0.003225301,,,,,,,,,,,,,,,,,,
660,0.003300154,,,,,,,,,,,,,,,,,,
659,0.00310585,,,,,,,,,,,,,,,,,,
658,0.003220686,,,,,,,,,,,,,,,,,,
657,0.003112473,,,,,,,,,,,,,,,,,,
656,0.003263613,,,,,,,,,,,,,,,,,,
655,0.003284896,,,,,,,,,,,,,,,,,,
654,0.003310458,,,,,,,,,,,,,,,,,,
653,0.003303989,,,,,,,,,,,,,,,,,,
652,0.003078971,,,,,,,,,,,,,,,,,,
651,0.003197998,,,,,,,,,,,,,,,,,,
650,0.003061609,,,,,,,,,,,,,,,,,,
649,0.003307797,,,,,,,,,,,,,,,,,,
648,0.003374916,,,,,,,,,,,,,,,,,,
647,0.003189549,,,,,,,,,,,,,,,,,,
646,0.003340455,,,,,,,,,,,,,,,,,,
645,0.003282705,,,,,,,,,,,,,,,,,,
644,0.003353837,,,,,,,,,,,,,,,,,,
643,0.003512734,,,,,,,,,,,,,,,,,,
642,0.003376977,,,,,,,,,,,,,,,,,,
641,0.003352663,,,,,,,,,,,,,,,,,,
640,0.003496685,,,,,,,,,,,,,,,,,,
639,0.00349619,,,,,,,,,,,,,,,,,,
638,0.003628643,,,,,,,,,,,,,,,,,,
637,0.00357717,,,,,,,,,,,,,,,,,,
636,0.003693279,,,,,,,,,,,,,,,,,,
635,0.003648429,,,,,,,,,,,,,,,,,,
634,0.003712416,,,,,,,,,,,,,,,,,,
633,0.003682601,,,,,,,,,,,,,,,,,,
632,0.003819838,,,,,,,,,,,,,,,,,,
631,0.003621099,,,,,,,,,,,,,,,,,,
630,0.00389051,,,,,,,,,,,,,,,,,,
629,0.003800723,,,,,,,,,,,,,,,,,,
628,0.003786752,,,,,,,,,,,,,,,,,,
627,0.003946591,,,,,,,,,,,,,,,,,,
626,0.003864523,,,,,,,,,,,,,,,,,,
625,0.003984157,,,,,,,,,,,,,,,,,,
624,0.003884033,,,,,,,,,,,,,,,,,,
623,0.00409993,,,,,,,,,,,,,,,,,,
622,0.004092535,,,,,,,,,,,,,,,,,,
621,0.004080671,,,,,,,,,,,,,,,,,,
620,0.004066875,,,,,,,,,,,,,,,,,,
619,0.004194066,,,,,,,,,,,,,,,,,,
618,0.004115296,,,,,,,,,,,,,,,,,,
617,0.004114485,,,,,,,,,,,,,,,,,,
616,0.00410189,,,,,,,,,,,,,,,,,,
615,0.004185519,,,,,,,,,,,,,,,,,,
614,0.004304013,,,,,,,,,,,,,,,,,,
613,0.00444665,,,,,,,,,,,,,,,,,,
612,0.004179429,,,,,,,,,,,,,,,,,,
611,0.004305059,,,,,,,,,,,,,,,,,,
610,0.004293425,,,,,,,,,,,,,,,,,,
609,0.004447226,,,,,,,,,,,,,,,,,,
608,0.004312222,,,,,,,,,,,,,,,,,,
607,0.004261976,,,,,,,,,,,,,,,,,,
606,0.004195817,,,,,,,,,,,,,,,,,,
605,0.004416916,,,,,,,,,,,,,,,,,,
604,0.004508662,,,,,,,,,,,,,,,,,,
603,0.004373744,,,,,,,,,,,,,,,,,,
602,0.004442205,,,,,,,,,,,,,,,,,,
601,0.004373142,,,,,,,,,,,,,,,,,,
600,0.004318026,,,,,,,,,,,,,,,,,,
599,0.004224621,,,,,,,,,,,,,,,,,,
598,0.004169079,,,,,,,,,,,,,,,,,,
597,0.004059663,,,,,,,,,,,,,,,,,,
596,0.004160402,,,,,,,,,,,,,,,,,,
595,0.004005788,,,,,,,,,,,,,,,,,,
594,0.003865933,,,,,,,,,,,,,,,,,,
593,0.003980316,,,,,,,,,,,,,,,,,,
592,0.003905398,,,,,,,,,,,,,,,,,,
591,0.003900253,,,,,,,,,,,,,,,,,,
590,0.003779467,,,,,,,,,,,,,,,,,,
589,0.003639319,,,,,,,,,,,,,,,,,,
588,0.003758212,,,,,,,,,,,,,,,,,,
587,0.003677511,,,,,,,,,,,,,,,,,,
586,0.003751397,,,,,,,,,,,,,,,,,,
585,0.003675553,,,,,,,,,,,,,,,,,,
584,0.003516388,,,,,,,,,,,,,,,,,,
583,0.00355021,,,,,,,,,,,,,,,,,,
582,0.003390491,,,,,,,,,,,,,,,,,,
581,0.003568558,,,,,,,,,,,,,,,,,,
580,0.003418355,,,,,,,,,,,,,,,,,,
579,0.003303989,,,,,,,,,,,,,,,,,,
578,0.003285235,,,,,,,,,,,,,,,,,,
577,0.00324906,,,,,,,,,,,,,,,,,,
576,0.003031656,,,,,,,,,,,,,,,,,,
575,0.003070003,,,,,,,,,,,,,,,,,,
574,0.002944887,,,,,,,,,,,,,,,,,,
573,0.003033481,,,,,,,,,,,,,,,,,,
572,0.002832939,,,,,,,,,,,,,,,,,,
571,0.002796463,,,,,,,,,,,,,,,,,,
570,0.002478886,,,,,,,,,,,,,,,,,,
569,0.00256663,,,,,,,,,,,,,,,,,,
568,0.002457435,,,,,,,,,,,,,,,,,,
567,0.00240748,,,,,,,,,,,,,,,,,,
566,0.002230748,,,,,,,,,,,,,,,,,,
565,0.002190758,,,,,,,,,,,,,,,,,,
564,0.001961714,,,,,,,,,,,,,,,,,,
563,0.001872376,,,,,,,,,,,,,,,,,,
562,0.001819656,,,,,,,,,,,,,,,,,,
561,0.001725201,,,,,,,,,,,,,,,,,,
560,0.001656362,,,,,,,,,,,,,,,,,,
559,0.001579739,,,,,,,,,,,,,,,,,,
558,0.001431261,,,,,,,,,,,,,,,,,,
557,0.001317625,,,,,,,,,,,,,,,,,,
556,0.001126568,,,,,,,,,,,,,,,,,,
555,0.000957412,,,,,,,,,,,,,,,,,,
554,0.000946334,,,,,,,,,,,,,,,,,,
553,0.000727824,,,,,,,,,,,,,,,,,,
552,0.000525181,,,,,,,,,,,,,,,,,,
551,0.000462388,,,,,,,,,,,,,,,,,,
550,0.000317348,,,,,,,,,,,,,,,,,,
549,0.00037183,,,,,,,,,,,,,,,,,,
548,0.000117072,,,,,,,,,,,,,,,,,,
547,6.54E-05,,,,,,,,,,,,,,,,,,
546,3.44E-05,,,,,,,,,,,,,,,,,,
545,-9.60E-05,,,,,,,,,,,,,,,,,,
544,-0.000179042,,,,,,,,,,,,,,,,,,
543,-0.000167657,,,,,,,,,,,,,,,,,,
542,-0.00030871,,,,,,,,,,,,,,,,,,
541,-0.000274667,,,,,,,,,,,,,,,,,,
540,-0.00034156,,,,,,,,,,,,,,,,,,
539,-0.000194412,,,,,,,,,,,,,,,,,,
538,-0.000107569,,,,,,,,,,,,,,,,,,
537,-2.31E-05,,,,,,,,,,,,,,,,,,
536,3.88E-05,,,,,,,,,,,,,,,,,,
535,0.000194395,,,,,,,,,,,,,,,,,,
534,0.000443783,,,,,,,,,,,,,,,,,,
533,0.000672779,,,,,,,,,,,,,,,,,,
532,0.000887319,,,,,,,,,,,,,,,,,,
531,0.001234001,,,,,,,,,,,,,,,,,,
530,0.001604967,,,,,,,,,,,,,,,,,,
529,0.00196018,,,,,,,,,,,,,,,,,,
528,0.002401676,,,,,,,,,,,,,,,,,,
527,0.002847374,,,,,,,,,,,,,,,,,,
526,0.003238393,,,,,,,,,,,,,,,,,,
525,0.003640546,,,,,,,,,,,,,,,,,,
524,0.004304327,,,,,,,,,,,,,,,,,,
523,0.004838354,,,,,,,,,,,,,,,,,,
522,0.005434135,,,,,,,,,,,,,,,,,,
521,0.005924758,,,,,,,,,,,,,,,,,,
520,0.006558218,,,,,,,,,,,,,,,,,,
519,0.007111156,,,,,,,,,,,,,,,,,,
518,0.00772656,,,,,,,,,,,,,,,,,,
517,0.008287585,,,,,,,,,,,,,,,,,,
516,0.008953808,,,,,,,,,,,,,,,,,,
515,0.009491524,,,,,,,,,,,,,,,,,,
514,0.01012303,,,,,,,,,,,,,,,,,,
513,0.010543043,,,,,,,,,,,,,,,,,,
512,0.011167291,,,,,,,,,,,,,,,,,,
511,0.011602698,,,,,,,,,,,,,,,,,,
510,0.012015975,,,,,,,,,,,,,,,,,,
509,0.012623796,,,,,,,,,,,,,,,,,,
508,0.013090385,,,,,,,,,,,,,,,,,,
507,0.013716625,,,,,,,,,,,,,,,,,,
506,0.014051084,,,,,,,,,,,,,,,,,,
505,0.0145694,,,,,,,,,,,,,,,,,,
504,0.01497565,,,,,,,,,,,,,,,,,,
503,0.015318912,,,,,,,,,,,,,,,,,,
502,0.015664861,,,,,,,,,,,,,,,,,,
501,0.016099645,,,,,,,,,,,,,,,,,,
500,0.016373256,,,,,,,,,,,,,,,,,,
499,0.016719185,,,,,,,,,,,,,,,,,,
498,0.017020995,,,,,,,,,,,,,,,,,,
497,0.017260708,,,,,,,,,,,,,,,,,,
496,0.017402951,,,,,,,,,,,,,,,,,,
495,0.017818552,,,,,,,,,,,,,,,,,,
494,0.01791827,,,,,,,,,,,,,,,,,,
493,0.018087365,,,,,,,,,,,,,,,,,,
492,0.018202074,,,,,,,,,,,,,,,,,,
491,0.01827931,,,,,,,,,,,,,,,,,,
490,0.018397905,,,,,,,,,,,,,,,,,,
489,0.01842845,,,,,,,,,,,,,,,,,,
488,0.018559784,,,,,,,,,,,,,,,,,,
487,0.01862595,,,,,,,,,,,,,,,,,,
486,0.018759614,,,,,,,,,,,,,,,,,,
485,0.018773371,,,,,,,,,,,,,,,,,,
484,0.018819837,,,,,,,,,,,,,,,,,,
483,0.018873176,,,,,,,,,,,,,,,,,,
