Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,
683,0.000358176,,,,,,,,,,,,,,,,,,
682,0.000706744,,,,,,,,,,,,,,,,,,
681,0.000610872,,,,,,,,,,,,,,,,,,
680,0.001406096,,,,,,,,,,,,,,,,,,
679,0.001395033,,,,,,,,,,,,,,,,,,
678,0.002271912,,,,,,,,,,,,,,,,,,
677,0.002747642,,,,,,,,,,,,,,,,,,
676,0.002883645,,,,,,,,,,,,,,,,,,
675,0.002692132,,,,,,,,,,,,,,,,,,
674,0.003010517,,,,,,,,,,,,,,,,,,
673,0.003569132,,,,,,,,,,,,,,,,,,
672,0.003592518,,,,,,,,,,,,,,,,,,
671,0.003446142,,,,,,,,,,,,,,,,,,
670,0.003151922,,,,,,,,,,,,,,,,,,
669,0.002683641,,,,,,,,,,,,,,,,,,
668,0.002341526,,,,,,,,,,,,,,,,,,
667,0.00278823,,,,,,,,,,,,,,,,,,
666,0.002667779,,,,,,,,,,,,,,,,,,
665,0.00307042,,,,,,,,,,,,,,,,,,
664,0.002334473,,,,,,,,,,,,,,,,,,
663,0.002248051,,,,,,,,,,,,,,,,,,
662,0.002864806,,,,,,,,,,,,,,,,,,
661,0.002262154,,,,,,,,,,,,,,,,,,
660,0.002423723,,,,,,,,,,,,,,,,,,
659,0.002203454,,,,,,,,,,,,,,,,,,
658,0.002033202,,,,,,,,,,,,,,,,,,
657,0.002377339,,,,,,,,,,,,,,,,,,
656,0.002242483,,,,,,,,,,,,,,,,,,
655,0.00260879,,,,,,,,,,,,,,,,,,
654,0.00220819,,,,,,,,,,,,,,,,,,
653,0.002447126,,,,,,,,,,,,,,,,,,
652,0.002820667,,,,,,,,,,,,,,,,,,
651,0.002349125,,,,,,,,,,,,,,,,,,
650,0.002202049,,,,,,,,,,,,,,,,,,
649,0.002413077,,,,,,,,,,,,,,,,,,
648,0.00244723,,,,,,,,,,,,,,,,,,
647,0.002229499,,,,,,,,,,,,,,,,,,
646,0.002736987,,,,,,,,,,,,,,,,,,
645,0.003011481,,,,,,,,,,,,,,,,,,
644,0.002222031,,,,,,,,,,,,,,,,,,
643,0.002287656,,,,,,,,,,,,,,,,,,
642,0.00249534,,,,,,,,,,,,,,,,,,
641,0.00194645,,,,,,,,,,,,,,,,,,
640,0.003048601,,,,,,,,,,,,,,,,,,
639,0.002229863,,,,,,,,,,,,,,,,,,
638,0.002021707,,,,,,,,,,,,,,,,,,
637,0.002580562,,,,,,,,,,,,,,,,,,
636,0.002860011,,,,,,,,,,,,,,,,,,
635,0.002732246,,,,,,,,,,,,,,,,,,
634,0.002768743,,,,,,,,,,,,,,,,,,
633,0.002645094,,,,,,,,,,,,,,,,,,
632,0.002619311,,,,,,,,,,,,,,,,,,
631,0.003002931,,,,,,,,,,,,,,,,,,
630,0.002774917,,,,,,,,,,,,,,,,,,
629,0.002458112,,,,,,,,,,,,,,,,,,
628,0.003031265,,,,,,,,,,,,,,,,,,
627,0.00269281,,,,,,,,,,,,,,,,,,
626,0.002652517,,,,,,,,,,,,,,,,,,
625,0.002821058,,,,,,,,,,,,,,,,,,
624,0.002756317,,,,,,,,,,,,,,,,,,
623,0.002985911,,,,,,,,,,,,,,,,,,
622,0.002730762,,,,,,,,,,,,,,,,,,
621,0.00288844,,,,,,,,,,,,,,,,,,
620,0.00309172,,,,,,,,,,,,,,,,,,
619,0.002466677,,,,,,,,,,,,,,,,,,
618,0.002789793,,,,,,,,,,,,,,,,,,
617,0.002555433,,,,,,,,,,,,,,,,,,
616,0.003199719,,,,,,,,,,,,,,,,,,
615,0.002737144,,,,,,,,,,,,,,,,,,
614,0.002607827,,,,,,,,,,,,,,,,,,
613,0.002614519,,,,,,,,,,,,,,,,,,
612,0.002499219,,,,,,,,,,,,,,,,,,
611,0.003203787,,,,,,,,,,,,,,,,,,
610,0.002320029,,,,,,,,,,,,,,,,,,
609,0.002731517,,,,,,,,,,,,,,,,,,
608,0.002925263,,,,,,,,,,,,,,,,,,
607,0.002530932,,,,,,,,,,,,,,,,,,
606,0.002800631,,,,,,,,,,,,,,,,,,
605,0.002930944,,,,,,,,,,,,,,,,,,
604,0.002675567,,,,,,,,,,,,,,,,,,
603,0.002392514,,,,,,,,,,,,,,,,,,
602,0.001787216,,,,,,,,,,,,,,,,,,
601,0.002257991,,,,,,,,,,,,,,,,,,
600,0.002550694,,,,,,,,,,,,,,,,,,
599,0.002683172,,,,,,,,,,,,,,,,,,
598,0.002382414,,,,,,,,,,,,,,,,,,
597,0.002115654,,,,,,,,,,,,,,,,,,
596,0.002167265,,,,,,,,,,,,,,,,,,
595,0.002042253,,,,,,,,,,,,,,,,,,
594,0.002100515,,,,,,,,,,,,,,,,,,
593,0.002016974,,,,,,,,,,,,,,,,,,
592,0.001668367,,,,,,,,,,,,,,,,,,
591,0.001862809,,,,,,,,,,,,,,,,,,
590,0.001805489,,,,,,,,,,,,,,,,,,
589,0.002074634,,,,,,,,,,,,,,,,,,
588,0.001660468,,,,,,,,,,,,,,,,,,
587,0.002002723,,,,,,,,,,,,,,,,,,
586,0.001693912,,,,,,,,,,,,,,,,,,
585,0.001770035,,,,,,,,,,,,,,,,,,
584,0.00182748,,,,,,,,,,,,,,,,,,
583,0.001551785,,,,,,,,,,,,,,,,,,
582,0.001496247,,,,,,,,,,,,,,,,,,
581,0.001320326,,,,,,,,,,,,,,,,,,
580,0.001183902,,,,,,,,,,,,,,,,,,
579,0.0010524,,,,,,,,,,,,,,,,,,
578,0.001040956,,,,,,,,,,,,,,,,,,
577,0.001093504,,,,,,,,,,,,,,,,,,
576,0.00065108,,,,,,,,,,,,,,,,,,
575,0.000414477,,,,,,,,,,,,,,,,,,
574,0.000576008,,,,,,,,,,,,,,,,,,
573,0.000571394,,,,,,,,,,,,,,,,,,
572,0.000221718,,,,,,,,,,,,,,,,,,
571,0.000375094,,,,,,,,,,,,,,,,,,
570,0.000301391,,,,,,,,,,,,,,,,,,
569,-0.000262818,,,,,,,,,,,,,,,,,,
568,-0.000178007,,,,,,,,,,,,,,,,,,
567,-0.000166363,,,,,,,,,,,,,,,,,,
566,-0.000210091,,,,,,,,,,,,,,,,,,
565,-0.000460112,,,,,,,,,,,,,,,,,,
564,-0.001032812,,,,,,,,,,,,,,,,,,
563,-0.000981056,,,,,,,,,,,,,,,,,,
562,-0.001014373,,,,,,,,,,,,,,,,,,
561,-0.000959619,,,,,,,,,,,,,,,,,,
560,-0.00149049,,,,,,,,,,,,,,,,,,
559,-0.00120544,,,,,,,,,,,,,,,,,,
558,-0.001603829,,,,,,,,,,,,,,,,,,
557,-0.001535014,,,,,,,,,,,,,,,,,,
556,-0.002072087,,,,,,,,,,,,,,,,,,
555,-0.002172035,,,,,,,,,,,,,,,,,,
554,-0.001984897,,,,,,,,,,,,,,,,,,
553,-0.002366662,,,,,,,,,,,,,,,,,,
552,-0.002474727,,,,,,,,,,,,,,,,,,
551,-0.003276473,,,,,,,,,,,,,,,,,,
550,-0.0030821,,,,,,,,,,,,,,,,,,
549,-0.003264861,,,,,,,,,,,,,,,,,,
548,-0.003328881,,,,,,,,,,,,,,,,,,
547,-0.003656745,,,,,,,,,,,,,,,,,,
546,-0.003701458,,,,,,,,,,,,,,,,,,
545,-0.003688112,,,,,,,,,,,,,,,,,,
544,-0.004055765,,,,,,,,,,,,,,,,,,
543,-0.004030837,,,,,,,,,,,,,,,,,,
