Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,
681,0.004335412,,,,,,,,,,,,,,,,,,
680,0.004358108,,,,,,,,,,,,,,,,,,
679,0.004913224,,,,,,,,,,,,,,,,,,
678,0.005146214,,,,,,,,,,,,,,,,,,
677,0.005518886,,,,,,,,,,,,,,,,,,
676,0.005878497,,,,,,,,,,,,,,,,,,
675,0.006217555,,,,,,,,,,,,,,,,,,
674,0.006188461,,,,,,,,,,,,,,,,,,
673,0.006833587,,,,,,,,,,,,,,,,,,
672,0.0067602,,,,,,,,,,,,,,,,,,
671,0.006787491,,,,,,,,,,,,,,,,,,
670,0.006506476,,,,,,,,,,,,,,,,,,
669,0.006267949,,,,,,,,,,,,,,,,,,
668,0.006112478,,,,,,,,,,,,,,,,,,
667,0.005922869,,,,,,,,,,,,,,,,,,
666,0.0060862,,,,,,,,,,,,,,,,,,
665,0.005841528,,,,,,,,,,,,,,,,,,
664,0.005998319,,,,,,,,,,,,,,,,,,
663,0.005746326,,,,,,,,,,,,,,,,,,
662,0.006075096,,,,,,,,,,,,,,,,,,
661,0.006208522,,,,,,,,,,,,,,,,,,
660,0.006263143,,,,,,,,,,,,,,,,,,
659,0.00605617,,,,,,,,,,,,,,,,,,
658,0.006099667,,,,,,,,,,,,,,,,,,
657,0.006251273,,,,,,,,,,,,,,,,,,
656,0.006168269,,,,,,,,,,,,,,,,,,
655,0.006177879,,,,,,,,,,,,,,,,,,
654,0.00609502,,,,,,,,,,,,,,,,,,
653,0.006198518,,,,,,,,,,,,,,,,,,
652,0.006172549,,,,,,,,,,,,,,,,,,
651,0.00611576,,,,,,,,,,,,,,,,,,
650,0.006138286,,,,,,,,,,,,,,,,,,
649,0.006408081,,,,,,,,,,,,,,,,,,
648,0.006383834,,,,,,,,,,,,,,,,,,
647,0.006492024,,,,,,,,,,,,,,,,,,
646,0.006616774,,,,,,,,,,,,,,,,,,
645,0.006639325,,,,,,,,,,,,,,,,,,
644,0.006499776,,,,,,,,,,,,,,,,,,
643,0.006757386,,,,,,,,,,,,,,,,,,
642,0.006751549,,,,,,,,,,,,,,,,,,
641,0.00700581,,,,,,,,,,,,,,,,,,
640,0.006832877,,,,,,,,,,,,,,,,,,
639,0.006878609,,,,,,,,,,,,,,,,,,
638,0.006970508,,,,,,,,,,,,,,,,,,
637,0.006870982,,,,,,,,,,,,,,,,,,
636,0.006985186,,,,,,,,,,,,,,,,,,
635,0.007145996,,,,,,,,,,,,,,,,,,
634,0.007056138,,,,,,,,,,,,,,,,,,
633,0.006995814,,,,,,,,,,,,,,,,,,
632,0.007173444,,,,,,,,,,,,,,,,,,
631,0.007393484,,,,,,,,,,,,,,,,,,
630,0.007514121,,,,,,,,,,,,,,,,,,
629,0.007642536,,,,,,,,,,,,,,,,,,
628,0.007635423,,,,,,,,,,,,,,,,,,
627,0.007423528,,,,,,,,,,,,,,,,,,
626,0.007546886,,,,,,,,,,,,,,,,,,
625,0.007691331,,,,,,,,,,,,,,,,,,
624,0.007597567,,,,,,,,,,,,,,,,,,
623,0.00767128,,,,,,,,,,,,,,,,,,
622,0.007660293,,,,,,,,,,,,,,,,,,
621,0.007729723,,,,,,,,,,,,,,,,,,
620,0.007984082,,,,,,,,,,,,,,,,,,
619,0.007906045,,,,,,,,,,,,,,,,,,
618,0.00794348,,,,,,,,,,,,,,,,,,
617,0.007943375,,,,,,,,,,,,,,,,,,
616,0.008079803,,,,,,,,,,,,,,,,,,
615,0.008035737,,,,,,,,,,,,,,,,,,
614,0.008157712,,,,,,,,,,,,,,,,,,
613,0.008247693,,,,,,,,,,,,,,,,,,
612,0.008233367,,,,,,,,,,,,,,,,,,
611,0.008195512,,,,,,,,,,,,,,,,,,
610,0.008377936,,,,,,,,,,,,,,,,,,
609,0.008457245,,,,,,,,,,,,,,,,,,
608,0.008361812,,,,,,,,,,,,,,,,,,
607,0.008430772,,,,,,,,,,,,,,,,,,
606,0.008396778,,,,,,,,,,,,,,,,,,
605,0.008374135,,,,,,,,,,,,,,,,,,
604,0.008446661,,,,,,,,,,,,,,,,,,
603,0.008532689,,,,,,,,,,,,,,,,,,
602,0.008425836,,,,,,,,,,,,,,,,,,
601,0.00845165,,,,,,,,,,,,,,,,,,
600,0.008536754,,,,,,,,,,,,,,,,,,
599,0.008379361,,,,,,,,,,,,,,,,,,
598,0.008509722,,,,,,,,,,,,,,,,,,
597,0.008427552,,,,,,,,,,,,,,,,,,
596,0.008392029,,,,,,,,,,,,,,,,,,
595,0.0084649,,,,,,,,,,,,,,,,,,
594,0.008212237,,,,,,,,,,,,,,,,,,
593,0.008371022,,,,,,,,,,,,,,,,,,
592,0.008281622,,,,,,,,,,,,,,,,,,
591,0.008357009,,,,,,,,,,,,,,,,,,
590,0.008433939,,,,,,,,,,,,,,,,,,
589,0.008394192,,,,,,,,,,,,,,,,,,
588,0.008238433,,,,,,,,,,,,,,,,,,
587,0.008286398,,,,,,,,,,,,,,,,,,
586,0.008278851,,,,,,,,,,,,,,,,,,
585,0.00804668,,,,,,,,,,,,,,,,,,
584,0.008186728,,,,,,,,,,,,,,,,,,
583,0.008120576,,,,,,,,,,,,,,,,,,
582,0.007953946,,,,,,,,,,,,,,,,,,
581,0.008045916,,,,,,,,,,,,,,,,,,
580,0.007855566,,,,,,,,,,,,,,,,,,
579,0.007814159,,,,,,,,,,,,,,,,,,
578,0.007963359,,,,,,,,,,,,,,,,,,
577,0.007826493,,,,,,,,,,,,,,,,,,
576,0.007769777,,,,,,,,,,,,,,,,,,
575,0.007676023,,,,,,,,,,,,,,,,,,
574,0.007791599,,,,,,,,,,,,,,,,,,
573,0.007563876,,,,,,,,,,,,,,,,,,
572,0.007542857,,,,,,,,,,,,,,,,,,
571,0.00736339,,,,,,,,,,,,,,,,,,
570,0.007453232,,,,,,,,,,,,,,,,,,
569,0.007264168,,,,,,,,,,,,,,,,,,
568,0.007364338,,,,,,,,,,,,,,,,,,
567,0.007175076,,,,,,,,,,,,,,,,,,
566,0.00709079,,,,,,,,,,,,,,,,,,
565,0.007184603,,,,,,,,,,,,,,,,,,
564,0.006932341,,,,,,,,,,,,,,,,,,
563,0.00693747,,,,,,,,,,,,,,,,,,
562,0.006897755,,,,,,,,,,,,,,,,,,
