"","exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
"15",225.076787573607,1283663.4,36.15,"C11H14O5","O5","CHO",11,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,226.084064025767,225.07684710594,-0.263319456279615,0.26,225,224.82546482186,0.174535178140133,5,0.454545454545455,1.27272727272727,0,17.3910864275462,16,0.9,24,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"16",227.01968151415,710486.9,19.12,"C9H8O7","O7","CHO",9,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,228.02695796631,227.01972615914,-0.195788212284866,0.2,227,226.766189309671,0.233810690328795,6,0.777777777777778,0.888888888888889,-1,17.5405386624077,16,0.9,20,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"17",227.056061456862,1418682,40.15,"C10H12O6","O6","CHO",10,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,228.063337909022,227.05611166444,-0.220147517307949,0.22,227,226.802528630215,0.197471369785006,5,0.6,1.2,-1,17.5433375474308,16,0.9,22,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"18",227.0923623997,1268989.1,35.7,"C11H16O5","O5","CHO",11,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,228.09963885186,227.09249716974,-0.590838464639093,0.59,227,226.838789039095,0.161210960904839,4,0.454545454545455,1.45454545454545,-1,17.5461364324538,16,0.9,24,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
"19",229.035336340116,842914.5,22.92,"C9H10O7","O7","CHO",9,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,230.042612792276,229.03537622294,-0.173371461485834,0.17,229,228.779593437452,0.220406562548021,5,0.777777777777778,1.11111111111111,-2,17.6955886673154,16,0.9,20,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"20",229.071673282897,1237477.6,34.57,"C10H14O6","O6","CHO",10,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,230.078949735057,229.07176172824,-0.384413018083271,0.38,229,228.815889806078,0.184110193922407,4,0.6,1.4,-2,17.6983875523385,16,0.9,22,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"21",229.086973258804,708838.9,18.96,"C14H14O3","O3","CHO",14,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,230.094249710964,229.08701786134,-0.193844636422882,0.19,229,228.831172697895,0.168827302104916,8,0.214285714285714,1,5,17.6995611010385,17,1,30,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"22",231.050935166171,927307.7,25.4,"C9H12O7","O7","CHO",9,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,232.058211618331,231.05102628674,-0.392662550985699,0.39,231,230.792941627851,0.207058372149049,4,0.777777777777778,1.33333333333333,-3,17.8506386722231,16,0.9,20,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"23",235.024735908662,1504336.9,42.03,"C11H8O6","O6","CHO",11,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,236.032012360822,235.02481153684,-0.320414916899378,0.32,235,234.762305188933,0.237694811066717,8,0.545454545454545,0.727272727272727,2,18.1563144606923,17,0.9,24,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"24",235.061107851388,1131859.9,31.14,"C12H12O5","O5","CHO",12,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,236.068384303548,235.06119704214,-0.377817438296022,0.38,235,234.798636518423,0.201363481577459,7,0.416666666666667,1,2,18.1591133457154,17,0.9,26,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"25",237.004062791834,876942.4,23.68,"C10H6O7","O7","CHO",10,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,238.011339243994,237.00407609534,-0.0558944203866403,0.06,237,236.739421938025,0.260578061975167,8,0.7,0.6,1,18.3085655805769,17,0.9,22,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"26",237.040404734607,1517169.3,42.4,"C11H10O6","O6","CHO",11,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,238.047681186767,237.04046160064,-0.238885054186174,0.24,237,236.77572330106,0.224276698940486,7,0.545454545454545,0.909090909090909,1,18.3113644656,17,0.9,24,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
