"","exp_mass","abundance","RT"
"633",795.288086533482,979156.2,6.31
"634",795.324175432948,1177062.3,7.87
"635",796.182405042142,887753.9,5.58
"636",796.21945893892,867804,5.42
"637",797.085542526235,1945925.4,13.94
"638",797.15794532454,2343017,17.08
"639",797.230712121831,2245004.5,16.31
"640",797.26709402048,2269598.8,16.5
"641",797.339922817598,965314.3,6.19
"642",798.161357529294,783574.3,4.75
"643",798.234553325389,1022330.1,6.64
"644",798.269693227498,886027.6,5.56
"645",799.064475013442,849171.6,5.26
"646",799.100979911749,1847205.1,13.15
"647",799.137265810666,2191671.5,15.88
"648",799.173640709335,2248009,16.32
"649",799.209949608188,2253659.5,16.37
"650",799.246543506247,2311021,16.82
"651",800.103978117656,723796.7,4.27
"652",800.140765015177,1085351.1,7.13
"653",800.176802914785,860664.8,5.35
"654",800.213509812529,948682.4,6.05
"655",800.250428709683,1221852.9,8.21
"656",801.0803273978,1012088,6.54
"657",801.116715296433,2015241.8,14.48
"658",801.152862195737,2220571.5,16.1
"659",801.225591993131,2260031.8,16.41
"660",801.262056891549,2488914.3,18.22
"661",802.119859501933,777851.7,4.69
"662",802.156490399889,706061.5,4.12
"663",802.229219197285,823473.9,5.05
"664",802.265798095386,1136707.8,7.52
"665",803.074878841497,899094.3,5.64
"666",803.096544781141,1461473.1,10.09
"667",803.111844738519,1207784.1,8.08
"668",803.133107679286,1534835.1,10.67
"669",803.147818638305,1150458.1,7.63
"670",803.168711580103,1973509,14.14
"671",803.314026175294,1762893.4,12.47
"672",803.350539073578,798047.4,4.84
"673",804.17167378611,975224.6,6.24
"674",804.317652379451,1042753.4,6.77
"675",805.090228227255,1343043.3,9.14
"676",805.126993124838,1619669.4,11.33
"677",805.163191024,1524455.4,10.58
"678",805.184313965157,1623410.4,11.36
"679",805.19996392156,1231994.3,8.27
"680",806.113249377384,717827.2,4.2
"681",807.070761710002,869922.6,5.4
"682",807.106055611683,1634228.9,11.44
"683",807.127101553054,762303.1,4.54
"684",807.142322510653,1804486.3,12.79
"685",807.178936408656,1627737.3,11.39
"686",807.19977335061,1461475.6,10.07
"687",807.215112307879,1339115.5,9.11
"688",807.251521206453,1287293.8,8.7
"689",807.272672147532,1820424.1,12.91
"690",807.309124045987,1190426.4,7.93
"691",808.218065513911,950882.9,6.03
"692",808.275949352662,865408.4,5.18
"693",809.08564109707,1419927.8,9.41
"694",809.194551793674,1896655,13.06
"695",809.215696734769,1259353.4,8.19
"696",809.231290691329,1728481.4,11.77
"697",809.252387632558,1472107.8,9.81
"698",809.267644590056,1496051.8,10
"699",809.288246532664,1144446.1,7.31
"700",809.303643489772,1282949.4,8.37
"701",809.340422387316,748952.6,4.28
"702",810.235138894868,719771.8,4.06
"703",810.26953479905,904045.4,5.47
"704",811.06506458291,746751.6,4.26
"705",811.101222482183,1741713.3,11.87
"706",811.137418381351,1920163.9,13.23
"707",811.173810279972,2083254.5,14.48
"708",811.196823215864,922689.8,5.6
"709",811.211048176237,1945801,13.43
"710",811.28330097496,1595501.4,10.75
"711",811.319481874169,1175680,7.54
"712",812.141635583862,1032352.2,6.44
"713",812.215518378043,810693.5,4.74
"714",812.28643418049,770090,4.43
"715",813.116720867527,1987471.3,13.74
"716",813.190014663349,1916596.8,13.2
"717",813.22600856308,2270662.8,15.9
"718",813.262301461977,2089433.4,14.52
"719",813.299054359593,1708908.1,11.61
"720",813.335898256955,1443966.9,9.58
"721",813.372033156293,758096.9,4.34
"722",814.229901766493,779973.3,4.5
"723",814.265780666544,862935.3,5.14
"724",814.339455461305,717244.9,4.02
"725",815.077333405769,722292.8,4.06
"726",815.096070353572,1287934.6,8.38
"727",815.169190149879,2113187.5,14.69
"728",815.242332946122,1955785.4,13.49
"729",815.351143643004,1099520.5,6.94
"730",816.17210435602,915364.1,5.53
"731",816.24581915067,910025.3,5.49
"732",817.127055695773,1124748.4,7.13
"733",817.148120637092,1614871.1,10.87
