0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,11min,,12min,,13min,,14min,,15min,,20min,,25min,,30min,,45min,,60min,,90min,,120min,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9871826,-0.0002919473336,799.9871826,-0.0005222717882,799.9871826,-0.0007290096837,799.9871826,-0.0007909240667,799.9871826,-0.0001436951279,799.9871826,0.001112111961,799.9871826,0.001252355054,799.9871826,0.0002814975742,799.9871826,0.001830027672,799.9871826,0.0005976002431,799.9871826,0.002019392559,799.9871826,0.004125199746,799.9871826,0.002732819412,799.9871826,0.00140165491,799.9871826,0.001757402904,799.9871826,0.003261891659,799.9871826,0.002600534819,799.9871826,0.003027172992,799.9871826,0.0062216511,799.9871826,0.003769701114,799.9871826,0.003364193952,799.9871826,0.003314839676,799.9871826,0.003754138947,
799.0133667,-0.001159075182,799.0133667,6.18977574E-005,799.0133667,-0.000338611746,799.0133667,-0.0007725263713,799.0133667,0.0006526871584,799.0133667,0.0009282007231,799.0133667,0.00234342576,799.0133667,0.0008994326927,799.0133667,0.001836188603,799.0133667,0.001526872627,799.0133667,0.003274410963,799.0133667,0.003661768977,799.0133667,0.003793881275,799.0133667,0.002391316229,799.0133667,0.002084986074,799.0133667,0.002554339822,799.0133667,0.003141883062,799.0133667,0.003238210687,799.0133667,0.006741611287,799.0133667,0.003814171534,799.0133667,0.003307979554,799.0133667,0.003784219502,799.0133667,0.003381959861,
798.0042114,0.000739959185,798.0042114,-0.0004455794988,798.0042114,0.0002326477261,798.0042114,0.0001058088383,798.0042114,0.000679053599,798.0042114,0.0004936411278,798.0042114,0.0004022470966,798.0042114,0.001228757435,798.0042114,0.00106368761,798.0042114,0.0001415675506,798.0042114,0.002427107422,798.0042114,0.003954715561,798.0042114,0.00278606778,798.0042114,0.002259525936,798.0042114,0.001761587453,798.0042114,0.001681620022,798.0042114,0.002224841388,798.0042114,0.00260022236,798.0042114,0.007372710388,798.0042114,0.00308554084,798.0042114,0.003559631528,798.0042114,0.0030164856,798.0042114,0.002962453291,
796.994751,-0.0006353979115,796.994751,0.0004013143189,796.994751,-0.000350561575,796.994751,-0.0002568163909,796.994751,0.0009504848858,796.994751,0.0008870856254,796.994751,0.0008939335239,796.994751,0.0002736750175,796.994751,0.0001161658729,796.994751,0.0009837187827,796.994751,0.001641290961,796.994751,0.004067737143,796.994751,0.003300884739,796.994751,0.002650328912,796.994751,0.002078379504,796.994751,0.002554938663,796.994751,0.002319534542,796.994751,0.002273967955,796.994751,0.005951105617,796.994751,0.003643913427,796.994751,0.003443636931,796.994751,0.003497990081,796.994751,0.002397953765,
795.9848022,0.001117561944,795.9848022,-0.0001286342158,795.9848022,-0.0003317313967,795.9848022,-0.0001292035304,795.9848022,0.0007870508125,795.9848022,0.0001990051387,795.9848022,0.0007208231837,795.9848022,0.00233067316,795.9848022,0.001094776089,795.9848022,0.00192817091,795.9848022,0.001194206998,795.9848022,0.003416945692,795.9848022,0.004001346882,795.9848022,0.003322821576,795.9848022,0.003098498099,795.9848022,0.002635093173,795.9848022,0.003023445373,795.9848022,0.002477454487,795.9848022,0.006770584732,795.9848022,0.002069562208,795.9848022,0.003291364526,795.9848022,0.004324012902,795.9848022,0.003507541027,
795.0093994,0.001317755086,795.0093994,-1.905165482E-005,795.0093994,4.760690354E-005,795.0093994,0.0001133176629,795.0093994,0.0004412174167,795.0093994,0.0008648565272,795.0093994,0.001000090153,795.0093994,0.0008203758625,795.0093994,0.0004861257039,795.0093994,0.002053592587,795.0093994,0.002536711982,795.0093994,0.004212885164,795.0093994,0.002535514301,795.0093994,0.00234160386,795.0093994,0.001285612001,795.0093994,0.001803799183,795.0093994,0.001800550031,795.0093994,0.002234416548,795.0093994,0.006997734308,795.0093994,0.003359028837,795.0093994,0.003797275946,795.0093994,0.003775941906,795.0093994,0.002984425053,
793.9986572,0.0001203346474,793.9986572,-0.0001581344695,793.9986572,5.449338278E-005,793.9986572,0.001116913161,793.9986572,0.001167082461,793.9986572,0.0004826531222,793.9986572,0.001536302385,793.9986572,0.001390176476,793.9986572,0.002187167527,793.9986572,0.001802941435,793.9986572,0.002623373875,793.9986572,0.004196391907,793.9986572,0.002817983273,793.9986572,0.002209880855,793.9986572,0.00194145774,793.9986572,0.003022480989,793.9986572,0.002645588946,793.9986572,0.003046228318,793.9986572,0.006683275569,793.9986572,0.004299385473,793.9986572,0.004770249594,793.9986572,0.003765288275,793.9986572,0.002844116651,
792.9875488,0.0007771963719,792.9875488,0.0006471911329,792.9875488,-0.0004277361149,792.9875488,-0.0001901684591,792.9875488,0.0008586315671,792.9875488,0.001010157168,792.9875488,0.002174575813,792.9875488,0.0004410878464,792.9875488,0.001201319275,792.9875488,0.001593742869,792.9875488,0.001478298102,792.9875488,0.004401147831,792.9875488,0.002894668374,792.9875488,0.003706620075,792.9875488,0.00142549572,792.9875488,0.002407298423,792.9875488,0.001114759129,792.9875488,0.002393554896,792.9875488,0.006893599406,792.9875488,0.003542484948,792.9875488,0.004082082305,792.9875488,0.004450703971,792.9875488,0.003149600932,
792.0109863,-0.0002147486666,792.0109863,-3.158076652E-006,792.0109863,-0.0004635255609,792.0109863,0.0001833113347,792.0109863,0.002621003892,792.0109863,0.001161787543,792.0109863,0.0009992858395,792.0109863,0.0007746809861,792.0109863,0.001054812921,792.0109863,0.0009290567832,792.0109863,0.00251856423,792.0109863,0.004048375413,792.0109863,0.002328851493,792.0109863,0.003864131169,792.0109863,0.002647516085,792.0109863,0.002964303829,792.0109863,0.001351977815,792.0109863,0.001891406835,792.0109863,0.00726574799,792.0109863,0.004132517148,792.0109863,0.003594736103,792.0109863,0.003262152663,792.0109863,0.003406300908,
