0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,15min,,20min,,25min,,30min,,45min,,60min,,90min,,120min,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
788.9949341,-0.000175368,788.9949341,3.33E-05,788.9949341,-0.00036039,788.9949341,7.51E-05,788.9949341,-0.000195292,788.9949341,-0.000204399,788.9949341,-0.000533286,788.9949341,-0.000289723,788.9949341,-0.000715313,788.9949341,-0.000416564,788.9949341,-0.000596314,788.9949341,-4.35E-05,788.9949341,0.000166608,788.9949341,-0.000369339,788.9949341,0.000543687,788.9949341,0.000533475,788.9949341,0.00143417,788.9949341,0.00137753,788.9949341,0.001755428
787.9827271,0.000121086,787.9827271,-0.000403323,787.9827271,-0.000341716,787.9827271,0.000147238,787.9827271,-0.000225564,787.9827271,-0.000344147,787.9827271,-0.000241915,787.9827271,-0.000647029,787.9827271,-0.000137122,787.9827271,-1.37E-05,787.9827271,-8.57E-05,787.9827271,3.24E-05,787.9827271,0.000681361,787.9827271,-5.58E-05,787.9827271,0.000505122,787.9827271,0.000915023,787.9827271,0.00143391,787.9827271,0.001821475,787.9827271,0.001720991
787.0048828,-2.95E-06,787.0048828,-0.000388944,787.0048828,9.17E-05,787.0048828,-0.000322626,787.0048828,-0.00029619,787.0048828,-0.000115488,787.0048828,-0.000480643,787.0048828,-0.000483281,787.0048828,-0.00033618,787.0048828,-0.000336698,787.0048828,-9.69E-05,787.0048828,3.61E-05,787.0048828,-0.000104877,787.0048828,-0.000506603,787.0048828,0.000243085,787.0048828,0.001127554,787.0048828,0.001337047,787.0048828,0.001066879,787.0048828,0.002034685
785.9917603,0.000441502,785.9917603,4.88E-05,785.9917603,6.60E-06,785.9917603,-7.09E-05,785.9917603,-0.000118852,785.9917603,-0.000328162,785.9917603,-0.000296604,785.9917603,-0.000174074,785.9917603,-0.000324541,785.9917603,-0.000297949,785.9917603,-5.44E-05,785.9917603,0.000341544,785.9917603,7.30E-05,785.9917603,8.33E-05,785.9917603,0.000314603,785.9917603,0.000783887,785.9917603,0.00208046,785.9917603,0.001607799,785.9917603,0.001904173
785.0133057,-2.02E-06,785.0133057,0.000291729,785.0133057,-0.000416719,785.0133057,-2.72E-05,785.0133057,-8.83E-05,785.0133057,-2.43E-06,785.0133057,-5.51E-05,785.0133057,-0.000736504,785.0133057,-0.000190427,785.0133057,-0.00013117,785.0133057,-0.000550504,785.0133057,5.46E-05,785.0133057,0.00038709,785.0133057,-0.000716553,785.0133057,-9.32E-06,785.0133057,0.001130616,785.0133057,0.00142843,785.0133057,0.001571634,785.0133057,0.002153269
783.9993896,-0.000305037,783.9993896,0.000223194,783.9993896,0.000190433,783.9993896,-0.000407409,783.9993896,0.000305458,783.9993896,0.000298853,783.9993896,-4.11E-05,783.9993896,-0.000431563,783.9993896,-0.000241397,783.9993896,1.13E-05,783.9993896,-5.43E-05,783.9993896,3.85E-05,783.9993896,0.000165624,783.9993896,-0.000146128,783.9993896,0.00054843,783.9993896,0.00066845,783.9993896,0.001548564,783.9993896,0.00182735,783.9993896,0.002089252
782.9852295,0.00014843,782.9852295,3.42E-05,782.9852295,-6.57E-05,782.9852295,4.64E-05,782.9852295,-6.37E-05,782.9852295,-0.000190479,782.9852295,-8.11E-05,782.9852295,-0.000210505,782.9852295,-7.51E-05,782.9852295,-0.000437822,782.9852295,-0.000320402,782.9852295,-0.000339181,782.9852295,0.000474801,782.9852295,-0.000144264,782.9852295,0.000176034,782.9852295,0.000829661,782.9852295,0.001833173,782.9852295,0.001561008,782.9852295,0.002101841
782.0054932,-0.000109122,782.0054932,0.000184088,782.0054932,0.000141749,782.0054932,2.69E-05,782.0054932,0.000106327,782.0054932,-0.000132878,782.0054932,-0.000265612,782.0054932,-5.45E-05,782.0054932,-4.17E-05,782.0054932,0.000136984,782.0054932,0.000184528,782.0054932,-0.000150785,782.0054932,0.00030766,782.0054932,-1.69E-05,782.0054932,0.000393619,782.0054932,0.00073008,782.0054932,0.00227683,782.0054932,0.001530795,782.0054932,0.001946112
780.9905396,0.000283622,780.9905396,9.17E-05,780.9905396,-0.000205589,780.9905396,0.000311002,780.9905396,0.000312064,780.9905396,0.000151692,780.9905396,-1.47E-05,780.9905396,-0.000131533,780.9905396,9.98E-05,780.9905396,0.000149491,780.9905396,-4.60E-05,780.9905396,0.000236092,780.9905396,0.000409424,780.9905396,-0.000272649,780.9905396,0.000229177,780.9905396,0.00036854,780.9905396,0.001878928,780.9905396,0.001681256,780.9905396,0.001861301
780.0101318,7.02E-05,780.0101318,0.000411704,780.0101318,-0.000247762,780.0101318,0.000193308,780.0101318,-0.000154253,780.0101318,-0.000321023,780.0101318,-0.000100322,780.0101318,-7.92E-05,780.0101318,-4.81E-05,780.0101318,-0.000112641,780.0101318,0.00016161,780.0101318,0.000441502,780.0101318,0.000257901,780.0101318,6.41E-05,780.0101318,0.000645921,780.0101318,0.000842291,780.0101318,0.002026856,780.0101318,0.00185293,780.0101318,0.001791582
778.9943237,0.000462907,778.9943237,-0.000112279,778.9943237,-0.00021035,778.9943237,-9.75E-05,778.9943237,0.000543272,778.9943237,-9.51E-05,778.9943237,3.60E-06,778.9943237,0.000137166,778.9943237,-0.000320402,778.9943237,-9.68E-05,778.9943237,-1.37E-05,778.9943237,0.000482187,778.9943237,0.000390018,778.9943237,0.000468271,778.9943237,0.000542235,778.9943237,0.000910224,778.9943237,0.002181392,778.9943237,0.001712831,778.9943237,0.002586212
778.0130615,-0.000123459,778.0130615,-6.32E-05,778.0130615,-4.19E-05,778.0130615,-0.000277616,778.0130615,0.000107751,778.0130615,0.00010309,778.0130615,-0.00030752,778.0130615,-0.000191048,778.0130615,-0.000363597,778.0130615,6.73E-05,778.0130615,0.00012919,778.0130615,0.000207552,778.0130615,0.000301676,778.0130615,-3.69E-05,778.0130615,0.000547834,778.0130615,0.001031563,778.0130615,0.001715378,778.0130615,0.001270814,778.0130615,0.002104026
776.996521,9.73E-05,776.996521,0.000172668,776.996521,0.00034556,776.996521,0.00032354,776.996521,0.000209986,776.996521,5.22E-05,776.996521,1.17E-05,776.996521,3.16E-05,776.996521,0.000214751,776.996521,-0.000200415,776.996521,-0.000207659,776.996521,-0.000265819,776.996521,0.000582488,776.996521,0.000118833,776.996521,0.000633166,776.996521,0.001163215,776.996521,0.002075883,776.996521,0.001714572,776.996521,0.001988134
