0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,15min,,20min,,25min,,30min,,45min,,60min,,90min,,120min,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
790.9990234,-0.001132379635,790.9990234,-0.000187580983,790.9990234,0.0001691200741,790.9990234,-0.0004010472912,790.9990234,0.0002691680274,790.9990234,-0.001325665973,790.9990234,-0.0002931373019,790.9990234,-0.0005965722958,790.9990234,-0.0008052385529,790.9990234,-0.0007184658316,790.9990234,0.000525673735,790.9990234,-0.001539760269,790.9990234,0.001206536777,790.9990234,0.004454653244,790.9990234,0.001108400756,790.9990234,0.00231269002,790.9990234,-0.0001662596333,790.9990234,-0.0006617104518,790.9990234,0.0006074506091,
789.9868164,0.0006202563527,789.9868164,-0.0002030020842,789.9868164,0.0003634616151,789.9868164,-0.0002182156604,789.9868164,-0.0002899295941,789.9868164,0.0003158200707,789.9868164,-0.0003920989111,789.9868164,0.0001477045589,789.9868164,-0.001121380716,789.9868164,-9.525932001E-006,789.9868164,-0.001528926543,789.9868164,-0.0009987221565,789.9868164,0.001298931078,789.9868164,0.005697618239,789.9868164,0.001442143461,789.9868164,0.004101001192,789.9868164,0.0008442107355,789.9868164,0.0001132917751,789.9868164,0.001430248376,
789.0090332,0.0001650803024,789.0090332,-0.0003198845079,789.0090332,-0.000375546515,789.0090332,-0.0004342529282,789.0090332,-0.0005307520623,789.0090332,-0.001787676476,789.0090332,0.0001369065722,789.0090332,-7.69780454E-005,789.0090332,-0.0008382066153,789.0090332,0.0004634766374,789.0090332,0.0006767720915,789.0090332,0.0002918328973,789.0090332,0.0005960967974,789.0090332,0.005403677933,789.0090332,0.00128698803,789.0090332,0.003654276952,789.0090332,-7.248010661E-006,789.0090332,-0.0001649658225,789.0090332,0.0006874279352,
787.9959106,-0.0005824576947,787.9959106,-0.0003646319383,787.9959106,-0.0002835141204,787.9959106,0.0002010769676,787.9959106,0.0002388637367,787.9959106,-0.0005097061512,787.9959106,-0.0001271332731,787.9959106,-0.0002220965835,787.9959106,-0.0009311547619,787.9959106,-0.0005624483456,787.9959106,0.0004868772521,787.9959106,7.082978846E-005,787.9959106,0.001054371824,787.9959106,0.00543825049,787.9959106,0.001247007167,787.9959106,0.003884163452,787.9959106,0.0009781406261,787.9959106,-0.0002580064465,787.9959106,0.0008549484774,
786.9824829,0.0005369997816,786.9824829,-0.0002329629933,786.9824829,0.0001563794067,786.9824829,-0.0006547835656,786.9824829,-0.0002137137344,786.9824829,-0.0003446125775,786.9824829,-0.0006226287223,786.9824829,-0.0005088270409,786.9824829,-0.001233318471,786.9824829,-0.0002699584875,786.9824829,-0.0006629510899,786.9824829,-0.001391262631,786.9824829,0.0001805144857,786.9824829,0.006056169514,786.9824829,0.001926818863,786.9824829,0.004660367966,786.9824829,-0.0002224587952,786.9824829,0.0009606286185,786.9824829,0.001000479329,
786.00354,-0.0007141758106,786.00354,-0.0005178764113,786.00354,0.0004894946469,786.00354,-0.0001627404708,786.00354,-0.0005028284504,786.00354,-0.001368090743,786.00354,-5.974070518E-005,786.00354,-0.0004381836334,786.00354,-0.0003563553037,786.00354,0.0005089573679,786.00354,-0.0002490033803,786.00354,-0.0001384161005,786.00354,0.0008975390811,786.00354,0.005729538854,786.00354,0.001334320754,786.00354,0.004123239778,786.00354,-0.0007279759739,786.00354,0.0007975018816,786.00354,0.0006939097075,
784.9893188,-9.147138189E-005,784.9893188,0.0004903239314,784.9893188,-4.219207767E-005,784.9893188,-0.0006653289893,784.9893188,-0.001254226081,784.9893188,-0.001606149832,784.9893188,0.0006375732482,784.9893188,-0.0003837710829,784.9893188,-0.0004072024021,784.9893188,-0.0004449588596,784.9893188,-0.0003849607601,784.9893188,-0.001054813736,784.9893188,0.0009612771682,784.9893188,0.00663480442,784.9893188,0.001143281814,784.9893188,0.003618932562,784.9893188,0.001121039619,784.9893188,0.0004064963432,784.9893188,0.001267152955,
784.0096436,-0.0003458541178,784.0096436,0.0005506328307,784.0096436,6.417605618E-005,784.0096436,-0.0002893604687,784.0096436,-0.0003391807841,784.0096436,0.0003813382646,784.0096436,-0.0001019787378,784.0096436,-0.0005922810524,784.0096436,-0.001031830558,784.0096436,-0.001007503131,784.0096436,-0.0005435756757,784.0096436,-0.001107644755,784.0096436,0.0009146854864,784.0096436,0.006179034244,784.0096436,0.0009282007231,784.0096436,0.003984417766,784.0096436,0.0007473492878,784.0096436,0.0007276165998,784.0096436,0.001613852801,
782.9946289,-0.000738726405,782.9946289,5.571017755E-005,782.9946289,-0.000554123777,782.9946289,0.0001182632041,782.9946289,0.0001757495047,782.9946289,-0.0008224979974,782.9946289,0.0002748406259,782.9946289,-0.000753559405,782.9946289,-0.0005283217761,782.9946289,4.279161294E-005,782.9946289,-0.0005887136795,782.9946289,-0.0003746671719,782.9946289,0.001299658092,782.9946289,0.007059769239,782.9946289,0.001278394484,782.9946289,0.003393256105,782.9946289,0.00121806236,782.9946289,5.436056654E-007,782.9946289,0.001124880626,
782.0142212,6.409838534E-005,782.0142212,-0.0004712312657,782.0142212,-0.0001261498837,782.0142212,0.0001486108813,782.0142212,0.0001259793935,782.0142212,-0.0008855356718,782.0142212,-0.000679750985,782.0142212,0.0003362853604,782.0142212,-0.0004971918534,782.0142212,-0.001141002984,782.0142212,-0.0004009438271,782.0142212,-0.0004518374335,782.0142212,0.0008750760462,782.0142212,0.006768270861,782.0142212,0.001900220639,782.0142212,0.003291494912,782.0142212,0.0008108578622,782.0142212,0.0003533059498,782.0142212,0.001775337034,
