0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,15min,,20min,,25min,,30min,,45min,,60min,,90min,,120min,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9830322,0.0002767315018,799.9830322,0.0001751797827,799.9830322,0.0003467515053,799.9830322,0.0004677005636,799.9830322,0.0003963137569,799.9830322,0.0006966580404,799.9830322,0.001036908594,799.9830322,0.0009331555339,799.9830322,0.0007228456088,799.9830322,0.0003586169041,799.9830322,0.001191247837,799.9830322,0.0006871427177,799.9830322,0.0004194516223,799.9830322,0.00401822431,799.9830322,0.003606925486,799.9830322,0.003132261802,799.9830322,0.001129396493,799.9830322,0.0007441598573,799.9830322,0.0009512372199,
799.0095215,0.0003787473834,799.0095215,0.0001234418451,799.0095215,0.0005837583449,799.0095215,0.0006456097472,799.0095215,0.0004797506845,799.0095215,0.0007656307425,799.0095215,0.0008801859221,799.0095215,0.0007845353102,799.0095215,0.001076740329,799.0095215,0.000716622686,799.0095215,0.0006028623902,799.0095215,0.0002317671315,799.0095215,0.0009724848205,799.0095215,0.003696176922,799.0095215,0.003877529409,799.0095215,0.002765564714,799.0095215,0.001477077254,799.0095215,0.0006274370826,799.0095215,0.0005575272953,
798.0007324,0.0004146840365,798.0007324,0.0002586001356,798.0007324,0.0001858751348,798.0007324,0.0007025436498,798.0007324,0.0001320126175,798.0007324,0.000617482583,798.0007324,0.000562866684,798.0007324,0.001318066614,798.0007324,0.0008958789986,798.0007324,0.0006880501751,798.0007324,0.001091350568,798.0007324,0.0005963819567,798.0007324,0.0005033854395,798.0007324,0.00335521996,798.0007324,0.00343672256,798.0007324,0.002519996138,798.0007324,0.001142113935,798.0007324,0.0003427100892,798.0007324,0.0007458712789,
796.9916382,0.0002837511129,796.9916382,0.0004029207339,796.9916382,0.0003513888223,796.9916382,0.0002304980444,796.9916382,0.0003930491512,796.9916382,0.0008160966681,796.9916382,0.0007303910679,796.9916382,0.001151275821,796.9916382,0.000906669884,796.9916382,0.0008769695414,796.9916382,0.0009051653906,796.9916382,0.0007585514686,796.9916382,0.0004522561794,796.9916382,0.003466702998,796.9916382,0.003318465315,796.9916382,0.002909157425,796.9916382,0.001126904972,796.9916382,0.0007242457941,796.9916382,0.0005740381312,
796.0167847,0.000448343344,796.0167847,0.0005712387501,796.0167847,0.0005716534797,796.0167847,0.0005163176684,796.0167847,-7.972805179E-006,796.0167847,0.00109425711,796.0167847,0.001065114746,796.0167847,0.0008461559773,796.0167847,0.0008276377339,796.0167847,0.0008580349968,796.0167847,0.001138402498,796.0167847,0.0005212678225,796.0167847,0.0007715950487,796.0167847,0.003037938848,796.0167847,0.003181099892,796.0167847,0.002776115667,796.0167847,0.001280030119,796.0167847,0.0005366369151,796.0167847,0.0006118832971,
795.006897,0.0004232864885,795.006897,0.0006174566806,795.006897,0.0003878413991,795.006897,0.0002037444647,795.006897,0.0001954312611,795.006897,0.0007876731688,795.006897,0.0008653493715,795.006897,0.0009695791523,795.006897,0.0005833436153,795.006897,0.0007666420424,795.006897,0.001131005702,795.006897,0.00105141371,795.006897,0.0007257756079,795.006897,0.00299172313,795.006897,0.003147436772,795.006897,0.003304406069,795.006897,0.001313990215,795.006897,0.0005496219965,795.006897,0.0003826337052,
793.996521,0.0005701760529,793.996521,0.000348383619,793.996521,0.0003842659353,793.996521,0.0007301317528,793.996521,0.0004039830528,793.996521,0.0005589528591,793.996521,0.0009870136855,793.996521,0.0008919102838,793.996521,0.001093738014,793.996521,0.0008058525855,793.996521,0.00108177471,793.996521,0.0009465675685,793.996521,0.0005676618312,793.996521,0.002026180271,793.996521,0.002717841417,793.996521,0.002602305729,793.996521,0.0008009251324,793.996521,0.0009668809944,793.996521,0.0005745565286,
792.9858398,0.0003856650437,792.9858398,0.0006461023004,792.9858398,0.0006456097472,792.9858398,0.0006532056723,792.9858398,0.0007883733488,792.9858398,0.0007709726924,792.9858398,0.001290519023,792.9858398,0.00112532184,792.9858398,0.000799861853,792.9858398,0.0007284722524,792.9858398,0.0008960345876,792.9858398,0.0005077652168,792.9858398,0.0008278711466,792.9858398,0.00236502802,792.9858398,0.003451151541,792.9858398,0.003066431731,792.9858398,0.00118641986,792.9858398,0.0008470377652,792.9858398,0.0007774297846,
792.0095215,0.0004504422832,792.0095215,0.0006254928303,792.0095215,0.0003318554373,792.0095215,0.0003370107152,792.0095215,0.0007106850389,792.0095215,0.0008657643339,792.0095215,0.001234182972,792.0095215,0.001057667308,792.0095215,0.001058342052,792.0095215,0.000372762559,792.0095215,0.001250330126,792.0095215,0.0006211895379,792.0095215,0.0009010928334,792.0095215,0.001968318596,792.0095215,0.003143838607,792.0095215,0.003516022349,792.0095215,0.001126126386,792.0095215,0.001087561715,792.0095215,0.0006619424676,
790.9980469,0.0008518879185,790.9980469,0.0007952715969,790.9980469,0.0006499391748,790.9980469,0.0006159013137,790.9980469,0.0004186224833,790.9980469,0.0008921956178,790.9980469,0.001352419262,790.9980469,0.001288545784,790.9980469,0.0009185506497,790.9980469,0.0009891152149,790.9980469,0.0007332692621,790.9980469,0.0008771770517,790.9980469,0.00120749732,790.9980469,0.001839048113,790.9980469,0.003050920554,790.9980469,0.003812160809,790.9980469,0.00132216909,790.9980469,0.000968307897,790.9980469,0.000729016785,
789.9860229,0.0006393101066,789.9860229,0.0005636183778,789.9860229,0.0003263116523,789.9860229,0.0007521724328,789.9860229,0.0005974447122,789.9860229,0.0009216375765,789.9860229,0.001400070731,789.9860229,0.001039425493,789.9860229,0.001028657192,789.9860229,0.000845559407,789.9860229,0.001138090971,789.9860229,0.0009340375545,789.9860229,0.001178736682,789.9860229,0.001613333123,789.9860229,0.003322351957,789.9860229,0.003975640051,789.9860229,0.00126074045,789.9860229,0.001279926277,789.9860229,0.001094776089,
789.008667,0.0007802045438,789.008667,0.0006682164967,789.008667,0.0006144237122,789.008667,0.0004959735088,789.008667,0.0005220193998,789.008667,0.0009541946929,789.008667,0.001521105762,789.008667,0.001236804877,789.008667,0.001205187058,789.008667,0.0008600321598,789.008667,0.001330010593,789.008667,0.0008052560734,789.008667,0.001116004772,789.008667,0.001757117105,789.008667,0.003360802541,789.008667,0.004145244136,789.008667,0.001468376024,789.008667,0.0009705390548,789.008667,0.001140764216,
787.9958496,0.0007669273182,787.9958496,0.0007228197064,787.9958496,0.0006211636355,787.9958496,0.0008456112701,787.9958496,0.0008902501431,787.9958496,0.001255184761,787.9958496,0.001284443657,787.9958496,0.001053593354,787.9958496,0.001143671107,787.9958496,0.0007838610327,787.9958496,0.001128903474,787.9958496,0.001034106244,787.9958496,0.001195374993,787.9958496,0.001976951724,787.9958496,0.003638144583,787.9958496,0.004795349203,787.9958496,0.001083435607,787.9958496,0.001425132039,787.9958496,0.0009870656068,
786.9827271,0.0008870078018,786.9827271,0.0007130185841,786.9827271,0.000512689352,786.9827271,0.0003269074659,786.9827271,0.0008349774871,786.9827271,0.001040956471,786.9827271,0.001375660067,786.9827271,0.001549265464,786.9827271,0.0009212484583,786.9827271,0.0008288826211,786.9827271,0.001207912574,786.9827271,0.001181721687,786.9827271,0.001055954723,786.9827271,0.001344343647,786.9827271,0.003150200704,786.9827271,0.004961189348,786.9827271,0.001520612161,786.9827271,0.001560878009,786.9827271,0.001119196997,
786.0042114,0.0007882696227,786.0042114,0.000799913716,786.0042114,0.0007884511724,786.0042114,0.0004859961336,786.0042114,0.00117146899,786.0042114,0.0009767137235,786.0042114,0.001566827297,786.0042114,0.001829065848,786.0042114,0.001395967556,786.0042114,0.00109685224,786.0042114,0.0009963280754,786.0042114,0.0007614817005,786.0042114,0.001363143558,786.0042114,0.001163033419,786.0042114,0.004176266957,786.0042114,0.005884479266,786.0042114,0.001465025474,786.0042114,0.001409393968,786.0042114,0.001172636985,
