 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL
 684.00     685.00     3.891E+14  1.494E+14     8.444E+13   6.230E+14
 685.00     686.00     3.950E+14  1.514E+14     8.570E+13   6.321E+14
 686.00     687.00     3.967E+14  1.517E+14     8.602E+13   6.344E+14
 687.00     688.00     3.994E+14  1.523E+14     8.658E+13   6.384E+14
 688.00     689.00     3.940E+14  1.500E+14     8.537E+13   6.293E+14
 689.00     690.00     3.987E+14  1.514E+14     8.635E+13   6.364E+14
 690.00     691.00     3.963E+14  1.502E+14     8.581E+13   6.323E+14
 691.00     692.00     3.934E+14  1.487E+14     8.515E+13   6.273E+14
 692.00     693.00     3.957E+14  1.493E+14     8.562E+13   6.306E+14
 693.00     694.00     3.985E+14  1.500E+14     8.619E+13   6.347E+14
 694.00     695.00     3.979E+14  1.495E+14     8.604E+13   6.335E+14
 695.00     696.00     3.986E+14  1.494E+14     8.617E+13   6.342E+14
 696.00     697.00     4.010E+14  1.500E+14     8.664E+13   6.376E+14
 697.00     698.00     3.983E+14  1.487E+14     8.604E+13   6.330E+14
 698.00     699.00     3.964E+14  1.477E+14     8.560E+13   6.297E+14
 699.00     700.00     4.031E+14  1.498E+14     8.701E+13   6.399E+14
