0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,15min,,20min,,25min,,30min,,40min,,50min,,60min,,90min,,120min,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
788.9832764,-0.002071108,788.9832764,-0.000908578,788.9832764,-0.00158593,788.9832764,-0.001049597,788.9832764,-0.000755678,788.9832764,-0.002168429,788.9832764,-0.001076092,788.9832764,-0.001143378,788.9832764,-0.000364632,788.9832764,0.000112204,788.9832764,-0.000540215,788.9832764,-0.001473773,788.9832764,-7.32E-05,788.9832764,-0.001184375,788.9832764,-0.000230945,788.9832764,-0.001206421,788.9832764,-0.001054452,788.9832764,-7.40E-06,788.9832764,-0.000860787,788.9832764,-0.000939679
788.005188,-0.000752888,788.005188,-0.000900984,788.005188,-0.000277771,788.005188,-0.001421297,788.005188,-0.000527443,788.005188,-0.001389869,788.005188,-0.000453648,788.005188,0.000393023,788.005188,-0.000921701,788.005188,-0.000975426,788.005188,0.000158632,788.005188,-0.000190789,788.005188,-0.000368305,788.005188,-0.000137692,788.005188,0.000247774,788.005188,-0.000409478,788.005188,-0.001879648,788.005188,-0.001101861,788.005188,-0.000892614,788.005188,-6.81E-05
786.9918213,-0.001270177,786.9918213,-0.000375753,786.9918213,-0.000828854,786.9918213,4.47E-05,786.9918213,-0.000630797,786.9918213,-0.001297122,786.9918213,-0.001126958,786.9918213,-0.000234826,786.9918213,-0.000258679,786.9918213,-0.001092049,786.9918213,-0.001013082,786.9918213,-0.000119163,786.9918213,-0.001237552,786.9918213,-0.000336698,786.9918213,-0.000364684,786.9918213,-0.001375626,786.9918213,-0.001133464,786.9918213,-0.00019198,786.9918213,-0.000477489,786.9918213,-0.000735625
786.0130005,0.000293465,786.0130005,-0.000314142,786.0130005,-0.000635139,786.0130005,0.000620127,786.0130005,0.000676202,786.0130005,-0.000146076,786.0130005,-0.000553452,786.0130005,-0.000476041,786.0130005,-0.00031409,786.0130005,0.000391702,786.0130005,0.000478688,786.0130005,0.000281653,786.0130005,-0.000528839,786.0130005,-0.001678873,786.0130005,-0.000547867,786.0130005,-0.001178592,786.0130005,-0.000268251,786.0130005,-0.000834745,786.0130005,-0.001317098,786.0130005,-0.000216094
784.9989014,-0.001570197,784.9989014,-0.000727511,784.9989014,-0.001089777,784.9989014,-0.001101706,784.9989014,-0.000676081,784.9989014,-0.0005307,784.9989014,-0.000967006,784.9989014,0.000783731,784.9989014,0.000500146,784.9989014,-0.000166311,784.9989014,-0.001248754,784.9989014,0.000217419,784.9989014,0.000118885,784.9989014,5.66E-05,784.9989014,-0.000468801,784.9989014,6.04E-05,784.9989014,-0.001804845,784.9989014,0.000563722,784.9989014,5.68E-05,784.9989014,-0.000148871
783.9842529,-0.00143848,783.9842529,-0.001305639,783.9842529,-0.000747564,783.9842529,-0.000549212,783.9842529,-0.000697377,783.9842529,-0.000216715,783.9842529,-0.000977905,783.9842529,-0.000601897,783.9842529,0.000633244,783.9842529,0.000338746,783.9842529,2.19E-05,783.9842529,0.00021716,783.9842529,-0.00068399,783.9842529,-0.000771958,783.9842529,-0.000596934,783.9842529,-0.001468459,783.9842529,-0.001230324,783.9842529,-0.001037925,783.9842529,-0.000566688,783.9842529,-0.000580648
783.0043945,-0.000563172,783.0043945,-0.000357597,783.0043945,-0.001659842,783.0043945,-0.001196973,783.0043945,0.000334472,783.0043945,-0.00049109,783.0043945,6.10E-05,783.0043945,-0.000384806,783.0043945,-0.000752888,783.0043945,0.000520646,783.0043945,-0.000120715,783.0043945,0.000609317,783.0043945,-0.001109142,783.0043945,0.000409424,783.0043945,-0.000473817,783.0043945,-0.001351988,783.0043945,-0.001890783,783.0043945,2.78E-05,783.0043945,0.0002471,783.0043945,-0.000256402
781.9889526,-0.000659849,781.9889526,-0.000243519,781.9889526,-0.000954505,781.9889526,-0.000465853,781.9889526,-0.000209626,781.9889526,-0.000884606,781.9889526,-0.001419078,781.9889526,-0.00060562,781.9889526,0.000580207,781.9889526,0.000921456,781.9889526,0.000445623,781.9889526,-0.000581113,781.9889526,0.000339705,781.9889526,-0.001115959,781.9889526,-0.001166459,781.9889526,-0.000306278,781.9889526,-0.000451734,781.9889526,-0.000372081,781.9889526,0.000135871,781.9889526,0.00036069
781.0082397,-0.000950786,781.0082397,-0.000546523,781.0082397,-0.00216539,781.0082397,-0.000746582,781.0082397,0.000504733,781.0082397,-0.000517825,781.0082397,-0.00023198,781.0082397,-0.000486797,781.0082397,-0.000598847,781.0082397,0.000156664,781.0082397,-0.000175885,781.0082397,-0.000138571,781.0082397,-0.000634312,781.0082397,4.71E-05,781.0082397,-0.000587318,781.0082397,5.08E-05,781.0082397,-0.001010757,781.0082397,0.000371182,781.0082397,-0.001463144,781.0082397,0.000603614
779.9921265,-0.001245966,779.9921265,-0.00016833,779.9921265,-0.000195809,779.9921265,-0.001158714,779.9921265,-0.000225822,779.9921265,-0.000316315,779.9921265,-0.000307365,779.9921265,0.000198565,779.9921265,-0.000407047,779.9921265,-0.001225213,779.9921265,0.000281938,779.9921265,-0.000334008,779.9921265,6.58E-05,779.9921265,0.000354109,779.9921265,-0.000862078,779.9921265,-0.000651372,779.9921265,-0.000943037,779.9921265,-0.001005075,779.9921265,9.28E-05,779.9921265,-0.001051095
779.0106812,-0.000671635,779.0106812,-0.000915501,779.0106812,-0.000997276,779.0106812,9.72E-05,779.0106812,0.000598015,779.0106812,-0.001435126,779.0106812,-0.000465232,779.0106812,-0.001538316,779.0106812,-0.000161188,779.0106812,-0.001022482,779.0106812,-0.000705492,779.0106812,-0.000563896,779.0106812,-0.000424116,779.0106812,-0.001062199,779.0106812,-0.000391685,779.0106812,0.00011513,779.0106812,-0.00115923,779.0106812,0.000556128,779.0106812,0.000556931,779.0106812,-0.000419306
777.9937134,-0.000131481,777.9937134,-0.000916844,777.9937134,-0.001447562,777.9937134,-0.000462284,777.9937134,-0.001493999,777.9937134,-0.000492072,777.9937134,-0.000865385,777.9937134,0.000150372,777.9937134,-0.000786428,777.9937134,-0.000586025,777.9937134,-0.001060753,777.9937134,-0.001348169,777.9937134,-0.00056188,777.9937134,0.000182534,777.9937134,-0.000732834,777.9937134,-0.000402392,777.9937134,-0.000874324,777.9937134,0.000411186,777.9937134,-0.00184346,777.9937134,-0.000497968
777.0115356,-0.001151278,777.0115356,-0.000412685,777.0115356,-0.000876959,777.0115356,-0.000591867,777.0115356,6.86E-05,777.0115356,-0.000932808,777.0115356,-0.000303692,777.0115356,-3.95E-05,777.0115356,-0.001109762,777.0115356,0.00069894,777.0115356,0.000217108,777.0115356,-0.00125722,777.0115356,-0.00020383,777.0115356,-0.000927074,777.0115356,2.73E-05,777.0115356,0.000101847,777.0115356,-0.00220933,777.0115356,-0.000365822,777.0115356,-0.00143301,777.0115356,-0.00017128
775.9938965,-0.000805755,775.9938965,-0.001428418,775.9938965,-0.000681974,775.9938965,-0.00101365,775.9938965,-0.000683576,775.9938965,-0.000989528,775.9938965,-0.001701667,775.9938965,-8.61E-05,775.9938965,0.000356622,775.9938965,-0.000575374,775.9938965,-0.000265664,775.9938965,0.000105524,775.9938965,-0.000646461,775.9938965,-2.45E-05,775.9938965,-0.001062302,775.9938965,-0.000229962,775.9938965,-0.001467788,775.9938965,-0.000786893,775.9938965,-0.000841617,775.9938965,-0.000574444
775.0109253,-0.000827717,775.0109253,-0.000850659,775.0109253,-0.001663917,775.0109253,-0.000176817,775.0109253,-0.001086162,775.0109253,-0.000384909,775.0109253,-0.000757074,775.0109253,9.06E-07,775.0109253,-0.000580441,775.0109253,5.95E-07,775.0109253,0.000207577,775.0109253,-0.000366494,775.0109253,0.000339731,775.0109253,-0.000881971,775.0109253,-0.001038287,775.0109253,-0.000533182,775.0109253,-0.001388992,775.0109253,-0.001113377,775.0109253,-0.000986945,775.0109253,0.000170001
773.9924927,-0.001383883,773.9924927,-0.000111502,773.9924927,-0.001314982,773.9924927,-0.000940919,773.9924927,-0.001110743,773.9924927,-0.000843374,773.9924927,-0.002141023,773.9924927,-0.00133026,773.9924927,9.02E-05,773.9924927,-0.00086027,773.9924927,-0.000239121,773.9924927,-0.000548798,773.9924927,-0.000528012,773.9924927,0.000254223,773.9924927,-0.000589799,773.9924927,-1.10E-05,773.9924927,-0.001073406,773.9924927,-0.000368098,773.9924927,-0.000560225,773.9924927,0.000142966
773.0087891,-0.000847818,773.0087891,-0.00078555,773.0087891,-0.000763896,773.0087891,-0.001015354,773.0087891,-0.001283495,773.0087891,-0.001188299,773.0087891,-0.000992782,773.0087891,-0.000584164,773.0087891,0.000475786,773.0087891,-0.001460306,773.0087891,0.000368617,773.0087891,-0.00042334,773.0087891,0.000386261,773.0087891,-0.000326713,773.0087891,-0.000962667,773.0087891,-0.000435805,773.0087891,-0.001130521,773.0087891,-0.000855981,773.0087891,-0.001491213,773.0087891,-0.000898607
771.989563,-0.001687898,771.989563,-0.001181174,771.989563,-0.00163849,771.989563,-0.000836863,771.989563,-0.001269506,771.989563,-0.000965405,771.989563,-0.001536923,771.989563,-0.000131636,771.989563,-0.000481626,771.989563,-0.000915605,771.989563,-0.00093131,771.989563,-0.000923974,771.989563,-0.000155806,771.989563,-0.000653129,771.989563,-0.001511592,771.989563,-0.001423722,771.989563,-0.002600624,771.989563,-6.01E-05,771.989563,-0.000596624,771.989563,-0.00024445
771.005127,-0.001205182,771.005127,-0.000826529,771.005127,-0.001090397,771.005127,-5.44E-05,771.005127,-0.000120974,771.005127,-0.001629567,771.005127,-0.000301053,771.005127,0.000709415,771.005127,-0.000713039,771.005127,0.000222288,771.005127,3.06E-05,771.005127,-0.000282117,771.005127,-6.40E-05,771.005127,0.000511886,771.005127,-0.001233215,771.005127,-0.000642894,771.005127,-0.001861297,771.005127,-0.000328834,771.005127,-0.00018489,771.005127,-0.001058119
769.9851074,-0.000633795,769.9851074,-0.000686264,769.9851074,-0.000743843,769.9851074,-0.000687866,769.9851074,-0.000284031,769.9851074,-0.000824152,769.9851074,-0.001202962,769.9851074,5.77E-05,769.9851074,-0.000342336,769.9851074,-0.000574237,769.9851074,-8.39E-06,769.9851074,0.000110832,769.9851074,-0.000364373,769.9851074,-0.000162533,769.9851074,-0.001053471,769.9851074,-0.0011915,769.9851074,-0.001244108,769.9851074,-0.000776299,769.9851074,-1.39E-05,769.9851074,-0.000777023
768.999939,-0.001284941,768.999939,-0.001091378,768.999939,-0.001872741,768.999939,-0.000333852,768.999939,-0.001229705,768.999939,-0.000721722,768.999939,-0.000809941,768.999939,0.000202553,768.999939,-0.000662072,768.999939,0.000181032,768.999939,-0.000682646,768.999939,-0.000566843,768.999939,-0.000966386,768.999939,-0.000735935,768.999939,-0.00140468,768.999939,-0.001093289,768.999939,-0.001715642,768.999939,0.000126782,768.999939,-0.000497037,768.999939,-0.000615649
768.0144043,-0.001522633,768.0144043,-0.001338673,768.0144043,-0.001264809,768.0144043,-0.000322678,768.0144043,-0.000810561,768.0144043,-0.001743643,768.0144043,-0.000823583,768.0144043,-0.000798779,768.0144043,-0.001687176,768.0144043,-0.001416394,768.0144043,-0.001788244,768.0144043,-0.001471555,768.0144043,-0.000849471,768.0144043,-0.001623945,768.0144043,-0.001888566,768.0144043,-0.001249632,768.0144043,-0.001790203,768.0144043,-0.001318388,768.0144043,-0.001329795,768.0144043,-0.001009001
766.9932861,-0.002699884,766.9932861,-0.000713969,766.9932861,-0.001888051,766.9932861,-0.000916121,766.9932861,-0.001532951,766.9932861,-0.001571796,766.9932861,-0.001388527,766.9932861,-0.002213296,766.9932861,-0.000784619,766.9932861,-0.001665103,766.9932861,-0.000813042,766.9932861,-0.001146063,766.9932861,-0.000554175,766.9932861,-0.001196044,766.9932861,-0.001179522,766.9932861,-0.001679749,766.9932861,-0.001764732,766.9932861,-0.001440338,766.9932861,-0.001309562,766.9932861,-0.000623301
766.006958,-0.002603351,766.006958,-0.001485847,766.006958,-0.001426766,766.006958,-0.000867865,766.006958,-0.001036789,766.006958,-0.001255,766.006958,-0.001463505,766.006958,-0.000493055,766.006958,-0.001515822,766.006958,-0.001241578,766.006958,-0.00071185,766.006958,-0.000744567,766.006958,-0.001061011,766.006958,-0.00191604,766.006958,-0.001483783,766.006958,-0.000385116,766.006958,-0.001875009,766.006958,-0.000490055,766.006958,-0.000854018,766.006958,-0.001497662
764.9851074,-0.00170734,764.9851074,-0.001425889,764.9851074,-0.001590521,764.9851074,-0.00142109,764.9851074,-0.001594131,764.9851074,-0.001240804,764.9851074,-0.00133124,764.9851074,-0.000313832,764.9851074,-0.001362207,764.9851074,-0.00190336,764.9851074,-0.000755833,764.9851074,-0.00105156,764.9851074,-0.001390282,764.9851074,-0.000455303,764.9851074,-0.001090706,764.9851074,-0.002076364,764.9851074,-0.001602591,764.9851074,-0.000958173,764.9851074,-0.000933118,764.9851074,-0.000714072
763.9980469,-0.001208538,763.9980469,-0.000516687,763.9980469,-0.002034369,763.9980469,-0.000907803,763.9980469,-0.001123446,763.9980469,-0.001248135,763.9980469,-0.001068913,763.9980469,-0.000449148,763.9980469,-0.001480481,763.9980469,-0.001390179,763.9980469,-0.000881609,763.9980469,-0.001061424,763.9980469,-0.001218553,763.9980469,-0.00157128,763.9980469,-0.001764165,763.9980469,-0.0012518,763.9980469,-0.001625492,763.9980469,-0.000912298,763.9980469,-0.000485556,763.9980469,-0.001279675
763.0107422,-0.00245604,763.0107422,-0.001326182,763.0107422,-0.002529959,763.0107422,-0.001084974,763.0107422,-0.000957811,763.0107422,-0.001298,763.0107422,-0.001378103,763.0107422,-0.001176734,763.0107422,-0.002001955,763.0107422,-0.002000409,763.0107422,-0.002003192,763.0107422,-0.000950011,763.0107422,-0.00141335,763.0107422,-0.001891762,763.0107422,-0.002041274,763.0107422,-0.001123963,763.0107422,-0.001818456,763.0107422,-0.00090305,763.0107422,-0.001218708,763.0107422,-0.00173039
761.9877319,-0.002455731,761.9877319,-0.000903102,761.9877319,-0.00251915,761.9877319,-0.001848048,761.9877319,-0.001847687,761.9877319,-0.002075333,761.9877319,-0.00168336,761.9877319,-0.001377742,761.9877319,-0.001513295,761.9877319,-0.001109091,761.9877319,-0.00133284,761.9877319,-0.001141106,761.9877319,-0.002277368,761.9877319,-0.001061579,761.9877319,-0.001892071,761.9877319,-0.00262867,761.9877319,-0.001871865,761.9877319,-0.001264086,761.9877319,-0.002098365,761.9877319,-0.002001955
760.9995728,-0.001391366,760.9995728,-0.001547447,760.9995728,-0.002080177,760.9995728,-0.000455044,760.9995728,-0.001458449,760.9995728,-0.000883004,760.9995728,-0.0019833,760.9995728,-0.001391727,760.9995728,-0.002110318,760.9995728,-0.001005075,760.9995728,-0.001993504,760.9995728,-0.001326543,760.9995728,-0.0018997,760.9995728,-0.002253831,760.9995728,-0.00133346,760.9995728,-0.002001543,760.9995728,-0.002175178,760.9995728,-0.001084871,760.9995728,-0.001217056,760.9995728,-0.000932188
760.0111694,-0.00255451,760.0111694,-0.001419439,760.0111694,-0.002395547,760.0111694,-0.002233178,760.0111694,-0.001929493,760.0111694,-0.001429501,760.0111694,-0.001982681,760.0111694,-0.00143332,760.0111694,-0.001658965,760.0111694,-0.001886659,760.0111694,-0.001150246,760.0111694,-0.001321485,760.0111694,-0.00184779,760.0111694,-0.001189177,760.0111694,-0.002041635,760.0111694,-0.001494102,760.0111694,-0.002486515,760.0111694,-0.002241367,760.0111694,-0.002702148,760.0111694,-0.001408705
758.9869385,-0.002672666,758.9869385,-0.001422483,758.9869385,-0.002394002,758.9869385,-0.002538658,758.9869385,-0.002599697,758.9869385,-0.001941811,758.9869385,-0.002633147,758.9869385,-0.00206745,758.9869385,-0.002095222,758.9869385,-0.002538658,758.9869385,-0.002004996,758.9869385,-0.002621774,758.9869385,-0.00171786,758.9869385,-0.003089502,758.9869385,-0.002233693,758.9869385,-0.002377166,758.9869385,-0.002940146,758.9869385,-0.002169563,758.9869385,-0.002195628,758.9869385,-0.001583247
757.9977417,-0.002804009,757.9977417,-0.002587346,757.9977417,-0.002542055,757.9977417,-0.003056191,757.9977417,-0.003707567,757.9977417,-0.001637716,757.9977417,-0.002590022,757.9977417,-0.001703524,757.9977417,-0.002560687,757.9977417,-0.002093676,757.9977417,-0.001942224,757.9977417,-0.00164865,757.9977417,-0.001958304,757.9977417,-0.002815891,757.9977417,-0.002523783,757.9977417,-0.002059309,757.9977417,-0.002120673,757.9977417,-0.002194855,757.9977417,-0.001764526,757.9977417,-0.001657624
757.0081787,-0.003554314,757.0081787,-0.002453672,757.0081787,-0.003516314,757.0081787,-0.002179247,757.0081787,-0.002452746,757.0081787,-0.002794852,757.0081787,-0.002216489,757.0081787,-0.002595065,757.0081787,-0.003188137,757.0081787,-0.003194407,757.0081787,-0.002246878,757.0081787,-0.002344726,757.0081787,-0.001910009,757.0081787,-0.002540048,757.0081787,-0.002210463,757.0081787,-0.002222052,757.0081787,-0.002894686,757.0081787,-0.001813249,757.0081787,-0.002093573,757.0081787,-0.001655304
755.9829102,-0.002369906,755.9829102,-0.002888565,755.9829102,-0.003177602,755.9829102,-0.002502524,755.9829102,-0.003248161,755.9829102,-0.003377583,755.9829102,-0.002226533,755.9829102,-0.002275462,755.9829102,-0.003019021,755.9829102,-0.00320263,755.9829102,-0.001479346,755.9829102,-0.001685474,755.9829102,-0.002448936,755.9829102,-0.002812753,755.9829102,-0.002180277,755.9829102,-0.003004419,755.9829102,-0.002637418,755.9829102,-0.002440287,755.9829102,-0.003356521,755.9829102,-0.002660265
754.9926147,-0.003489249,754.9926147,-0.002877662,754.9926147,-0.003156684,754.9926147,-0.003063182,754.9926147,-0.002871337,754.9926147,-0.003447082,754.9926147,-0.003531822,754.9926147,-0.002751126,754.9926147,-0.003173953,754.9926147,-0.002874782,754.9926147,-0.002037255,754.9926147,-0.002489141,754.9926147,-0.002463247,754.9926147,-0.002147669,754.9926147,-0.003127335,754.9926147,-0.003257307,754.9926147,-0.003805446,754.9926147,-0.002656869,754.9926147,-0.002746599,754.9926147,-0.002163742
754.0019531,-0.003645553,754.0019531,-0.003059173,754.0019531,-0.004087307,754.0019531,-0.003036347,754.0019531,-0.003598524,754.0019531,-0.002368876,754.0019531,-0.00292045,754.0019531,-0.003099886,754.0019531,-0.003036809,754.0019531,-0.003399364,754.0019531,-0.003194356,754.0019531,-0.003380357,754.0019531,-0.00267709,754.0019531,-0.003323846,754.0019531,-0.003077679,754.0019531,-0.002643799,754.0019531,-0.003682259,754.0019531,-0.002526562,754.0019531,-0.003592722,754.0019531,-0.00295115
753.0109253,-0.004268569,753.0109253,-0.003315009,753.0109253,-0.003261161,753.0109253,-0.002707859,753.0109253,-0.003256074,753.0109253,-0.003924851,753.0109253,-0.00331131,753.0109253,-0.003329292,753.0109253,-0.003277758,753.0109253,-0.003043853,753.0109253,-0.003380357,753.0109253,-0.002827515,753.0109253,-0.003054494,753.0109253,-0.003052952,753.0109253,-0.003276885,753.0109253,-0.003456636,753.0109253,-0.004716809,753.0109253,-0.003247904,753.0109253,-0.00334306,753.0109253,-0.0026174
751.9841309,-0.004318807,751.9841309,-0.003279608,751.9841309,-0.004618623,751.9841309,-0.004004523,751.9841309,-0.003369621,751.9841309,-0.003735696,751.9841309,-0.003604429,751.9841309,-0.003537933,751.9841309,-0.003403114,751.9841309,-0.003006835,751.9841309,-0.003232077,751.9841309,-0.003404963,751.9841309,-0.003713932,751.9841309,-0.003263062,751.9841309,-0.003953069,751.9841309,-0.003395408,751.9841309,-0.003994314,751.9841309,-0.002809152,751.9841309,-0.003260031,751.9841309,-0.003100606
750.9924316,-0.004588195,750.9924316,-0.004522209,750.9924316,-0.005109996,750.9924316,-0.003822073,750.9924316,-0.003948144,750.9924316,-0.00411131,750.9924316,-0.004530406,750.9924316,-0.003714137,750.9924316,-0.003422787,750.9924316,-0.003444257,750.9924316,-0.003082049,750.9924316,-0.003640214,750.9924316,-0.003275446,750.9924316,-0.003233001,750.9924316,-0.004132746,750.9924316,-0.004244679,750.9924316,-0.004213507,750.9924316,-0.004058227,750.9924316,-0.003531617,750.9924316,-0.002954235
750.0004272,-0.004291587,750.0004272,-0.004225863,750.0004272,-0.004437559,750.0004272,-0.003495463,750.0004272,-0.00383521,750.0004272,-0.004017603,750.0004272,-0.003656386,750.0004272,-0.004129002,750.0004272,-0.004067459,750.0004272,-0.003957276,750.0004272,-0.004396612,750.0004272,-0.003932291,750.0004272,-0.003414877,750.0004272,-0.003775781,750.0004272,-0.003882984,750.0004272,-0.004258675,750.0004272,-0.003031411,750.0004272,-0.003055368,750.0004272,-0.003158996,750.0004272,-0.004005446
