0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,15min,,20min,,25min,,30min,,45min,,60min,,90min,,120min,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
789.008667,0.00130428,789.008667,0.001628559,789.008667,0.001060574,789.008667,0.001209756,789.008667,0.001221567,789.008667,0.00120215,789.008667,0.001087873,789.008667,0.00108956,789.008667,0.000938759,789.008667,0.001006343,789.008667,0.001056733,789.008667,0.001165032,789.008667,0.001156908,789.008667,0.001233222,789.008667,0.001457285,789.008667,0.00169651,789.008667,0.001070486,789.008667,0.001081853,789.008667,0.001200281
787.9958496,0.001272216,787.9958496,0.001665535,787.9958496,0.001373453,787.9958496,0.001154235,787.9958496,0.001327778,787.9958496,0.001198775,787.9958496,0.001367948,787.9958496,0.000960343,787.9958496,0.001093634,787.9958496,0.001264141,787.9958496,0.001837644,787.9958496,0.001337411,787.9958496,0.001531159,787.9958496,0.001567217,787.9958496,0.001711999,787.9958496,0.001806373,787.9958496,0.001361196,787.9958496,0.001286287,787.9958496,0.001158881
786.9827271,0.001136378,786.9827271,0.001731517,786.9827271,0.00140942,786.9827271,0.000981332,786.9827271,0.000751654,786.9827271,0.001190054,786.9827271,0.001095555,786.9827271,0.001463207,786.9827271,0.00143604,786.9827271,0.000932714,786.9827271,0.001324869,786.9827271,0.001270554,786.9827271,0.001061638,786.9827271,0.000884595,786.9827271,0.001794676,786.9827271,0.001736689,786.9827271,0.000994693,786.9827271,0.001407083,786.9827271,0.001407576
786.0042114,0.001833017,786.0042114,0.001837488,786.0042114,0.001304098,786.0042114,0.000944881,786.0042114,0.001360807,786.0042114,0.001449364,786.0042114,0.001480688,786.0042114,0.001248435,786.0042114,0.001200567,786.0042114,0.001403629,786.0042114,0.00160572,786.0042114,0.001197504,786.0042114,0.001614918,786.0042114,0.001372362,786.0042114,0.001835617,786.0042114,0.001432118,786.0042114,0.000973133,786.0042114,0.001381737,786.0042114,0.001107051
784.9902954,0.001482973,784.9902954,0.002072761,784.9902954,0.001055799,784.9902954,0.000889757,784.9902954,0.001247812,784.9902954,0.001471285,784.9902954,0.00114528,784.9902954,0.001415731,784.9902954,0.001309369,784.9902954,0.001450455,784.9902954,0.001559865,784.9902954,0.0014363,784.9902954,0.001446793,784.9902954,0.001258534,784.9902954,0.001358469,784.9902954,0.001639732,784.9902954,0.001709816,784.9902954,0.00101449,784.9902954,0.001393475
784.0109863,0.001215311,784.0109863,0.001619751,784.0109863,0.00125991,784.0109863,0.001478922,784.0109863,0.001185537,784.0109863,0.001651243,784.0109863,0.00148448,784.0109863,0.00100092,784.0109863,0.001422899,784.0109863,0.001769021,784.0109863,0.001492688,784.0109863,0.001527236,784.0109863,0.00143017,784.0109863,0.001395163,784.0109863,0.001873832,784.0109863,0.001896269,784.0109863,0.001144995,784.0109863,0.001166434,784.0109863,0.001049727
782.9962769,0.001546122,782.9962769,0.001649372,782.9962769,0.001573608,782.9962769,0.000973237,782.9962769,0.001354107,782.9962769,0.001993075,782.9962769,0.001760834,782.9962769,0.001614606,782.9962769,0.001305396,782.9962769,0.001762471,782.9962769,0.001376309,782.9962769,0.001262064,782.9962769,0.001214973,782.9962769,0.001864525,782.9962769,0.001681438,782.9962769,0.001531497,782.9962769,0.001431911,782.9962769,0.001206355,782.9962769,0.000990257
782.0162354,0.001580493,782.0162354,0.001886831,782.0162354,0.001369739,782.0162354,0.00127881,782.0162354,0.001000791,782.0162354,0.001137961,782.0162354,0.001732686,782.0162354,0.001236052,782.0162354,0.001749892,782.0162354,0.001731543,782.0162354,0.001720887,782.0162354,0.00145648,782.0162354,0.001556747,782.0162354,0.001320429,782.0162354,0.001534406,782.0162354,0.00145635,782.0162354,0.001517755,782.0162354,0.001173208,782.0162354,0.001410407
781.0007324,0.001496688,781.0007324,0.001737494,781.0007324,0.001885635,781.0007324,0.001226343,781.0007324,0.001338943,781.0007324,0.001550694,781.0007324,0.001682763,781.0007324,0.001213,781.0007324,0.00135055,781.0007324,0.001631443,781.0007324,0.001472792,781.0007324,0.001508169,781.0007324,0.001609384,781.0007324,0.001488922,781.0007324,0.001489078,781.0007324,0.001993231,781.0007324,0.001112034,781.0007324,0.001290701,781.0007324,0.001587274
779.9848022,0.001682581,779.9848022,0.002071019,779.9848022,0.001594756,779.9848022,0.001366779,779.9848022,0.001697186,779.9848022,0.001588807,779.9848022,0.001495467,779.9848022,0.001215233,779.9848022,0.00160598,779.9848022,0.001681204,779.9848022,0.001488272,779.9848022,0.001142062,779.9848022,0.001728866,779.9848022,0.001493156,779.9848022,0.001601433,779.9848022,0.002094792,779.9848022,0.001109257,779.9848022,0.001272216,779.9848022,0.001188237
779.0036621,0.00128543,779.0036621,0.001757923,779.0036621,0.001435625,779.0036621,0.000757073,779.0036621,0.00139402,779.0036621,0.001515677,779.0036621,0.001531834,779.0036621,0.001231275,779.0036621,0.001792232,779.0036621,0.001083591,779.0036621,0.001498169,779.0036621,0.001474766,779.0036621,0.001482376,779.0036621,0.00179951,779.0036621,0.001804813,779.0036621,0.00180263,779.0036621,0.001580675,779.0036621,0.001455441,779.0036621,0.001166122
777.9869995,0.00180918,777.9869995,0.002206681,777.9869995,0.001462013,777.9869995,0.001215414,777.9869995,0.00142695,777.9869995,0.001552097,777.9869995,0.001660104,777.9869995,0.001622895,777.9869995,0.001760652,777.9869995,0.001365792,777.9869995,0.001923257,777.9869995,0.001665925,777.9869995,0.001786436,777.9869995,0.001432378,777.9869995,0.001663768,777.9869995,0.001882567,777.9869995,0.001708465,777.9869995,0.001258015,777.9869995,0.001430638
