"","exp_mass","abundance"
"2",112.98560620546,5195647.5
"4",126.905024230772,22181958
"5",126.905342230773,1673413.9
"22",161.046038292857,1290162.1
"75",197.022229373557,8934527
"79",199.019281428024,3354234.5
"95",203.974162563163,827718.8
"96",203.976105563216,1010342.8
"97",203.978358563278,798342.9
"98",203.98175156337,735191.1
"99",203.984719563451,1074695.3
"115",211.001529754827,801456.8
"122",213.017127001232,2258807.3
"130",215.014210944993,1018615.9
"132",215.03278194447,2039224.5
"142",217.048423887707,1086068.6
"148",219.027450831976,1653611.3
"156",221.012270776082,963326.5
"181",229.0120395508,1610514.4
"183",229.048455549775,747219.1
"208",236.096192351304,1370019.8
"216",239.022835268887,1140514.1
"217",239.032780268607,2223074.3
"223",240.897888216083,980812.1
"224",241.002378213141,1121934.5
"225",241.029840212367,718991.2
"257",248.080029013827,2468804.5
"258",248.905409990584,1746652.9
"266",251.076053929456,943392.6
"268",251.07840992939,1053472.6
"280",255.027704818174,1066408.6
"298",258.947325707794,1096382.8
"299",259.012911705947,3560001.5
"317",262.921021595891,731940.9
"332",265.147887120713,10722376
"333",265.149197120624,815943.6
"336",266.151258053054,1383029.3
"374",275.038402453782,4631846
"383",276.79917933505,975617.2
"396",279.163521175619,2170621.5
"397",280.994862052129,6016351.5
"437",288.956270515281,1545492.8
"438",288.957835515175,22571284
"448",289.961179447518,1438796.9
"466",293.179182230524,2986241.5
"484",297.152973962566,18051810
"487",298.156337894907,3087897.8
"489",299.054024834375,930316.3
"498",300.957850705998,718199.1
"500",301.054258699497,1051068.5
"523",304.952731436617,1844501.4
"532",305.961892368568,993293
"533",305.964869368367,1268109.1
"534",305.969344368066,1033293.4
"535",305.971976367888,977485.6
"536",305.973700367772,923917.6
"537",305.976185367604,699085.8
"553",309.174113151964,3394428.3
"561",311.132197019927,736101.5
"563",311.168630017471,27579880
"566",312.171989949813,5009949
"615",320.947639592425,1171169.6
"632",324.103649362248,711549.8
"637",325.102666289387,1306030.5
"641",325.14787728609,1346992.6
"643",325.184284283435,15367346
"644",325.18626128329,1121970.5
"647",326.187640210257,2834914.8
"656",327.16356513908,1308561.6
"668",329.14279299473,802415.3
"712",337.205458406698,775389
"724",339.199934261236,2273459.3
"735",341.179203116882,980103.3
"745",343.158438972531,1168921.6
"769",348.231048602572,928612.6
"795",353.200308240151,2270688
"814",357.239480945563,956207.9
"817",359.07518181168,3071790.8
"835",362.969606527649,1509550.3
"844",364.226015531205,1054677.8
"855",366.241648478805,1178387.5
"863",367.215167453496,739632.5
"909",379.545336132948,704956.1
"910",380.713994102567,51773592
"949",390.910496837488,855124.4
"974",397.226625673287,1247672
"1071",431.088596792976,791168.9
"1104",443.047734482074,5347481
"1119",449.150015323433,1298531.4
"1133",455.938507146953,1046014.6
"1193",485.28270838409,7065576
"1194",486.286077358006,2418485.8
"1220",501.234704969386,723879.6
"1235",512.334440680826,991045.4
"1252",526.34973531647,1435108.5
"1269",552.96355462459,1110394.9
