"","exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
"14",309.097731006135,3086521.8,75.03,"C15H18O7","O7","CHO",15,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310.105007458295,309.09797647814,-0.791577043266193,0.79,309,308.752589718343,0.247410281657267,7,0.466666666666667,1.2,0,23.8542502254077,22,0.9,32,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"15",309.134106908929,1638973.1,39,"C16H22O6","O6","CHO",16,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310.141383361089,309.13436198344,-0.822445907069141,0.82,309,308.788925003478,0.211074996521688,6,0.375,1.375,0,23.8570491104308,22,0.9,34,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"16",311.040557814369,1686127.6,39.28,"C13H12O9","O9","CHO",13,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,312.047834266529,311.04085553134,-0.954074786158964,0.95,311,310.693247148806,0.306752851193608,8,0.692307692307692,0.923076923076923,-1,24.0037024602692,22,0.9,28,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"17",311.076952717112,3392627,80.81,"C14H16O8","O8","CHO",14,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,312.084229169272,311.07724103664,-0.923851643078356,0.92,311,310.729601412676,0.270398587324223,7,0.571428571428571,1.14285714285714,-1,24.0065013452923,22,0.9,30,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"18",463.103372407032,1526359.6,17.66,"C25H20O9","O9","CHO",25,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,464.110648859192,463.10345578654,-0.179654373195594,0.18,463,462.586267044229,0.41373295577074,16,0.36,0.8,7,35.7008255568231,34,1,52,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"19",311.149855522296,805882,17.85,"C16H24O6","O6","CHO",16,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,312.157131974456,311.15001204724,-0.501429979229764,0.5,311,310.802422813936,0.197577186064052,5,0.375,1.5,-1,24.0120991153385,22,0.9,34,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
"20",313.035211484108,1204592,27.55,"C16H10O7","O7","CHO",16,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,314.042487936268,313.03537622294,-0.524574981038333,0.52,313,312.685673570438,0.314326429562016,12,0.4375,0.625,5,24.1571271288538,23,1,34,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"21",313.056198428025,2390066,56.4,"C13H14O9","O9","CHO",13,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,314.063474880185,313.05650559514,-0.978041509373804,0.98,313,312.706637080146,0.293362919853905,7,0.692307692307692,1.07692307692308,-2,24.1587524651769,22,0.9,28,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"22",313.092588330781,4471605.5,107.06,"C14H18O8","O8","CHO",14,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,314.099864782941,313.09289110044,-0.963928013776979,0.96,313,312.742986349612,0.257013650388217,6,0.571428571428571,1.28571428571429,-2,24.1615513502,22,0.9,30,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
"23",313.128994233495,2514617,59.43,"C15H22O7","O7","CHO",15,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,314.136270685655,313.12927660574,-0.898884566035629,0.9,313,312.779351601169,0.220648398830917,5,0.466666666666667,1.46666666666667,-2,24.1643502352231,22,0.9,32,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
"24",315.014414195136,1636980.8,38.07,"C15H8O8","O8","CHO",15,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,316.021690647296,315.01464078144,-0.716996051173891,0.72,315,314.662666286037,0.337333713962607,12,0.533333333333333,0.533333333333333,4,24.3093782487385,23,0.9,32,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"25",315.035648138393,937782.9,21.05,"C12H12O10","O10","CHO",12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,316.042924590553,315.03577015364,-0.386071757050725,0.39,315,314.683876519284,0.316123480716271,7,0.833333333333333,1,-3,24.3110035850615,22,0.9,26,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
"26",315.050891097659,1626744.4,37.82,"C16H12O7","O7","CHO",16,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,316.058167549819,315.05102628674,-0.427734811104496,0.43,315,314.699102458126,0.300897541874122,11,0.4375,0.75,4,24.3121771337615,23,0.9,34,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"27",315.071937041419,2244218.5,52.85,"C13H16O9","O9","CHO",13,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,316.079213493579,315.07215565894,-0.691654217616148,0.69,315,314.720124901797,0.27987509820349,6,0.692307692307692,1.23076923076923,-3,24.3138024700846,22,0.9,28,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
