"","abundance","exp_mass","formula","R_mass","recal_err"
"1",830452.7,303.066279,"C19H12O4",303.06617854228,0.34275525360893
"2",1170260.1,305.045656,"C18H10O5",305.045554886173,0.025923450544675
"3",1122228.6,307.024934,"C17H8O6",307.0248322301,0.0673993072765313
"4",927805.8,311.071412,"C21H12O3",311.071308888809,0.189373684045356
"5",1120610.5,313.050677,"C20H10O4",313.05057323274,0.188861781611746
"6",998820.4,313.08712,"C21H14O3",313.08701622066,0.00524033193367756
"7",827144.9,315.02995,"C19H8O5",315.029845576668,0.162961904694922
"8",2288458.8,315.066342,"C20H12O4",315.066237564605,0.142367613986598
"9",2753459,317.045635,"C19H10O5",317.045529908527,0.0538402559454052
"10",2173620.8,317.082013,"C20H14O4",317.081907896468,0.0775420140118367
"11",2929181,319.024915,"C18H8O6",319.024809252452,0.00716053242009509
"12",4211999,319.061291,"C19H12O5",319.061185240395,0.036988970447145
"13",1971593.3,321.004212,"C17H6O7",321.004105596373,0.0919023615388346
"14",4808587,321.04057,"C18H10O6",321.040463584321,0.00617891270922605
"15",3319437.3,321.076959,"C19H14O5",321.076852572259,0.0170249557787853
"16",3995641.8,323.019837,"C17H8O7",323.019729928251,0.0116683620602739
"17",5115131.5,323.056227,"C18H12O6",323.056119916189,0.0255427729459942
"18",2148605.8,323.092595,"C19H16O5",323.092487904134,0.028677874310983
"19",4593516.5,325.035515,"C17H10O7",325.035407260112,0.0954885971728017
"20",3370606.5,325.071873,"C18H14O6",325.07176524806,0.0108278258928298
"21",2316527.5,325.087095,"C22H14O3",325.086987243015,0.0941850135546023
"22",1312752.8,325.108249,"C19H18O5",325.108141236003,0.0184478215148842
"23",1140384.8,327.030035,"C20H8O5",327.029926598986,0.0907698243608831
"24",3514594,327.051168,"C17H12O7",327.051059591981,0.101835000254854
"25",3538146.8,327.06639,"C21H12O4",327.066281586936,0.00254659169065507
"26",1818084.1,327.08753,"C18H16O6",327.087421579928,0.0299243812612265
"27",1595365,327.102768,"C22H16O3",327.102659574877,0.0255279560571994
"28",3670104.8,329.04566,"C20H10O5",329.045550930865,0.0120120902942229
"29",2311386.3,329.066773,"C17H14O7",329.066663923866,0.0377633907835895
"30",3252059,329.082027,"C21H14O4",329.08191791881,0.044258977440162
"31",1133020.4,329.103169,"C18H18O6",329.103059911802,0.00590707893085608
"32",2505425.8,331.024925,"C19H8O6",331.024815274796,0.0112920708877005
"33",5040340,331.061315,"C20H12O5",331.061205262733,0.0248310386287798
"34",1213141.3,331.082434,"C17H16O7",331.082324255733,0.00651984951870094
"35",2413270.3,331.097643,"C21H16O4",331.097533250692,0.148888880282263
"36",1279309.4,333.00428,"C18H6O7",333.004169618697,0.280847483032857
"37",5353807.5,333.040595,"C19H10O6",333.040484606659,0.0690787512564401
"38",4491858,333.076958,"C20H14O5",333.076847594606,0.00146712669119303
"39",4339918.5,335.019849,"C18H8O7",335.019737950594,0.0351962967148881
