"","abundance","exp_mass","formula","R_mass","recal_err"
"1",899093.4,315.066396,"C20H12O4",315.066301076263,0.0592142795496214
"2",1381804.1,317.045636,"C19H10O5",317.045540479954,0.0204966949380023
"3",853933.7,317.082013,"C20H14O4",317.081917468994,0.0473525738112795
"4",1691397.4,319.024877,"C18H8O6",319.024780883645,0.0960840469915868
"5",1945735,319.061289,"C19H12O5",319.061192872675,0.0130679171384177
"6",1230497.3,321.004208,"C17H6O7",321.004111287309,0.109630909558037
"7",2746595,321.040541,"C18H10O6",321.040444276362,0.0539629102667632
"8",2400834,323.019841,"C17H8O7",323.019743680036,0.0542409458742196
"9",2468547.8,323.056183,"C18H12O6",323.056085669086,0.080466992353288
"10",2648741.8,325.035476,"C17H10O7",325.035378072762,0.00569113933533096
"11",1654055.5,325.071853,"C18H14O6",325.071755061802,0.0205075891669245
"12",2201228.8,327.051156,"C17H12O7",327.051057465474,0.0953329346149376
"13",1466765.6,327.066289,"C21H12O4",327.066190460915,0.281162963322393
"14",988878.7,327.087481,"C18H16O6",327.08738245453,0.0896931793418286
"15",1692790.4,329.04567,"C20H10O5",329.045570864564,0.0725924533421157
"16",1294071.5,329.066844,"C17H14O7",329.066744858184,0.2081877296221
"17",1258104.3,329.082022,"C21H14O4",329.081922853611,0.0292633162772011
"18",1475298.6,331.024934,"C19H8O6",331.024834268248,0.0686697997238369
"19",2517988.5,331.061295,"C20H12O5",331.061195257293,0.00539129135728354
"20",788453.8,331.082462,"C17H16O7",331.082362250915,0.108240677806812
"21",1079974.6,331.097665,"C21H16O4",331.097565246335,0.0522537943969256
"22",2923604.8,333.040579,"C19H10O6",333.040478660971,0.0512259995892463
"23",2032598.8,333.076943,"C20H14O5",333.076842650015,0.0133780692808376
"24",2657992.5,335.01981,"C18H8O7",335.019709064665,0.0510252804434913
"25",2788298.5,335.056216,"C19H12O6",335.056115053696,0.0101154880922177
"26",1647423.6,336.999116,"C17H6O8",336.999014468336,0.0704770535124117
"27",3354178,337.035493,"C18H10O7",337.035391457376,0.0452012970237019
"28",2022084.1,337.071849,"C19H14O6",337.071747446423,0.0423702572125117
"29",2314428.8,339.014805,"C17H8O8",339.014702861046,0.183117772007493
"30",2661567,339.051131,"C18H12O7",339.051028850101,0.00756039978525622
"31",1222209.3,339.087507,"C19H16O6",339.087404839142,0.020504736553871
"32",1727807.5,341.066766,"C18H14O7",341.066663242827,0.0384315253506301
"33",1134143.5,343.024908,"C20H8O6",343.024804652875,0.0200684169524939
"34",1941185.9,343.061312,"C21H12O5",343.061208641907,0.0338125305912259
"35",995203.3,343.082373,"C18H16O7",343.082269635562,0.165496073939641
"36",877828.3,343.097682,"C22H16O4",343.09757863095,0.0114150918367847
"37",2526790.3,345.040589,"C20H10O6",345.040485045587,0.0679483998811932
"38",1984328.8,345.076915,"C21H14O5",345.076811034643,0.104531200447475
"39",2112077.5,347.019864,"C19H8O7",347.019759449268,0.0959315146121525
"40",2860496,347.056212,"C20H12O6",347.056107438317,0.012177059715717
"41",1320402.5,347.092614,"C21H16O5",347.09250942735,0.0353151100632082
"42",1258455.5,348.999189,"C18H6O8",348.999083852934,0.266864077144532
"43",3388250,349.035496,"C19H10O7",349.035390841995,0.0418841641156894
"44",2287452.5,349.071918,"C20H14O6",349.071812831022,0.146396206290372
"45",2207590.5,351.014752,"C18H8O8",351.014646245681,0.015566989781156
"46",2868969.3,351.051133,"C19H12O7",351.05102723472,0.00270040620023161
"47",1279339.9,351.087531,"C20H16O6",351.087425223754,0.0382574649890844
