"","abundance","exp_mass","formula","R_mass","recal_err"
"1",909748.8,165.019446,"C8H6O4",165.019330212315,0.0122175082432455
"2",757540.1,177.019402,"C9H6O4",177.019277792416,0.307514573124657
"3",1102531.6,179.035095,"C9H8O4",179.034969378083,0.0721320328526987
"4",1034244.3,181.014357,"C8H6O5",181.014229989312,0.0931497283588681
"5",979687.3,181.050746,"C9H10O4",181.050618963779,0.073969698314963
"6",1165670.9,191.035085,"C10H8O4",191.03495095816,0.164022735966919
"7",1319706.6,193.014387,"C9H6O5",193.014251569361,0.0244470078128883
"8",1139517.9,193.050787,"C10H10O4",193.05065154382,0.09939247597717
"9",1734291.9,195.030045,"C9H8O5",195.029908155053,0.0576348175259355
"10",975415.3,195.066409,"C10H12O4",195.066272129537,0.0527528519938261
"11",1451531.9,197.00927,"C8H6O6",197.009131766308,0.150788582615573
"12",1938703.3,197.045679,"C9H10O5",197.045540740761,0.0316555185026353
"13",1682952.9,199.024931,"C8H8O6",199.024791351997,0.101418724910256
"14",2197959.5,201.040621,"C8H10O6",201.040479937667,0.0912106272385474
"15",1240903.1,203.056248,"C8H12O6",203.05610552338,0.0302431670866545
"16",1172741.8,205.0508,"C11H10O4",205.050656123881,0.115912059091646
"17",852928,206.993703,"C9H4O6",206.993557760622,0.223926739238723
"18",2526979.5,207.030046,"C10H8O5",207.029900735122,0.018454250382079
"19",1202055,207.066419,"C11H12O4",207.0662737096,0.0420649843967881
"20",3263681.8,209.009298,"C9H6O6",209.009151346358,0.0484509004261191
"21",2183749.3,209.045682,"C10H10O5",209.045535320829,0.0557654131483067
"22",1186888.6,209.082087,"C11H14O4",209.081940295285,0.0373616440345589
"23",2419715.5,211.024965,"C9H8O6",211.024816932043,0.0255666775755022
"24",2354695,211.061359,"C10H12O5",211.061210906507,0.0656888487438626
"25",933633.6,213.00418,"C8H6O7",213.004030543306,0.213855223872718
"26",2966085,213.040605,"C9H10O6",213.040455517748,0.0285527563068142
"27",1843714.8,215.019869,"C8H8O7",215.019706953703,0.0893194200532531
"28",2881414.3,215.056261,"C9H12O6",215.056098926276,0.0592318134673498
"29",2301123.3,217.035509,"C8H10O7",217.035345434648,0.141858404574728
"30",1279494.6,217.071931,"C9H14O6",217.071767407199,0.0261616659983219
"31",806594.6,219.051163,"C8H12O7",219.050997915582,0.12951848802672
