"","exp_mass","abundance"
"2",100.955306717898,734489.5
"3",112.985574964395,12551542
"4",112.985806964284,964629.8
"5",126.9049973074,17310674
"9",135.066261404258,1168970.9
"19",151.061185130599,1273721.9
"21",152.983057228965,769122.7
"33",161.046017446278,1282301.9
"37",163.040574510544,886278.9
"73",181.051684060746,1031644.3
"74",181.071744051335,5161886.5
"94",188.986298338271,981521.8
"109",193.051319431192,737504.6
"115",195.066999485549,804613.2
"120",197.022224568267,5334682.5
"128",199.019276631363,2020969.8
"129",199.037865622642,1287659
"149",203.001927697676,1813996.4
"157",203.977789157821,897486.8
"158",203.982340155304,1395719
"159",204.056113114492,721579.3
"166",205.0524685633,2672037
"187",209.022210367206,8441722
"191",209.082747333717,1058044.6
"195",210.025574812137,738059.4
"198",210.991784277622,1166810
"199",211.019243262432,3286491.3
"218",213.963800633478,2034146
"223",214.929938099003,801484
"224",215.032796042101,1205072.4
"237",217.017616944082,1444963.8
"239",217.048431927035,5160933
"249",219.027441832231,2442036.5
"251",219.045477822253,1741237.4
"260",221.012279734202,4373890
"262",221.046438715305,859779.1
"273",223.027991619094,926158.1
"291",225.097983473957,1264602.9
"301",226.978443433672,7785312
"317",229.00231431405,848585.9
"319",229.048475288513,1097259.6
"336",231.033265190511,828180.8
"349",233.01235909566,1373054.8
"352",233.067675065059,1323072.9
"377",236.096183389663,3323317.8
"395",238.891312843375,2119591.3
"396",239.022847770609,5678380.5
"397",239.032780765114,2171565
"413",240.897887733321,4079228.8
"414",241.002360675526,3847553.5
"415",241.029791660351,868898.6
"417",241.048451650028,1240515.4
"420",241.072602636668,1123716.5
"434",243.018038560437,718940.1
"436",243.033290551999,731676.8
"438",243.064095534958,869342.2
"456",245.012463457105,954490.7
"457",245.027848448593,838011.4
"458",245.043212440094,1223612.3
"466",245.93586694627,1275368.4
"473",247.028176341996,1376608
"485",248.080036760098,8874711
"489",248.581698482575,2323570.3
"490",248.96037127309,833543.1
"504",250.984252777419,2273017.5
"505",251.017250755302,1228603.5
"507",251.022950751482,875579.9
"508",251.032716744936,784956.4
