"","exp_mass","abundance"
"2",100.955300430534,842126.4
"3",112.985574927799,9374447
"6",126.904994403921,17026666
"7",126.905297403758,1207497.8
"11",135.066258992505,1079528.8
"22",151.061194655759,1338870.3
"24",152.984309645651,911765.9
"36",161.046022411271,1410819.1
"40",163.040563363647,876554.9
"75",181.051664903394,1046582.4
"76",181.071750892844,5403800.5
"89",186.114223244307,1537225.3
"97",188.986307735757,998122.1
"123",197.022219514929,5868179.5
"131",199.019277465983,2262947.3
"132",199.03788345621,1194436.5
"155",203.001936706589,1852327.6
"162",203.975150120301,874162.4
"163",203.980100117319,765442.7
"170",205.052469471297,2922529.5
"183",207.088200244922,961427.1
"191",209.02220407983,9251449
"198",210.025594475363,796427.6
"202",210.991781893307,1202203.1
"203",211.019238876767,3507420.5
"222",213.963782102901,2203110.3
"226",214.929915520878,924593.4
"227",215.023092464746,772469.4
"228",215.032797458899,1436757.9
"244",217.017610263199,1522347.6
"246",217.04843324463,5296621
"256",219.027442052426,2161215.3
"258",219.045466041568,1923328
"261",219.06717402849,766016.9
"271",221.01227985671,4832911.5
"283",223.027922642437,1153822.9
"296",225.007433449931,873771.7
"302",225.097974395386,1300591.3
"313",226.978450262541,4638071.5
"329",228.8577571304,901600.3
"330",229.002346043296,936581.9
"331",229.017601034106,811014.4
"333",229.048460015516,1181767.6
"349",231.033194819862,788981
"361",233.012353627568,1510371.5
"363",233.065649595461,1311205.6
"388",236.096175769797,3754210
"394",237.077900178381,726923.8
"406",238.891320085932,1836762.9
"407",239.022851006695,5953889
"408",239.032805000698,2470625.3
"424",240.897892877123,2888758.3
"425",241.002350814195,3887291.3
"426",241.028213798614,811452.4
"427",241.029791797664,856892.4
"429",241.048421786441,1316989.4
"443",242.175064107723,787954.8
"446",242.996857612654,795738.8
"447",243.017961599941,953307.9
"450",243.064086572154,921566.1
"468",245.012528398364,1071424.9
"469",245.027868389123,789057.6
"470",245.043200379887,1306690.5
"474",245.083057355876,817540.5
"477",245.119450333952,1082502.4
"480",245.935874842117,1164465.5
"487",247.028178184087,1422508.9
"493",247.098736141581,819312.8
"500",248.080035550422,12077864
"501",248.081195549723,946215.9
"506",248.581684248216,3558468.8
"510",249.078438948959,722657.6
"522",250.984271405065,2630740.8
"523",251.017302383009,1157782.8
"525",251.022913379262,810455.1
"526",251.032779372674,993047.6
"529",251.076046343782,819802.3
"531",251.078387342219,823770.5
"539",252.073362677823,1088537.1
"563",254.865285813515,1432209.5
"564",255.015585713152,2785755.8
"570",255.105989652785,1288802
"575",255.197748591512,909288.3
"588",257.012514379701,961639.5
"592",257.080695334173,740972.4
"595",257.094948324656,1286189.4
"610",258.947272087765,1402228.4
"611",259.012907043938,10671609
"612",259.014158043102,771961.4
"613",259.0223980376,808186
"615",259.028169033746,2590842.5
"617",259.059161013051,977340.8
"622",259.110622978688,4497920.5
"634",260.873356801621,897861.9
"635",261.028548697991,1637393.9
"637",261.043838687781,849299
"642",261.107656645167,1504535.9
"645",261.126217632773,725977.4
"654",262.97858939585,901482.4
"659",263.093761318944,756275.6
"663",263.130168294633,1044022.6
"671",265.033194023886,796816.4
"673",265.038532020322,752240.9
"677",265.0751049959,782803.9
"683",265.147891947297,58864600
"694",266.95827773841,760816.4
"696",267.054123674409,2440312.5
"704",267.143718614582,2687744
"706",267.195273580156,2250372.3
"716",269.043324346119,876130.3
"722",269.121654293814,2092073
"737",270.216902562461,1283464.4
"738",270.989582046504,776972.3
"739",271.010601032468,1027470.1
"740",271.012914030924,3289550.3
"742",271.028204020714,1201679.8
"744",271.059056000113,1142226.4
"748",271.103465970458,1666006.4
"756",271.226479888315,819681.3
"758",271.22921288649,759009.4
"767",273.043813674789,928003.6
"770",273.07825665179,890246.8
"785",275.023064353143,1456951.9
"786",275.038432342881,3671609.3
"790",275.09391830583,842814.4
"803",276.847199135076,884256.8
"804",277.032969011028,1023154.1
"806",277.038751007167,3083250.5
"820",278.116459287526,971799.7
"823",278.915986753641,836579.3
"824",279.039111671424,2850607
"825",279.048755664985,723951.8
"827",279.054322661267,903344.3
"831",279.090605637039,751795.8
"835",279.127050612703,882231.3
"838",279.163511588356,5754042.5
"847",280.99487736546,14089578
"848",280.996382364455,989545.7
"850",281.033411339729,1003565.3
"851",281.043300333126,812558.2
"854",281.069958315325,813552.8
"863",281.998187695499,875146.2
"871",283.010553019491,1292908.3
"872",283.0280620078,791917.9
"874",283.059047987109,1360305
"882",283.137318934843,1693752.6
"894",284.193309229705,993183.5
"898",285.043759661816,1006002.8
"900",285.075163640846,986741.9
"920",287.023067340132,816501.8
"921",287.038451329859,2311223.3
"924",287.059395315874,752505.4
"926",287.090921294823,957116.6
"942",288.224585537817,1086253
"944",288.957848048181,7538806
"946",289.038725994174,3468158
"948",289.070177973172,956545.1
"950",289.073297971089,917121.4
"958",289.227068868408,895824.7
"968",291.04864365205,770950.7
"970",291.054337648248,1389511.3
"972",291.085796627241,848970.4
"974",291.088955625132,856906.7
"989",292.994885352446,2650762
"991",293.033581326607,789453.8
"996",293.106217278104,739029.1
"1001",293.142781253688,1489944.8
"1003",293.177591230444,1103388.3
"1004",293.179206229366,15524380
"1006",294.065289637683,6433909.5
"1019",295.068701967653,737818.6
"1024",295.122018932051,764128
"1029",295.226246862453,824298.4
"1039",296.968837698836,3104922
"1042",297.043761648806,851809.6
"1048",297.132732589395,955050.6
"1050",297.151374576947,2564012.5
"1051",297.152996575864,38358956
"1070",298.989626349453,748581.8
"1071",299.023018327156,914345.2
"1073",299.054097306403,1706092.3
"1078",299.105584272022,1450097.5
"1081",299.134754252544,859444.4
"1085",299.184765219149,1027193.4
