"","exp_mass","abundance","RT"
"145",364.058725390196,1693963,34.59
"146",364.073714363985,781132.6,15.08
"147",364.082626348401,833165.6,16.2
"148",365.045516664647,1457780.1,29.54
"149",365.081763601264,1925240,39.53
"150",365.118044537822,926139.9,18.18
"151",366.00153499291,955354.4,18.8
"152",366.025374951222,769500.9,14.83
"153",366.037975929187,1475422.4,29.92
"154",366.052958902987,1157215.9,23.12
"155",366.06171288768,1120160.9,22.33
"156",366.074518865287,785058.3,15.16
"157",366.089448839179,912099.8,17.88
"158",366.973026294115,1228930.8,24.65
"159",368.017331467995,920307.5,18.05
"160",368.032398441649,871413.1,17
"161",368.040993426619,995318.1,19.65
"162",368.053597404579,1070647.4,21.26
"163",368.068905377811,1235129.1,24.78
"164",368.077597362612,736954,14.13
"165",369.082327605694,1032550.9,20.45
"166",370.032929943427,853646.3,16.62
"167",370.048068916955,1625615.9,33.12
"168",370.056688901881,892880.9,17.46
"169",370.071932875225,893074.5,17.46
"170",370.084443853348,859795.9,16.75
"171",371.107668064091,713603.6,13.62
"172",372.02735145589,1283688.3,25.81
"173",372.051157414262,826474.9,16.03
"174",372.063851392065,1564268.3,31.8
"175",372.072340377221,779629.3,15.03
"176",372.087554350617,889134.9,17.37
"177",372.998847757087,1471187,29.81
"178",373.08682860324,1148380.8,22.91
"179",374.006596994891,881730.1,17.21
"180",374.030463953156,1025028.7,20.27
"181",374.043060931128,2104518,43.35
"182",374.067015889239,994120.7,19.61
"183",374.07934486768,1115082,22.2
"184",374.978139296007,1469869.4,29.78
"185",375.066321141808,1165239.1,23.27
"186",375.102578078408,1125947.1,22.43
"187",376.02235147005,1650977,32.21
"188",376.046228428297,1227043.6,23.54
"189",376.058677406529,1690661,33.03
"190",376.082633364638,853479.7,15.9
"191",377.045465680985,968274.6,18.24
"192",377.081712617602,1848598.6,36.26
"193",377.118039554079,739034.7,13.55
"194",378.001535009159,945405.1,17.77
"195",378.025431967371,978943.7,18.46
"196",378.03799094541,1576449.1,30.68
"197",378.0529799192,846146.8,15.74
"198",378.061682903981,1241475.8,23.83
"199",378.074453881649,1150469.1,21.97
"200",378.089252855771,798278.8,14.76
"201",378.972900310585,768553.4,14.15
"202",379.061061156423,2256371.3,44.6
"203",379.097423092838,1885175.3,37
"204",379.476900429267,828289.7,15.37
"205",380.017192484487,1210334,23.19
"206",380.041084442709,976800.7,18.41
"207",380.05365942072,1116706.1,21.27
"208",380.068706394408,1094243.8,20.81
"209",380.077448379121,984868.8,18.57
"210",381.082279622027,1215573.3,23.29
"211",381.118701558338,742553.3,13.61
"212",382.020217981905,720190.4,13.15
"213",382.033077959417,1107391.9,21.08
"214",382.04799093334,1241921.5,23.83
"215",382.05666591817,1043970.5,19.78
"216",382.071668891936,729540.2,13.35
"217",382.084294869857,1020357.6,19.3
"218",384.027342472155,1331999.9,25.67
"219",384.036126456795,839520.8,15.59
"220",384.051064430674,861378.5,16.04
"221",384.063776408445,1613347.9,31.43
"222",384.07223739365,738404.9,13.52
"223",384.087624366743,811238.6,15.01
"224",384.099983345132,818600,15.16
"225",385.086819619505,749271.1,13.74
"226",386.043025947438,1918338.6,37.66
"227",386.066580906249,1030469.3,19.49
"228",386.079502883653,1215622.8,23.28
"229",387.047359191215,720883.9,13.16
"230",387.102395094977,968506.1,18.22
"231",388.022383486243,1239137.8,23.76
"232",388.046238444529,1192036.4,22.8
"233",388.058625422868,1756261.9,34.34
"234",388.082481381153,1079848.5,20.5
"235",388.993754787658,1743439.3,34.08
"236",389.081801633696,1394777.3,26.94
