"","exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
"15",271.024622599451,1130725,29.53,"C14H8O6","O6","CHO",14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,272.031899051611,271.02481153684,-0.694541301949559,0.69,271,270.721994084635,0.278005915365384,11,0.428571428571429,0.571428571428571,5,20.9255452299231,20,1,30,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"16",273.003863770338,714089.7,17.94,"C13H6O7","O7","CHO",13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,274.011140222498,273.00407609534,-0.774877260609475,0.77,273,272.699025217149,0.300974782850915,11,0.538461538461538,0.461538461538462,4,21.0777963498077,20,0.9,28,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"17",273.040249718328,816715.6,20.79,"C14H10O6","O6","CHO",14,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,274.047526170488,273.04046160064,-0.773159001105129,0.77,273,272.735370536265,0.264629463735332,10,0.428571428571429,0.714285714285714,4,21.0805952348308,20,0.9,30,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"18",279.029670157096,795257.4,19.9,"C16H8O5","O5","CHO",16,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,280.036946609256,279.02989691454,-0.809741166810543,0.81,279,278.718103134663,0.281896865336591,13,0.3125,0.5,8,21.5413210282077,21,1,34,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"19",279.066031105122,714811.3,17.69,"C17H12O4","O4","CHO",17,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,280.073307557282,279.06628241984,-0.89731763477241,0.9,279,278.75442348173,0.245576518270013,12,0.235294117647059,0.705882352941177,8,21.5441199132308,21,1,36,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"20",281.045282275995,925086.7,23.45,"C16H10O5","O5","CHO",16,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,282.052558728155,281.04554697834,-0.938485882973567,0.94,281,280.731464603064,0.268535396935931,12,0.3125,0.625,7,21.6963710331154,21,1,34,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"21",283.024611446757,955714.3,24.29,"C15H8O6","O6","CHO",15,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,284.031887898917,283.02481153684,-0.704463447122746,0.7,283,282.708583637191,0.291416362808718,12,0.4,0.533333333333333,6,21.848622153,21,1,32,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"22",283.061029394702,844740.1,21.25,"C16H12O5","O5","CHO",16,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,284.068305846862,283.06119704214,-0.590165938547255,0.59,283,282.74496092053,0.255039079470237,11,0.3125,0.75,6,21.8514210380231,21,1,34,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"23",285.040250565618,817832,20.2,"C15H10O6","O6","CHO",15,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,286.047527017778,285.04046160064,-0.737762092809316,0.74,285,284.721972075405,0.278027924595051,11,0.4,0.666666666666667,5,22.0036721579077,21,1,32,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"24",293.045380123146,815874.7,19.82,"C17H10O5","O5","CHO",17,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294.052656575306,293.04554697834,-0.567433043686664,0.57,293,292.718163033755,0.281836966245237,13,0.294117647058824,0.588235294117647,8,22.6194479561923,22,1,36,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"25",295.024747293854,728074.8,17.48,"C16H8O6","O6","CHO",16,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,296.032023746014,295.02481153684,-0.217013637911751,0.22,295,294.695320025397,0.304679974603403,13,0.375,0.5,7,22.7716990760769,22,1,34,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"26",295.061032241988,750188.6,18.07,"C17H12O5","O5","CHO",17,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,296.068308694148,295.06119704214,-0.556628814981378,0.56,295,294.731564457434,0.26843554256601,12,0.294117647058824,0.705882352941177,7,22.7744979611,22,1,36,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"27",297.003864464918,749396.1,18.04,"C15H6O7","O7","CHO",15,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,298.011140917078,297.00407609534,-0.710142650595485,0.71,297,296.672227296548,0.327772703452297,13,0.466666666666667,0.4,6,22.9239501959615,22,1,32,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"28",297.040232412934,838934,20.42,"C16H10O6","O6","CHO",16,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,298.047508865094,297.04046160064,-0.768963667813376,0.77,297,296.708554635788,0.291445364212052,12,0.375,0.625,6,22.9267490809846,22,1,34,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"29",299.019533583736,938112.8,23.05,"C15H8O7","O7","CHO",15,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300.026810035896,299.01972615914,-0.641860651410279,0.64,299,298.68564570122,0.314354298779733,12,0.466666666666667,0.533333333333333,5,23.0790002008692,22,1,32,0.2,0,0,0,0,0,0,0,0,0,"Unambiguous"
"30",299.055970531654,1064130.9,26.4,"C16H12O6","O6","CHO",16,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300.063246983814,299.05611166444,-0.470343462111891,0.47,299,298.722041963316,0.277958036684026,11,0.375,0.75,5,23.0817990858923,22,1,34,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"31",301.035258702474,903343.4,21.77,"C15H10O7","O7","CHO",15,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.042535154634,301.03537622294,-0.389085815167078,0.39,301,300.699120043283,0.300879956717267,11,0.466666666666667,0.666666666666667,4,23.2340502057769,22,0.9,32,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"32",303.0508518214,809759.8,19.32,"C15H12O7","O7","CHO",15,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,304.05812827356,303.05102628674,-0.573789428411116,0.57,303,302.712462532926,0.287537467073946,10,0.466666666666667,0.8,3,23.3891002106846,22,0.9,32,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
"33",303.066131799559,773856.6,18.38,"C19H12O4","O4","CHO",19,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,304.073408251719,303.06628241984,-0.495341837030047,0.5,303,302.727725449325,0.272274550675093,14,0.210526315789474,0.631578947368421,10,23.3902737593846,23,1,40,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
"34",305.03007163859,764880.2,18.14,"C14H10O8","O8","CHO",14,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,306.03734809075,305.03029084524,-0.716274178012022,0.72,305,304.689472335586,0.310527664413655,10,0.571428571428571,0.714285714285714,2,23.5413513305692,22,0.9,30,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
