"","exp_mass","abundance","RT"
"2236",767.128460949861,1268699,10.82
"2237",767.140630923176,1192288.6,10.08
"2238",767.153468895027,771814.4,6.01
"2239",767.165643868331,850283.4,6.77
"2240",768.0365189588,738094.3,5.67
"2241",768.058525910547,997623.8,8.19
"2242",768.082220858592,906306.6,7.31
"2243",768.131069751483,782488.3,6.1
"2244",769.025313790712,1040807.4,8.61
"2245",769.050429735641,1850802.3,16.46
"2246",769.086194657221,2499778.3,22.75
"2247",769.10875660775,1167564.6,9.83
"2248",769.122370577899,1400530.4,12.09
"2249",769.157404501082,1105890.5,9.24
"2250",770.066991506669,889659.1,7.14
"2251",770.100085434105,889098,7.13
"2252",770.111535408999,956559.2,7.78
"2253",771.029948395234,1357613.9,11.67
"2254",771.042295368161,1324723.8,11.35
"2255",771.065739316757,2062654.3,18.5
"2256",771.10121523897,1882190.6,16.75
"2257",771.124001189009,1045081.1,8.64
"2258",771.137114160256,1447007,12.53
"2259",771.160479109025,703465.4,5.33
"2260",772.045165169211,926715.5,7.49
"2261",772.067484120273,896134.1,7.19
"2262",772.089679071608,1043984,8.62
"2263",772.10382504059,923670.6,7.46
"2264",772.126745990332,928033.1,7.5
"2265",772.1388009639,692774.4,5.22
"2266",773.022780025637,1237819.4,10.5
"2267",773.044798977357,1834181.4,16.28
"2268",773.057833948775,1717195.4,15.15
"2269",773.081690896465,1993686,17.83
"2270",773.116493820154,1813862,16.08
"2271",773.129179792338,1123308,9.39
"2272",773.14062176725,858225.3,6.82
"2273",773.152722740717,1280758.6,10.91
"2274",774.071144726932,952734.1,7.73
"2275",774.106507649393,983214.2,8.02
"2276",774.118966622075,1155892.3,9.7
"2277",775.004023681447,825422.4,6.49
"2278",775.038339606204,1631966,14.31
"2279",775.061328555797,1865192.9,16.57
"2280",775.074410527113,1997807,17.86
"2281",775.09692347775,2094457.9,18.79
"2282",775.109935449219,1541759.9,13.43
"2283",775.133668397181,1569930.8,13.71
"2284",776.087399305975,1111495.5,9.26
