"","abundance","exp_mass","theor_mass","recal_err","orig_err"
"1",305.103594,"C16H18O6",305.10306185584,0.476400084112907,1.74414559052115
"2",307.046503,"C14H12O8",307.04594090904,0.389904633329607,1.83064123343971
"3",309.025719,"C13H10O9",309.02520546754,0.558763698921787,1.66178179289155
"4",309.062152,"C14H14O8",309.06159097284,0.405285779512636,1.81526005302582
"5",311.041389,"C13H12O9",311.04085553134,0.505437608881598,1.7151080012054
"6",313.057035,"C13H14O9",313.05650559514,0.529461517606654,1.69108403927621
"7",315.015256,"C15H8O8",315.01464078144,0.267562116726352,1.95298402163916
"8",315.051733,"C16H12O7",315.05102628674,0.0226240088182459,2.24317079150909
"9",315.072779,"C13H16O9",315.07215565894,0.242138871831593,1.97840732297214
"10",315.109159,"C14H20O8",315.10854116424,0.25983840168124,1.96070775381411
"11",316.994683,"C14H6O9",316.99390533994,0.232686226267521,2.45323347536432
"12",317.030903,"C15H10O8",317.03029084524,0.28964302518167,1.93090306410123
"13",319.010193,"C14H8O9",319.00955540374,0.221871751262471,1.99867448855844
"14",319.046635,"C15H12O8",319.04594090904,0.0450262105366412,2.17552042197603
"15",319.119368,"C17H20O6",319.11871191964,0.164633205136155,2.05591316172466
"16",321.025938,"C14H10O9",321.02520546754,0.0613065419595958,2.28185341066657
"17",321.062236,"C15H14O8",321.06159097284,0.211501337727023,2.00904492506118
"18",321.098576,"C16H18O7",321.09797647814,0.353446482949909,1.86709946473727
"19",323.041466,"C14H12O9",323.04085553134,0.330789177376325,1.88975682054964
"20",323.077838,"C15H16O8",323.07724103664,0.372803989825367,1.84774191488948
"21",325.057147,"C14H14O9",325.05650559514,0.247335836931568,1.97321034640003
"22",325.093574,"C15H18O8",325.09289110044,0.119917450109514,2.10062901615206
"23",327.015294,"C16H8O8",327.01464078144,0.223025397063556,1.99752084013276
"24",327.072798,"C14H16O9",327.07215565894,0.25663376938143,1.96391239320937
"25",327.088195,"C18H16O6",327.08741179204,0.173944175636775,2.39449129430281
"26",327.109158,"C15H20O8",327.10854116424,0.334824027238367,1.88572196177107
"27",328.994768,"C15H6O9",328.99390533994,0.401568001871488,2.6221156260868
"28",329.031059,"C16H10O8",329.03029084524,0.114054968511656,2.33460195423565
"29",329.067349,"C17H14O7",329.06667635054,0.176433374048727,2.04411296658823
"30",329.088582,"C14H18O9",329.08780572274,0.13832875737291,2.35887579698336
"31",329.124887,"C15H22O8",329.12419122804,0.106536105369519,2.1140103904694
"32",331.010249,"C15H8O9",331.00955540374,0.125149966273605,2.09539648823167
"33",331.046579,"C16H12O8",331.04594090904,0.293046356836797,1.92749972487716
"34",331.104077,"C14H20O9",331.10345578654,0.344354556500274,1.8761914113707
"35",331.14053,"C15H24O8",331.13984129184,0.140735795913465,2.07981062415099
"36",331.155787,"C19H24O5",331.15509742494,0.138213810612484,2.08233261500704
"37",332.98968,"C14H6O10",332.98881996224,0.362235152854725,2.58278268965983
"38",333.025918,"C15H10O9",333.02520546754,0.080971384468411,2.13957516818992
"39",333.062273,"C16H14O8",333.06159097284,0.172795486908608,2.04775086194775
"40",333.135072,"C18H22O6",333.13436198344,0.089224638371718,2.13132189596085
"41",335.005336,"C14H8O10",335.00447002604,0.364414861776245,2.5849624034453
"42",335.041632,"C15H12O9",335.04085553134,0.0969873086482567,2.31753425654294
"43",335.077884,"C16H16O8",335.07724103664,0.301694880683124,1.91885118195029
"44",335.114339,"C17H20O7",335.11362654194,0.0945271560957889,2.12601936641977
"45",337.020799,"C14H10O10",337.02012008984,0.206096336997411,2.01444993791376
"46",337.057197,"C15H14O9",337.05650559514,0.169243834686774,2.05130252202551
"47",337.09369,"C16H18O8",337.09289110044,0.149421514336946,2.36996857861251
"48",339.00017,"C13H8O11",338.99938464834,0.0961288227816269,2.31667576880974
"49",339.036464,"C14H12O10",339.03577015364,0.174017864068609,2.0465284820003
"50",339.072928,"C15H16O9",339.07215565894,0.0572605247809084,2.27780738434331
"51",339.109305,"C16H20O8",339.10854116424,0.0319348279289077,2.25248163128135
"52",340.994596,"C16H6O9",340.99390533994,0.195114028363194,2.02543227090867
"53",341.015837,"C13H10O11",341.01503471214,0.132099568382359,2.35264659419015
"54",341.031102,"C17H10O8",341.03029084524,0.157994593839902,2.3785416771861
"55",341.052131,"C14H14O10",341.05142021744,0.136454360482926,2.08409206906965
"56",341.088557,"C15H18O9",341.08780572274,0.0179547283821522,2.20259196430699
"57",341.125012,"C16H22O8",341.12419122804,0.185532462798987,2.4060796072
"58",343.010419,"C16H8O9",343.00955540374,0.297155821474211,2.5177032137579
"59",343.031386,"C13H12O11",343.03068477594,0.17634420067362,2.04420214022152
"60",343.046694,"C17H12O8",343.04594090904,0.0252402460543417,2.19530643045104
"61",343.06795,"C14H16O10",343.06707028124,0.343728811185395,2.56427630695317
"62",343.083029,"C18H16O7",343.08232641434,0.172683180633608,2.04786316844405
"63",343.104211,"C15H20O9",343.10345578654,0.0194220801343713,2.20112460917461
"64",343.140556,"C16H24O8",343.13984129184,0.137698345589147,2.08284808111741
"65",344.989703,"C15H6O10",344.98881996224,0.339065200383616,2.55961268583762
