"","exp_mass","abundance","RT"
"2329",913.149490330291,842356.8,4.17
"2330",915.164534540647,988633.4,5.19
"2331",917.108818954311,1068243.3,5.75
"2332",917.144975850424,1152296.9,6.34
"2333",917.180891747231,1248319.8,7.02
"2334",917.273815480241,943736.9,4.86
"2335",919.103197224044,911212.6,4.63
"2336",920.127448281157,948842.1,4.89
"2337",921.120462428019,961748.6,4.97
"2338",921.139349373753,910432.1,4.61
"2339",921.176304267574,884919.2,4.43
"2340",923.086588778926,894044.8,4.49
"2341",923.229009369722,1132661.6,6.18
"2342",925.132825899659,1351830.9,7.72
"2343",925.243136582713,1101275.4,5.94
"2344",925.352275269135,911007.9,4.6
"2345",925.91773864444,832191.7,4.04
"2346",927.293894690455,930518.6,4.73
"2347",927.329542588032,853228.7,4.18
"2348",929.181833266012,975788.8,5.04
"2349",931.098600758738,851281.8,4.15
"2350",931.185691508508,849927.3,4.14
"2351",933.10249500113,968171.5,4.97
"2352",933.17584879037,1167640,6.38
"2353",934.522822920231,972953.3,5
"2354",937.097071523875,930413.8,4.68
"2355",939.069078857885,985035,5.06
"2356",939.202627474172,978492.4,5.01
"2357",941.11118399049,857390.4,4.15
"2358",941.203771724466,912166.9,4.54
"2359",942.146082017011,887015.1,4.35
"2360",943.122094212724,845243.1,4.05
"2361",943.192499010436,1137382.5,6.12
"2362",945.140024414787,1079047,5.7
"2363",945.176964308651,1260765.4,6.99
"2364",945.229073158932,886013,4.33
"2365",947.091042809103,870438.3,4.22
"2366",947.120309725013,860151.4,4.14
"2367",947.156689620486,1057997.8,5.54
"2368",947.288869240706,883292.8,4.31
"2369",951.113493251761,1097178.5,5.8
"2370",951.260049830673,1057970.5,5.52
"2371",953.833395436912,988849.5,5.02
"2372",957.133942953748,990609.3,4.69
"2373",957.16022987822,927456.9,4.27
"2374",959.120207246795,1047710.4,5.06
"2375",961.287351020137,1008652.5,4.8
"2376",962.493007556033,904838.1,4.1
"2377",963.187260561299,975766.9,4.57
"2378",963.222732459381,890667.7,4.01
"2379",965.166420874757,952007.1,4.41
"2380",970.146744565244,903431,4.07
"2381",971.156559663834,1021050.8,4.84
"2382",971.3229011859,1031063.7,4.91
"2383",975.11291729639,1069088,5.14
"2384",975.389086502898,1083223,5.24
"2385",977.143970460749,986831.3,4.59
"2386",979.435999875268,1136349,5.57
"2387",981.200599805203,1041349.3,4.94
"2388",981.277225585041,945133.9,4.3
"2389",983.103392338082,1157739.4,5.7
"2390",985.165427413423,1089272.5,5.24
"2391",988.548868692088,981138.6,4.52
"2392",989.170285906626,911178.5,4.05
"2393",991.131841270666,1011480.9,4.71
"2394",995.184909625352,993801.5,4.58
"2395",995.254388425725,907050.8,4
"2396",997.139809008517,1089639.1,5.21
"2397",998.485764141306,934939.8,4.18
