"","exp_mass","abundance"
"2",112.985564676968,2137140
"5",126.90499828866,5018239.5
"60",167.035491069087,1032745
"61",167.047864058499,3592554.8
"76",171.066795619532,1127765.3
"110",181.071730058391,2734853
"129",185.118951595216,767473.9
"158",191.05678551426,1042046
"170",193.051329807545,1083844
"180",195.066988082762,1240450.1
"190",197.022212409693,8334001.5
"202",199.019298700802,2886491.5
"204",199.037740685021,702061
"241",203.974707460499,737246.2
"242",203.975574459757,995326.3
"243",203.977213458355,802558.4
"244",203.979276456589,693598.5
"245",203.986158450701,663375
"253",205.051421539164,801196.1
"254",205.052466538269,2361388.3
"268",207.051814827443,1462967.5
"282",209.022219141384,713978.5
"287",209.094818079262,2794047.3
"308",212.093637513197,789371.3
"313",213.017105883279,906002.8
"323",213.963813985015,698090.6
"335",215.032732970794,769128.3
"359",217.048451058223,2471193.3
"375",219.027443180499,1152708.4
"378",219.045425163437,839013.3
"394",221.012280297229,831180.3
"411",223.001493409806,1472081.5
"416",223.098480317782,872662.4
"428",225.017115497327,699989.6
"436",225.114183405226,884922.4
"450",226.97849863631,769685.1
"473",229.012009706857,691190.7
"549",236.096163985209,1992390
"565",238.048762132528,2301219.3
"573",239.022858208277,822898.3
"574",239.032792198852,4711251
"584",240.0457802377,1010628.1
"595",241.002355330074,3366451
"596",241.029812304022,1643956.4
"598",241.048401286384,705525.3
"602",241.072852263184,969142.4
"610",241.179786161722,715067.8
"636",243.12486031618,761372.9
"641",243.197668247098,759840.6
"655",245.04317349603,2159615
"706",249.112112635304,896217.1
"742",253.048467900378,703451
"750",253.106911844925,915006.5
"770",255.027702022424,1273074.3
"772",255.049812001445,978099.6
"775",255.064252987743,859508.4
"814",257.177117982997,751031.8
"828",259.012921241134,9423789
"829",259.022520232026,992685.8
"842",260.016346289056,702926.6
"855",261.038327319371,751090.2
"859",261.062858296095,1388083.8
"902",265.048349083831,690244.1
"905",265.070467060556,1685829.8
"912",265.147888979083,19891020
"931",267.086079939482,1255124.6
"933",267.088721936702,1219796.8
"938",267.14381187873,775704.8
