"","exp_mass","abundance"
"2",107.700020496906,1054456.4
"3",112.985545006267,1698137.3
"7",126.904988180159,3905707.3
"26",152.978417027894,735113.8
"60",167.047877710398,4098309.8
"109",181.051250608875,1110621.4
"110",181.07173458971,3075360
"134",186.114214871978,1144758.3
"179",195.066984495787,1321135.9
"189",197.022220666473,8520405
"200",199.019295798014,3377396.3
"202",199.037735780762,790197.8
"240",203.963499172229,985497.6
"241",203.965100170731,925593.7
"242",203.966792169148,720217.8
"243",203.967487168498,884569.9
"244",203.970265165899,1031834.1
"245",203.972121164162,724634.2
"246",203.974319162106,780314.3
"254",205.052472153388,2514465.8
"282",209.022205499131,840120.3
"284",209.046340472516,1250329.8
"288",209.094801419076,3178780.5
"302",211.098367209628,936975.8
"314",213.01708209375,840537.1
"323",213.963786049765,744555.6
"335",215.032760870944,841795.3
"339",215.056983844232,715236.6
"359",217.048436648142,2752969.5
"375",219.027418465805,998826.6
"378",219.045439445932,851723.4
"394",221.012227277041,771305.3
"411",223.001493083363,1526502.1
"428",225.017115860619,761954.7
"435",225.11418975357,869447.1
"452",227.057066611047,995743.6
"457",227.093460570914,869921.3
"523",233.082922965987,1279411.4
"549",236.096143643135,2170690
"566",238.048778489851,2525857.8
"574",239.022866415668,828562.4
"575",239.032804404709,4936147
"586",240.045796287624,1019718.6
"597",241.002344232784,3475000.3
"598",241.029794202513,1661369.8
"600",241.048428181964,944378.7
"604",241.07284315504,997180
"631",243.052161972331,803750.1
"660",245.043196776702,2212117.5
"665",245.083066732735,1009943.9
"685",247.060059552591,1288332
"749",253.048451948844,765073.1
"757",253.106930884356,950293.2
"777",254.915966889428,730261.7
"779",255.027750766157,1218973.8
"790",255.136279646476,833445.7
"792",255.161446618723,830887.5
"837",259.012885445897,10680266
"838",259.022483434093,1033418.7
"853",260.01624321189,775224.9
"865",261.038297954888,703658.6
"890",262.920990639407,914628.5
"897",263.091206430062,1646610.6
"903",263.130178382132,1278741.9
"919",265.070451995833,1843385.4
"926",265.147881900604,22711232
"941",267.049624561693,947684.4
"951",267.143822445841,930732.7
"969",269.043331109679,995924.9
"1005",271.10349457593,769743.5
"1007",271.117323558922,838096.8
"1033",273.078269147199,1467270
"1058",275.038440736429,1846846.6
"1084",277.038630276441,782462
"1109",278.916010967492,806196.4
"1111",279.039156816038,994624.4
"1120",279.127013707985,1832777
"1123",279.163432663194,2126924.8
"1137",280.99487841074,10046849
"1139",281.043352351123,869702
"1141",281.065222324226,1538952.1
"1146",281.101610279473,1269131.8
"1167",283.012903928816,830090.5
"1178",283.153588755791,749400.6
"1202",285.075299392323,763034.5
