"","abundance","exp_mass","theor_mass","recal_err","orig_err"
"1",281.066989,"C13H14O7",281.06667635054,0.0754855404779475,1.11236758501288
"2",293.066951,"C14H14O7",293.06667635054,0.250696010055697,0.93715690729107
"3",295.082558,"C14H16O7",295.08232641434,0.403035621742506,0.784817114659364
"4",297.061899,"C13H14O8",297.06159097284,0.15093958299259,1.03691345274727
"5",299.041178,"C12H12O9",299.04085553134,0.10950992855935,1.07834315639493
"6",299.077543,"C13H16O8",299.07724103664,0.178202924601615,1.0096500789209
"7",301.056723,"C12H14O9",301.05650559514,0.465712944154557,0.722139717810336
"8",301.093183,"C13H18O8",301.09289110044,0.218386161092014,0.969466794597336
"9",305.030595,"C14H10O8",305.03029084524,0.190723296475437,0.997129692087241
"10",307.046213,"C14H12O8",307.04594090904,0.301695693351124,0.886157163429316
"11",307.082643,"C15H16O7",307.08232641434,0.156905843572497,1.03094718511765
"12",307.119052,"C16H20O6",307.11871191964,0.0805276886683809,1.10732543082301
"13",309.025433,"C13H10O9",309.02520546754,0.451561735469324,0.736290943278374
"14",309.061905,"C14H14O8",309.06159097284,0.171786410784617,1.01606660027689
"15",309.098292,"C15H18O7",309.09797647814,0.167070339168637,1.02078267752031
"16",311.041147,"C13H12O9",311.04085553134,0.250777755329522,0.937075161937246
"17",311.077561,"C14H16O8",311.07724103664,0.159287390715538,1.02856563521405
"18",313.020505,"C12H10O10",313.02012008984,0.0418126105702556,1.22966587541882
"19",313.05682,"C13H14O9",313.05650559514,0.183545932994206,1.00430706410989
"20",313.093215,"C14H18O8",313.09289110044,0.153337177801944,1.03451585517901
"21",315.036114,"C12H12O10",315.03577015364,0.0964012954220018,1.09145180511664
"22",315.072503,"C13H16O9",315.07215565894,0.0854356078595173,1.10241750576692
"23",315.10889,"C14H20O8",315.10854116424,0.080819464439189,1.1070336546955
"24",317.030635,"C15H10O8",317.03029084524,0.102295120306262,1.08555797328683
"25",317.051772,"C12H14O10",317.05142021744,0.0783089357454655,1.10954418634234
"26",317.088235,"C13H18O9",317.08780572274,0.165958535992138,1.35381194822904
"27",319.00992,"C14H8O9",319.00955540374,0.044952412046158,1.14290074959519
"28",319.046314,"C15H12O8",319.04594090904,0.0184574662820736,1.1693957269846
"29",319.119085,"C17H20O6",319.11871191964,0.0187573485415507,1.16909584436308
"30",319.155525,"C18H24O5",319.15509742494,0.15185592915341,1.3397093246507
"31",321.02558,"C14H10O9",321.02520546754,0.0211770112173068,1.16667617875968
"32",321.061956,"C15H14O8",321.06159097284,0.0509150397738685,1.13693811487947
"33",321.134747,"C17H22O6",321.13436198344,0.0110734690538535,1.1989266973456
"34",323.004864,"C13H8O10",323.00447002604,0.0318634896283478,1.21971674252571
"35",323.041219,"C14H12O9",323.04085553134,0.0627054888542792,1.12514765185673
"36",323.0776,"C15H16O8",323.07724103664,0.0767771505902603,1.11107597332118
"37",323.114017,"C16H20O7",323.11362654194,0.0205701382057944,1.20842337779217
"38",325.020538,"C13H10O10",325.02012008984,0.097944482766503,1.28579781415375
"39",325.056879,"C14H14O9",325.05650559514,0.0391148613954739,1.14873830725468
"40",325.093285,"C15H18O8",325.09289110044,0.0237990897156111,1.21165233311527
"41",327.036178,"C13H12O10",327.03577015364,0.0592468706306772,1.24710015613229
"42",327.072534,"C14H16O9",327.07215565894,0.0311021265519454,1.15675105161833
"43",327.108908,"C15H20O8",327.10854116424,0.0664034832627787,1.12144965293959
"44",329.015363,"C12H10O11",329.01503471214,0.190063145938245,0.997789843474478
"45",329.030694,"C16H10O8",329.03029084524,0.0374283366523363,1.22528159620065
"46",329.051832,"C13H14O10",329.05142021744,0.0635698448997411,1.25142313552069
"47",329.088246,"C14H18O9",329.08780572274,0.150018300513719,1.33787169380923
"48",329.124591,"C15H22O8",329.12419122804,0.0268005849205398,1.21465383181843
"49",331.0099,"C15H8O9",331.00955540374,0.14680677983455,1.0410462609525
"50",331.031137,"C12H12O11",331.03068477594,0.178255761207546,1.36610918800506
"51",331.046314,"C16H12O8",331.04594090904,0.0608465437785613,1.12700659910319
"52",310.101683,"C15H18O7",310.10133147814,0.0542822035296776,1.13357094707024
"53",312.080888,"C14H16O8",312.08059603664,0.252314584154729,0.935538331281123
"54",314.096597,"C14H18O8",314.09624610044,0.0706810402897537,1.11717209082373
"55",322.065244,"C15H14O8",322.06494597284,0.262489358730886,0.925363544608251
"56",324.080977,"C15H16O8",324.08059603664,0.0123327753225235,1.17552042517515
"57",324.117306,"C16H20O7",324.11698154194,0.186800661964463,1.00105233131887
"58",326.060193,"C14H14O9",326.05986059514,0.168393399738414,1.01945961529712
"59",326.096633,"C15H18O8",326.09624610044,0.00139502938381017,1.18645818412624
"60",328.03962,"C13H12O10",328.03912515364,0.32064439124369,1.50849798723065
"61",328.075862,"C14H16O9",328.07551065894,0.116937849243842,1.07091522699261
"62",328.112313,"C15H20O8",328.11189616424,0.0825540229450458,1.27040733610284
"63",330.055147,"C13H14O10",330.05477521744,0.0614262943908604,1.12642684772071
"64",330.091549,"C14H18O9",330.09116072274,0.0115803828490456,1.17627281859006
"65",330.127931,"C15H22O8",330.12754622804,0.0223280320532802,1.16552515655425
"66",331.067497,"C13H16O10",331.06707028124,0.0606911694109076,1.28891937111829
"67",331.103832,"C14H20O9",331.10345578654,0.213368916710185,1.13624141772079
"68",333.025582,"C15H10O9",333.02520546754,0.218967799448675,1.1306425273929
"69",333.061988,"C16H14O8",333.06159097284,0.157557135684679,1.19205327404231
"70",333.13477,"C18H22O6",333.13436198344,0.124829685057402,1.22478076889603
