"","abundance","exp_mass","formula","R_mass","recal_err"
"1",770737.3,165.019392,"C8H6O4",165.019299990016,0.195361497384817
"2",879329.8,179.035096,"C9H8O4",179.03499617527,0.0775436710080039
"3",856866.5,181.014349,"C8H6O5",181.014248071696,0.00674508356497551
"4",1254936.1,193.014341,"C9H6O5",193.014233380852,0.0697870151002403
"5",830619.4,193.050743,"C10H10O4",193.050635360555,0.0155633530633031
"6",1408465.1,195.030022,"C9H8O5",195.029913256967,0.083794471313319
"7",770996.4,195.066389,"C10H12O4",195.06628023669,0.011191837403754
"8",1242632.6,197.009237,"C8H6O6",197.009127153415,0.174203194413049
"9",965612,197.045681,"C9H10O5",197.045571133095,0.122584625794964
"10",1089189.1,199.024925,"C8H8O6",199.024814029526,0.012524499201098
"11",1157251,201.040568,"C8H10O6",201.040455905663,0.0283275188235132
"12",763170.1,203.056237,"C8H12O6",203.056123781784,0.0596748574153851
"13",1739836.8,207.030013,"C10H8O5",207.029897566123,0.00314729067395395
"14",747136.3,207.066379,"C11H12O4",207.066263545847,0.0911495251949481
"15",2080441.9,209.009263,"C9H6O6",209.009146462551,0.0718173714984556
"16",1432061.4,209.045651,"C10H10O5",209.045534442262,0.059968163267934
"17",756096.9,209.082078,"C11H14O4",209.081961421952,0.138406564076045
"18",1647162.5,211.024934,"C9H8O6",211.024816338672,0.022754822990716
"19",1524606,211.061309,"C10H12O5",211.061191318391,0.0271189090683156
"20",859511.4,213.004162,"C8H6O7",213.004043235113,0.154270415762103
"21",1851770.9,213.040588,"C9H10O6",213.040469214803,0.0357404527015703
"22",1040983.3,215.019832,"C8H8O7",215.019710530186,0.0726861394682376
"23",1603962.8,215.056207,"C9H12O6",215.056085509637,0.121618505484407
"24",1095094.3,217.035464,"C8H10O7",217.035341391508,0.160487349284255
"25",2089963.1,221.009262,"C10H6O6",221.009137146615,0.110069759164423
"26",1525166.5,221.045705,"C11H10O5",221.045580126027,0.149958629601273
"27",1022353.9,221.082041,"C12H14O4",221.0819161055,0.0740817650359743
"28",2617638,223.024958,"C10H8O6",223.0248320079,0.0917882638801209
"29",1600809.3,223.06133,"C11H12O5",223.061203987353,0.0311359075867763
"30",1014060.6,223.097685,"C12H16O4",223.097558966815,0.10569646116217
"31",1977819.5,225.004197,"C9H6O7",225.004069889781,0.0275797622246294
"32",1874910.8,225.040576,"C10H10O6",225.04044886923,0.0565738721092849
"33",1653282.1,225.076986,"C11H14O5",225.076858848661,0.0521720516229054
"34",1335378.1,227.019876,"C9H8O7",227.019747751076,0.0951103963417057
"35",2016661.4,227.056229,"C10H12O6",227.056100730539,0.0481550593832097
"36",1773766.3,229.035508,"C9H10O7",229.035378612398,0.0104327013427331
"37",1699593.5,229.07189,"C10H14O6",229.071760591845,0.00496087066583085
"38",788884.5,231.014796,"C8H8O8",231.014665494251,0.106975085032146
"39",1373815.6,231.051153,"C9H12O7",231.051022473712,0.016502969827719
"40",1295969,233.009272,"C11H6O6",233.009140367524,0.0905780523520382
"41",850857,234.988551,"C10H4O7",234.988418249382,0.0331171961966704
"42",2767052,235.02493,"C11H8O6",235.024797228831,0.0608787177089001
"43",1553551.1,235.061344,"C12H12O5",235.06121120826,0.0602656663957318
"44",1824368.5,237.004194,"C10H6O7",237.004060110698,0.0674445886938735
"45",2400115.5,237.040587,"C11H10O6",237.040453090138,0.0359031605231556
"46",1943414.5,237.07698,"C12H14O5",237.076846069579,0.00437141367040118
"47",1111033.5,237.113352,"C13H18O4",237.113218049032,0.06141457499383
