"","exp_mass","abundance"
"2",112.985556002525,4500199.5
"3",152.976044704987,785063.2
"7",181.071749708207,865159.3
"49",226.978414132933,4149518.5
"66",236.032602394063,763392.3
"78",243.022231963785,727149.2
"81",244.030072324979,905369.6
"83",245.019771697672,719139.8
"87",246.027538058914,763694.4
"91",248.032631788014,956160.3
"92",248.080050757958,747395.6
"102",252.027513255914,761976.9
"107",254.032603985016,713633.1
"118",258.027569452863,837031.9
"119",259.017113825654,709095.3
"124",260.032579182016,788775.8
"133",264.027499077313,992927.1
"138",266.025009625314,779927.4
"149",270.027464715913,746946.5
"152",271.035297983315,717948.5
"159",273.032758531352,866990.3
"169",276.027508354456,781461.9
"175",279.032764169923,793339
"184",282.038078985348,738525.6
"192",284.043137527862,845832.9
"195",285.014599821702,710204.6
"197",285.03281680846,879549.6
"202",286.040620075884,935795
"206",287.030308356475,776743.3
"211",288.027453631646,840987.9
"218",290.024998179623,755844.9
"219",290.043217166379,915909.9
"221",291.032776447065,721017.7
"225",292.022499727631,1010861.5
"226",292.040575714491,769198.4
"232",294.038119262468,964054.9
"246",297.152940998292,1153465.6
"247",298.022511366197,796135.1
"252",299.048534620377,721692.8
"257",300.038059901087,822864.7
"261",301.027714181703,792772.7
"274",304.022413004844,764706.6
"279",306.038129539611,1166157.8
"285",308.0356570876,803640.7
"286",308.053810074404,831545.7
"290",309.043475355013,920367
"294",310.093144592004,738087.8
"303",311.168633810226,1985634.4
"307",313.027768720107,746440.4
"309",313.0460377055,789577.4
"312",313.090994669555,776267.9
"315",314.035575914319,821248.1
"320",315.025260123022,724791.2
"327",316.022520325667,715247.1
"337",318.038117714106,919073.1
"339",319.027710922881,735705.7
"344",320.035551117067,751507.8
"345",320.053679102573,830100.8
"347",321.043386311257,880014.3
"351",322.032975520036,852936.3
"368",325.184235000461,2206724
"374",327.043350514014,757237.1
"376",327.070091492633,722294.8
"378",327.106495463527,866425
"380",327.110482460339,852601.3
"382",328.033008722737,869042.2
"392",330.038141119543,762927.8
"403",332.035575522504,723631.3
"404",332.053741507979,771056.4
"410",334.032987925482,1015729.4
"411",334.051166910947,803250.6
"413",334.069393896374,741491.8
"419",336.030553328338,709622.1
"421",336.04869831383,1059127.4
"430",338.088063683265,741761.6
"433",339.025197933984,750529.9
"437",339.106366869085,893575.6
"440",340.033068128146,768519.8
"442",340.051169113673,900105.1
"447",341.022595336974,792077
"449",341.040758322452,785550.3
"453",341.089937283131,727313.8
"456",342.048653516594,940309.4
"462",343.038321725309,804763.9
"464",343.05660671069,733661.3
"470",344.05384791335,979684.9
"480",346.033001330927,831668.9
"488",348.030605733752,722760.6
"489",348.048637719334,975177.9
"491",349.038341928021,929556
"504",352.051231519079,729593.1
"505",352.067484506084,788634.4
"511",353.040803727871,721605.6
"515",353.121868663056,831627.8
"519",354.083068894533,796886.7
"524",355.038321130766,844193.5
"531",356.046212324911,718577.1
"537",357.053940519187,724417.3
"544",358.043616727896,753680.5
"556",360.048708124734,934066.8
"565",362.027939542249,837717.1
"572",364.043566688062,831676.7
"580",365.126611755946,762455.6
"583",366.083050932792,802984.4
"593",368.046148243264,758351.9
"595",368.098691198044,755156.4
"600",369.035988391364,854885.1
"602",369.053935375918,777574.6
"608",370.043588524179,764540.3
"641",376.043625360283,836238.5
"642",376.061925344533,720272.1
"646",377.033164508642,726695.7
"652",378.059215625577,712132.7
"653",378.083026605084,709894.8
"661",379.525385363727,719818.4
"662",379.552441340441,811084.9
"675",382.043626196418,757874.6
"682",383.051465329027,876496.3
"711",388.043638032543,779111.6
"721",390.046613308694,723751.9
"723",390.059269297802,746089.1
"724",390.083110277284,709227.4
"730",392.062215573978,865835.2
"796",404.038433266718,735959
"797",404.062295246181,723289.4
"808",406.054341531738,763941.9
"959",434.072720052957,707765.9
"978",437.141660963694,725135.2
"991",439.121011971236,722031
"1042",447.134211904975,3485952.5
"1048",448.137591894951,909875.4
"1054",449.149901875938,6370535.5
"1060",450.153249865946,1422170.9
"1077",453.100086899596,754606.1
"1080",453.13646186298,764338.3
"1153",465.144807513013,1982493.9
"1248",481.131038449605,783439.1
"1578",535.087648257032,1119054.6
"1628",543.06342555602,765019.4
"1650",547.051139205705,734626
"1728",560.857214144249,1033537.1
"1736",561.270031693894,715179.1
"1914",599.089650435352,833106.8
"1975",611.877688484502,786896.3
"1976",611.890838470156,826450.3
"1977",611.900328459804,777555.6
"2111",649.118771857101,971634.4
"2163",665.077646447092,1215740.4
"2166",665.136609382767,1155081.9
"2234",683.197394679722,797390.3
"2269",695.051681747529,724298.9
"2290",701.073656177978,996990.3
"2326",711.214938114554,727316.8
"2371",731.072918450894,718448.9
"2380",733.163097170657,1083449.6
"2412",749.136981744273,748430.4
"2432",757.197462950855,875894.3
"2444",763.209947391658,769310.1
"2454",769.163450896804,766937.9
"2459",773.157875539168,862904.3
"2461",775.137692379327,823751.3
"2476",785.19496540755,823377.4
"2480",789.260354972496,761040.3
"2481",789.298736930624,747231.8
"2483",793.126579754717,974860.6
"2490",799.24491808004,778886.4
