"","exp_mass","abundance"
"2",112.985561343492,9521771
"5",181.07174227425,939753.6
"17",203.975934105979,748754.1
"44",226.978395270233,12599986
"48",229.024771460508,850739
"58",234.017006045594,885310
"63",236.032599263091,948401.6
"65",237.02221338792,767528.5
"84",246.027493424044,747860.2
"88",248.032600650815,856720.8
"89",248.08001960888,2773972.5
"90",248.581678165235,930555
"91",248.960348830355,4486936
"96",250.011824900475,718728
"102",252.027498117902,800222.9
"112",256.030126578153,842913.4
"118",258.027505811758,765166.3
"120",259.035295920512,819444.3
"133",264.027480573034,954118.1
"139",265.147845493407,1028304
"140",266.043187630622,724234.6
"142",267.032845676949,764746.8
"147",269.019769762273,744458.3
"152",270.027569791119,780490.3
"159",272.024861866452,733351.7
"160",272.04309684888,721192.9
"163",273.032718895242,788998.4
"173",276.02752800933,925630.3
"178",278.043099067049,877048.4
"180",279.032806113329,819955.8
"191",283.017146273867,729952.5
"192",283.035294256379,730721.6
"197",284.024939302719,845403.8
"201",285.032852331455,800918.9
"207",286.022431377859,795664.7
"208",286.04055936039,925329.7
"216",288.027489445709,768389.3
"217",288.038060435522,928453.9
"224",290.025002520829,731769
"225",290.043134503356,959226
"227",291.032825549652,769651.2
"231",292.02243159603,940396.3
"232",292.04054957857,728301.3
"233",292.058873560913,732590.4
"239",294.038062653691,837216.3
"253",297.152932652083,4516883.5
"254",298.040659796635,826438.6
"259",299.030265843013,918911.5
"261",299.048429825509,726656.6
"266",300.027409882127,773049
"267",300.038171871756,799225.6
"271",301.027702918206,818802.7
"285",304.022475032329,991776.1
"286",304.04071801475,771041.2
"291",305.971581154096,781393.7
"292",306.019838107594,737876.5
"293",306.038161089937,1076117.5
"295",307.027760136322,842127.4
"300",308.053658147727,872587.7
"304",309.043433193942,731654
"306",309.09614214315,768201.1
"308",309.099706139716,814793.3
"310",310.04065623298,734593
"315",311.030304279317,749691.8
"317",311.048421261859,725884.9
"322",311.168604146046,8834372
"323",312.038057308208,856247.9
"326",312.171917179216,1612031.9
"328",313.027697325817,779379.3
"330",313.045945307065,777012.3
"333",313.090975260791,823735
"336",314.035464290213,729967.9
"341",315.04339625444,815213
"347",316.022370248425,912872.6
"348",316.032948237555,845865.3
"358",318.019898195721,804067.3
"359",318.038081177036,1114852.4
"365",320.035470124475,1125472.6
"366",320.053654105788,967521.8
"368",321.043385088719,872863.9
"372",322.032954071816,956318.6
"380",324.072412976023,749409
"385",325.045969975574,867423.9
"387",325.090898929404,958114.9
"391",325.184252833472,9505449
"392",326.035593958615,822624.4
"396",326.187631802377,2047082.4
"399",327.043314923058,896482.7
"405",327.16351279954,1015530.6
"406",328.033028906006,923684.3
"416",330.038147845502,978474.8
"417",330.048556834805,717771.4
"421",331.02769582862,760814
"430",332.01734981163,724657.9
"431",332.03555679292,936115.1
"432",332.053697774278,1111220.4
"434",333.043479757156,967224.9
"441",334.032961740343,1308542
"442",334.051185721615,976767.3
"449",336.0304296877,771595.3
"450",336.048708668917,1006668.6
"451",336.072505644462,774606.3
"459",338.035517627228,834651.7
"464",339.043421591483,771429.3
"469",339.163414468176,761070.1
"471",339.199862430721,1147504.8
"472",340.033064574504,774574.1
"473",340.051270555796,732527.4
"479",341.040797538936,1080312.9
"483",341.089929488447,823036.5
"486",341.179192396718,990083.2
"487",342.030508521887,717506.9
"488",342.04868350321,744132.3
"494",343.038372486184,799119
"501",344.017388480125,725657.5
"502",344.046194450523,822299.7
"503",344.053780442728,897244.3
"513",346.033032408805,923764.8
"521",348.030480356183,857361.1
"522",348.048704337456,930450.6
"526",349.038219320608,927329
"531",350.04615628483,901105.5
"541",352.067372207784,872788.9
"543",352.103804170345,718103.9
"548",353.040826207441,841444.5
"552",353.090087156819,760232.5
"555",354.030413190519,741558
"556",354.048685171743,857271.5
"558",354.083013136467,881594.4
"564",355.038301154791,849225.7
"571",356.046051119205,923230
"576",357.035792102126,721137.4
"578",357.053999083416,800307
"585",358.03319707717,867014.1
"597",360.030565024631,840881.6
"598",360.048613006084,1027251.2
"601",361.038281989079,962697.1
"609",362.02795397207,751327.7
"610",362.046276953241,933857.3
"611",362.051681947686,748577.8
"613",362.064345934673,724770.9
"620",364.043491153377,965009.8
"629",366.030436676287,780676
"631",366.083055610688,718408.8
"636",367.038208419916,807583.3
"643",368.027935186041,793913.6
"644",368.045990163532,978299.3
"646",368.098714097802,875968.1
"651",369.035780929577,842326.3
"657",369.121544822657,817694.1
"659",370.043489673284,824307.5
"673",372.048596173553,1092974.9
"674",372.059443160031,731887.9
"687",374.027797706117,750826.4
"688",374.046311683036,758636.2
"699",376.04361019304,857004
"707",378.041088702818,788398.4
"709",378.059205680232,779440.1
"713",378.918174609371,1318724.5
"719",379.497784886781,753853.7
"721",380.098639137706,782969.2
"724",380.713868370711,1422838.4
"727",381.035767969404,862422.5
"734",382.04349371309,788539.4
"736",382.077780670345,757182.9
"741",383.033258479168,751519.2
"749",384.04093122292,747077.4
"750",384.059198200147,839303.3
"756",385.048652966611,753644.3
"775",388.043579232889,837729.9
"785",390.041150742552,746867.5
"787",390.059295719931,829941.4
"795",392.062233222904,767306.3
"817",396.093514197177,755262.4
"823",397.04865400642,819047.3
"855",402.041193782309,743380.9
"856",402.059400759611,854423
"866",404.038434292384,898744.5
"867",404.057072269149,721466.6
"878",406.077806749934,725283.6
"889",408.093457237058,798286.5
"902",410.056686789535,726133.8
"908",411.046179555951,882795.4
"922",413.043586291078,766234.6
"943",416.038430334321,775558.1
"944",416.06227330282,747209
"957",418.054185671125,879678
"967",420.093373976971,723899.5
"984",423.046339075544,774959.3
"1031",430.054137816913,786872.2
"1068",437.061670558633,772253.3
"1075",438.051601250746,764899.1
"1100",441.136550174944,724102.8
"1138",447.134242250855,5350849
"1145",448.137661925147,1142092.5
"1152",449.149866587833,11191001
"1153",449.15369858277,817882
"1159",450.15319926224,2430309.5
"1165",451.08454203176,739303.6
"1168",451.121024983559,1330668.8
"1179",453.063669416957,755964.9
"1184",453.136603320597,969223.2
"1195",455.079413753776,732952.2
"1245",463.120782854996,767624.4
"1258",465.10007399947,953248.9
"1260",465.136302947202,859558.1
"1262",465.144774934979,3222951.3
"1272",467.079163144235,794041.6
"1275",467.115746091457,1161918.8
"1287",469.094928236088,883159.3
"1290",469.131213183739,838620.4
"1295",470.072420825858,740065.8
"1330",475.069668616321,771428.8
"1347",477.136283634813,861000.3
"1360",479.115569779294,997470.8
"1362",479.151803727019,904291.9
"1374",481.09479692386,870516.5
"1377",481.131199871342,1223289.6
"1391",483.110443015885,1021582.4
"1413",486.067272750062,718442.1
"1446",491.115346467199,755938.4
"1448",491.151638414841,754407.4
"1461",493.094562611781,826096.9
"1464",493.131060559126,1101301.9
"1479",495.110225703782,955394.6
"1482",495.146485651469,936455.5
"1495",497.125859795823,721170.5
"1513",499.171237844954,1607076.4
"1534",503.068447222444,739368.3
"1565",507.146476339066,859962.7
"1577",509.0892665362,766259.7
"1580",509.125905483341,805176.3
"1596",511.141325575691,764215.9
"1675",523.141108263588,853482.8
"1690",525.120579407802,755408.9
"1732",531.099754781637,922104.6
"1744",533.071957936337,897236.3
"1760",535.123981975879,749814.9
"1812",543.063505521517,860820.4
"1827",545.071087625176,716523.3
"1828",545.079567612942,886764.1
"1881",553.047714117286,920506.6
"1893",555.063420209224,1117840.1
"1903",557.079020301314,1130981.8
"1905",557.115444248766,1191529.6
"1916",559.094782393172,793339.7
"1918",559.131036340868,865215.6
"1926",561.066897547998,721421.6
"1976",569.079147988713,1180906.9
"2065",585.110536860206,964984.2
"2216",611.916152187707,771740.4
"2393",655.115870863412,777202.8
"2397",655.188895758059,893186
"2430",665.100242458945,1123814.9
"2439",667.116053550732,1015982.9
"2483",679.07955629097,944455.3
"2492",680.192333685564,798811.3
"2565",699.230278219495,1044620.7
"2567",701.07369855999,1611349.4
"2624",717.074138476133,774450.4
"2630",717.27712718328,891377.8
"2635",719.162540463192,793792.1
"2643",721.162964577177,911928.2
"2662",727.079660041153,1096875.8
"2666",727.225105831318,890587.1
"2668",729.095247133262,1274817.5
"2682",733.139826298142,759620.1
"2687",735.083088494595,984723.9
"2690",735.142642408677,994855.8
"2699",737.15827550072,748757.5
"2705",739.116080676192,1402613.5
"2707",739.188942571074,733134.6
"2709",739.246422488147,739618.2
"2728",747.119163130133,819493.3
"2731",747.214970991911,1027526.9
"2739",749.230729083774,1105878.1
"2741",751.077882418884,736685.4
"2744",751.150785313706,767623.6
"2752",753.260135270544,805058.6
"2757",757.09063974427,836858.3
"2765",759.178767731725,1101052.4
"2776",763.114289053943,1020342.2
"2786",767.184525181807,794164.9
"2793",771.17866941945,863144.6
"2794",771.213080369805,727221.8
"2810",777.260273645511,945240.3
"2815",781.090197120075,981172.8
"2818",781.197480965296,736990.7
"2825",785.23080814641,871322.3
"2826",785.267470093517,815592.6
"2828",787.173624343506,745951.6
"2831",787.281251188232,788298.8
"2832",789.131651518657,752047.2
"2833",789.189250435559,793670.2
"2834",789.226128382355,1055444.8
"2838",793.089831808185,937064.4
"2841",795.10607389935,852505
"2844",797.121778991289,771148.6
